date,ar_abnb,ret_abnb,ret_qqq,abnb_print,peers_reporting
2026-08-07,16.72,17.43,1.17,True,
2025-02-14,14.17,14.45,0.42,True,
2023-05-10,-12.39,-10.92,1.09,True,
2023-02-15,12.25,13.35,0.77,True,CHH SABR TRIP
2024-08-07,-12.11,-13.38,-1.08,True,HLT TRIP
2024-11-08,-8.71,-8.66,0.12,True,EXPE
2022-03-08,8.63,8.01,-0.46,False,
2022-11-02,-8.62,-13.43,-3.43,True,SABR
2025-08-07,-8.31,-8.02,0.34,True,H SABR
2021-12-06,7.73,8.46,0.8,False,
2022-09-22,-7.33,-9.03,-1.23,False,
2024-05-09,-7.12,-6.87,0.22,True,H HGV
2023-09-05,7.08,7.23,0.13,False,
2021-11-12,6.94,7.79,1.05,False,
2022-05-09,-6.88,-12.12,-3.91,False,HGV
2021-11-22,-6.64,-7.48,-1.16,False,
2023-12-01,6.53,6.87,0.29,False,
2022-05-19,6.45,5.68,-0.54,False,
2022-02-23,-6.35,-9.2,-2.56,False,TNL
2024-02-15,6.1,6.4,0.3,False,H SABR TRIP WH
2024-01-26,6.07,5.28,-0.6,False,
2022-01-24,-6.04,-5.63,0.46,False,
2022-06-23,-6.02,-3.83,1.49,False,
2023-04-06,-5.81,-4.9,0.67,False,
2022-10-31,-5.63,-7.2,-1.16,False,
2023-11-02,-5.62,-3.32,1.82,True,H MAR SABR VAC
2026-02-03,-5.47,-7.03,-1.54,False,
2022-09-13,5.4,-2.6,-5.48,False,
2024-12-13,-5.4,-4.74,0.77,False,
2022-07-14,-5.36,-4.8,0.36,False,
2022-08-03,-5.3,-1.13,2.72,True,
2022-05-03,-5.25,-5.09,0.11,False,EXPE HLT SABR
2022-10-12,5.21,5.18,-0.03,False,
2026-02-26,5.12,3.75,-1.21,False,HGV VAC
2022-01-07,5.05,3.94,-1.08,False,
2022-08-02,5.03,4.62,-0.3,False,MAR SABR
2022-06-17,4.91,6.68,1.22,False,
2026-07-28,4.88,4.26,-0.97,False,HLT RCL
2023-05-12,-4.78,-5.33,-0.36,False,
2025-03-11,-4.77,-5.08,-0.24,False,
2023-11-03,4.72,6.18,1.17,False,BKNG EXPE
2024-02-12,4.7,4.2,-0.39,False,
2021-12-16,-4.65,-6.99,-2.57,False,
2022-04-13,4.63,7.33,2.03,False,DAL
2023-02-13,4.63,6.93,1.6,False,
2022-01-31,4.62,7.84,3.2,False,
2023-02-17,-4.6,-5.61,-0.71,False,
2022-10-24,-4.6,-2.97,1.1,False,
2022-11-17,-4.59,-4.91,-0.22,False,
2023-01-27,4.55,5.96,1.0,False,
2023-05-08,4.53,4.8,0.25,False,
2025-02-12,4.51,4.46,0.06,False,
2026-02-13,4.49,4.65,0.21,True,EXPE
2022-07-18,4.47,3.18,-0.85,False,
2023-05-25,-4.45,-1.22,2.43,False,
2023-02-16,4.42,1.76,-1.88,False,H WH
2026-06-24,4.4,4.0,-0.42,False,
2021-11-19,-4.4,-3.87,0.56,False,
2023-02-10,-4.39,-5.28,-0.66,False,EXPE
2022-05-10,-4.37,-2.71,1.21,False,CHH H
