scope,name,n_events,mean_ar_abnb,t_mean,p_mean,mean_abs_ar_abnb,baseline_abs,abs_ratio,p_abs_welch,p_abs_perm_eramatched,mean_abs_z,baseline_abs_z,z_ratio,p_absz_perm_eramatched,share_abs_gt2,baseline_share_gt2,beta_event,beta_event_se,beta_event_t,sign_concord,corr_ar,beta_ordinary,beta_lift,beta_lift_t,car1_5_given_pos,car1_5_given_neg
ticker,BKNG,18,-0.097,-0.18,0.856,1.841,1.461,1.26,0.1981,0.0775,0.909,0.669,1.36,0.05,0.33,0.25,0.005,0.09,0.05,0.44,0.011,0.569,-0.564,-5.73,1.351,-5.039
ticker,CCL,19,0.206,0.49,0.6314,1.411,1.461,0.97,0.8565,0.5527,0.717,0.669,1.07,0.3198,0.26,0.25,0.013,0.039,0.34,0.37,0.049,0.279,-0.265,-5.91,-1.076,-0.437
ticker,CHH,17,-0.215,-0.45,0.6619,1.71,1.461,1.17,0.3008,0.1259,0.803,0.669,1.2,0.1614,0.29,0.25,0.018,0.071,0.25,0.59,0.05,0.405,-0.387,-4.79,0.934,-3.208
ticker,DAL,19,0.128,0.28,0.7799,1.497,1.461,1.03,0.9002,0.3848,0.725,0.669,1.08,0.3408,0.26,0.25,0.156,0.041,3.78,0.68,0.474,0.313,-0.158,-3.14,0.596,2.506
ticker,EXPE,14,-0.569,-0.78,0.4512,2.083,1.461,1.43,0.2153,0.0285,0.933,0.669,1.39,0.038,0.5,0.25,0.181,0.033,5.44,0.64,0.808,0.468,-0.287,-6.14,3.296,0.816
ticker,H,17,0.289,0.46,0.6515,1.888,1.461,1.29,0.3254,0.072,0.909,0.669,1.36,0.0565,0.35,0.25,0.037,0.093,0.39,0.53,0.084,0.472,-0.435,-4.35,-3.914,-0.026
ticker,HGV,20,-0.55,-0.94,0.361,2.017,1.461,1.38,0.1648,0.0385,0.961,0.669,1.44,0.016,0.4,0.25,0.098,0.038,2.57,0.6,0.24,0.368,-0.271,-5.04,-0.39,-1.577
ticker,HLT,17,0.222,0.46,0.65,1.252,1.461,0.86,0.582,0.7236,0.577,0.669,0.86,0.7626,0.12,0.25,0.169,0.186,0.91,0.71,0.249,0.603,-0.434,-2.25,-0.612,-1.914
ticker,LUV,21,-0.329,-1.27,0.2177,0.928,1.461,0.64,0.006,0.9785,0.433,0.669,0.65,0.981,0.14,0.25,-0.008,0.045,-0.18,0.57,-0.045,0.231,-0.24,-4.06,-2.095,0.511
ticker,MAR,17,0.034,0.07,0.9468,1.463,1.461,1.0,0.9942,0.3963,0.672,0.669,1.0,0.4798,0.24,0.25,0.116,0.082,1.43,0.59,0.262,0.582,-0.466,-4.99,-1.455,2.247
ticker,RCL,19,-0.039,-0.09,0.9268,1.26,1.461,0.86,0.5042,0.7151,0.589,0.669,0.88,0.7326,0.16,0.25,0.068,0.047,1.44,0.58,0.268,0.314,-0.247,-4.55,-1.127,-3.488
ticker,SABR,15,0.418,0.57,0.5754,1.924,1.461,1.32,0.3957,0.056,0.846,0.669,1.26,0.1344,0.33,0.25,-0.036,0.06,-0.6,0.53,-0.206,0.145,-0.182,-2.78,-2.512,-2.827
ticker,TNL,19,-0.427,-1.07,0.2985,1.074,1.461,0.74,0.2524,0.9135,0.493,0.669,0.74,0.928,0.11,0.25,-0.002,0.035,-0.07,0.42,-0.009,0.451,-0.454,-8.81,-2.116,-0.608
ticker,TRIP,18,0.317,0.64,0.5307,1.535,1.461,1.05,0.829,0.4313,0.723,0.669,1.08,0.3488,0.28,0.25,0.03,0.037,0.81,0.72,0.193,0.354,-0.324,-6.7,-3.69,0.384
ticker,UAL,20,0.471,1.45,0.1623,1.22,1.461,0.84,0.2431,0.7671,0.51,0.669,0.76,0.9015,0.15,0.25,0.067,0.033,2.04,0.75,0.377,0.259,-0.192,-4.59,-1.071,0.702
ticker,VAC,20,0.218,0.47,0.6428,1.496,1.461,1.02,0.9131,0.4543,0.73,0.669,1.09,0.3078,0.3,0.25,0.077,0.042,1.82,0.55,0.379,0.359,-0.282,-5.38,-0.87,-2.39
ticker,WH,18,0.306,0.63,0.5379,1.357,1.461,0.93,0.7814,0.5367,0.672,0.669,1.0,0.4863,0.17,0.25,0.017,0.086,0.2,0.56,0.038,0.424,-0.407,-4.28,-3.763,0.791
group,Airline,60,0.083,0.41,0.6845,1.206,1.461,0.83,0.0616,0.923,0.551,0.669,0.82,0.9515,0.18,0.25,0.072,0.023,3.12,0.67,0.325,,,,-0.777,1.121
group,Cruise,38,0.084,0.29,0.7769,1.336,1.461,0.91,0.5337,0.7281,0.653,0.669,0.98,0.5387,0.21,0.25,0.037,0.038,0.98,0.47,0.143,,,,-1.1,-2.053
group,Distribution,15,0.418,0.57,0.5754,1.924,1.461,1.32,0.3957,0.048,0.846,0.669,1.26,0.1339,0.33,0.25,-0.036,0.06,-0.6,0.53,-0.206,,,,-2.512,-2.827
group,Hotel,86,0.129,0.57,0.5705,1.532,1.461,1.05,0.6581,0.1684,0.726,0.669,1.08,0.1744,0.23,0.25,0.058,0.037,1.56,0.59,0.132,,,,-1.803,-0.304
group,OTA,50,-0.08,-0.24,0.8081,1.799,1.461,1.23,0.111,0.034,0.851,0.669,1.27,0.015,0.36,0.25,0.078,0.028,2.79,0.6,0.361,,,,-0.199,-1.15
group,Timeshare,59,-0.25,-0.89,0.3798,1.536,1.461,1.05,0.7124,0.3073,0.728,0.669,1.09,0.2194,0.27,0.25,0.069,0.032,2.17,0.53,0.25,,,,-1.116,-1.527
pooled,ALL peer prints,308,0.022,0.19,0.8521,1.507,1.461,1.03,0.6015,0.1039,0.711,0.669,1.06,0.07,0.25,0.25,0.05,0.017,2.95,0.58,0.195,,,,-1.164,-0.767
pooled,BKNG+EXPE only,32,-0.303,-0.7,0.4869,1.947,1.461,1.33,0.0717,0.009,0.919,0.669,1.37,0.0085,0.41,0.25,0.147,0.03,4.97,0.53,0.537,,,,1.949,-1.958
pooled,Hotels only,86,0.129,0.57,0.5705,1.532,1.461,1.05,0.6581,0.1684,0.726,0.669,1.08,0.1879,0.23,0.25,0.058,0.037,1.56,0.59,0.132,,,,-1.803,-0.304
pooled,2021-2023,129,-0.181,-0.88,0.3828,1.755,1.461,1.2,0.0412,0.3203,0.683,0.669,1.02,0.2789,0.37,0.25,0.061,0.035,1.75,0.52,0.187,,,,-1.977,-2.301
pooled,2024-2026,179,0.168,1.24,0.2178,1.329,1.461,0.91,0.1968,0.0805,0.73,0.669,1.09,0.0865,0.17,0.25,0.043,0.018,2.36,0.62,0.206,,,,-0.535,0.267
pooled,BKNG+EXPE 2021-2023,14,0.043,0.05,0.9584,2.345,1.461,1.61,0.0866,0.058,0.949,0.669,1.42,0.0305,0.5,0.25,0.2,0.042,4.77,0.57,0.592,,,,-2.58,-4.266
pooled,BKNG+EXPE 2024-2026,18,-0.573,-1.26,0.225,1.638,1.461,1.12,0.5118,0.047,0.897,0.669,1.34,0.0545,0.33,0.25,0.108,0.035,3.09,0.5,0.511,,,,7.234,-0.611
pooled,Peer AR >5% (any peer),129,-0.055,-0.3,0.7657,1.569,1.461,1.07,0.4001,0.031,0.759,0.669,1.13,0.034,0.28,0.25,0.051,0.016,3.12,0.64,0.292,,,,-0.112,-0.614
pooled,"Peer AR >5%, BKNG/EXPE",16,-0.379,-0.54,0.5966,2.355,1.461,1.61,0.0259,0.002,1.113,0.669,1.66,0.003,0.5,0.25,0.161,0.023,6.95,0.69,0.704,,,,5.239,-2.448
pooled,"Peer AR >5%, hotels",20,-0.978,-2.96,0.0081,1.391,1.461,0.95,0.7797,0.4103,0.708,0.669,1.06,0.3813,0.25,0.25,0.042,0.028,1.51,0.65,0.242,,,,4.509,1.038
pooled,Peer AR <=5% (any peer),179,0.077,0.51,0.6103,1.463,1.461,1.0,0.9855,0.5367,0.675,0.669,1.01,0.4643,0.23,0.25,0.039,0.053,0.74,0.53,0.053,,,,-1.761,-0.903
