reaction_date,ticker,group,filing_date,premarket,ar_peer,ar_abnb,z_abnb,ret_abnb,ret_peer,ret_qqq,year,car_abnb_1_5,abnb_print_same_day
2026-08-06,EXPE,OTA,2026-08-05,False,-4.102,-0.357,-0.185,-0.557,-4.095,-0.369,2026,20.017,False
2026-08-05,BKNG,OTA,2026-08-04,False,7.069,2.28,1.166,1.714,6.563,-0.905,2026,17.473,False
2026-05-08,EXPE,OTA,2026-05-07,False,-11.49,-1.379,-0.794,0.733,-9.023,2.344,2026,-5.659,True
2026-04-29,BKNG,OTA,2026-04-28,False,-0.061,0.354,0.203,0.892,0.346,0.611,2026,-4.725,False
2026-02-19,BKNG,OTA,2026-02-18,False,-5.742,1.722,1.091,1.239,-6.148,-0.383,2026,8.38,False
2026-02-13,EXPE,OTA,2026-02-12,False,-6.767,4.488,2.839,4.648,-6.412,0.213,2026,1.962,True
2025-11-07,EXPE,OTA,2025-11-06,False,17.841,0.729,0.47,0.29,17.547,-0.316,2025,1.692,True
2025-10-29,BKNG,OTA,2025-10-28,False,-1.216,-1.562,-1.008,-1.195,-0.873,0.45,2025,-0.653,False
2025-08-08,EXPE,OTA,2025-08-07,False,3.014,-0.088,-0.043,0.825,4.078,0.933,2025,3.272,False
2025-07-30,BKNG,OTA,2025-07-29,False,0.194,-1.588,-0.778,-1.527,0.396,0.134,2025,-2.681,False
2025-05-09,EXPE,OTA,2025-05-08,False,-7.278,0.714,0.307,0.514,-7.296,-0.066,2025,2.218,False
2025-04-30,BKNG,OTA,2025-04-29,False,3.781,-2.701,-1.168,-2.845,3.871,-0.013,2025,0.019,False
2025-02-21,BKNG,OTA,2025-02-20,False,0.807,-3.951,-2.26,-5.949,-0.55,-2.075,2025,-1.542,False
2025-02-07,EXPE,OTA,2025-02-06,False,17.938,3.088,1.817,1.818,17.268,-1.261,2025,16.826,False
2024-11-08,EXPE,OTA,2024-11-07,False,3.568,-8.71,-5.077,-8.658,3.807,0.117,2024,2.289,True
2024-10-31,BKNG,OTA,2024-10-30,False,6.72,1.427,0.779,-1.253,4.756,-2.524,2024,3.23,False
2024-08-09,EXPE,OTA,2024-08-08,False,9.888,-0.064,-0.04,0.384,10.206,0.522,2024,-4.058,False
2024-08-02,BKNG,OTA,2024-08-01,False,-7.166,-2.396,-1.473,-5.078,-9.171,-2.373,2024,-9.656,False
2024-05-03,BKNG,OTA,2024-05-02,False,1.322,-1.406,-0.753,0.872,3.008,2.01,2024,-10.232,False
2024-05-03,EXPE,OTA,2024-05-02,False,-17.142,-1.406,-0.753,0.872,-15.255,2.01,2024,-10.232,False
2024-02-23,BKNG,OTA,2024-02-22,False,-9.999,-1.303,-0.676,-1.675,-10.149,-0.294,2024,2.783,False
2024-02-09,EXPE,OTA,2024-02-08,False,-18.822,-3.073,-1.637,-1.956,-17.784,0.984,2024,5.635,False
2023-11-03,BKNG,OTA,2023-11-02,False,-0.182,4.723,2.146,6.182,0.709,1.175,2023,-6.862,False
2023-11-03,EXPE,OTA,2023-11-02,False,17.65,4.723,2.146,6.182,18.842,1.175,2023,-6.862,False
2023-08-04,BKNG,OTA,2023-08-03,False,8.099,-0.001,-0.0,-0.504,7.861,-0.468,2023,-3.01,True
2023-08-03,EXPE,OTA,2023-08-03,True,-16.179,-2.41,-0.917,-2.546,-16.381,-0.16,2023,-2.07,False
2023-05-05,BKNG,OTA,2023-05-04,False,-3.168,-0.955,-0.405,1.93,-1.316,2.125,2023,-12.717,False
2023-05-05,EXPE,OTA,2023-05-04,False,2.795,-0.955,-0.405,1.93,4.901,2.125,2023,-12.717,False
2023-02-24,BKNG,OTA,2023-02-23,False,2.503,0.255,0.097,-2.183,1.071,-1.674,2023,-1.453,False
2023-02-10,EXPE,OTA,2023-02-09,False,-7.787,-4.391,-1.903,-5.281,-8.555,-0.656,2023,19.441,False
2022-11-04,EXPE,OTA,2022-11-03,False,4.101,2.076,0.824,4.423,5.706,1.609,2022,1.002,False
2022-11-03,BKNG,OTA,2022-11-02,False,4.45,0.172,0.068,-2.532,2.674,-1.953,2022,-1.232,False
2022-08-05,EXPE,OTA,2022-08-04,False,1.188,-0.573,-0.21,-1.77,0.313,-0.817,2022,2.077,False
2022-08-04,BKNG,OTA,2022-08-03,False,-1.387,2.905,1.062,3.652,-0.978,0.468,2022,1.936,False
2022-05-05,BKNG,OTA,2022-05-04,False,7.553,-1.584,-0.57,-8.381,3.261,-5.036,2022,-10.676,False
2022-05-03,EXPE,OTA,2022-05-02,False,-14.16,-5.245,-1.875,-5.092,-14.015,0.107,2022,-13.203,False
2022-02-24,BKNG,OTA,2022-02-23,False,-9.291,1.859,0.654,5.479,-7.079,3.36,2022,-4.59,False
