reaction_date,ticker,ar_peer,ar_abnb,abnb_gap_adj,abnb_intraday_adj,beta_used
2022-02-24,BKNG,-9.291,1.859,-2.247,4.438,1.11
2022-05-03,EXPE,-14.16,-5.245,0.849,-6.036,1.37
2022-05-05,BKNG,7.553,-1.584,-0.74,-0.927,1.35
2022-08-04,BKNG,-1.387,2.905,-0.655,3.628,1.51
2022-08-05,EXPE,1.188,-0.573,-0.681,0.167,1.51
2022-11-03,BKNG,4.45,0.172,1.074,-0.832,1.42
2022-11-04,EXPE,4.101,2.076,0.489,1.607,1.42
2023-02-10,EXPE,-7.787,-4.391,-1.298,-3.116,1.43
2023-02-24,BKNG,2.503,0.255,0.489,-0.256,1.45
2023-05-05,BKNG,-3.168,-0.955,1.017,-2.011,1.38
2023-05-05,EXPE,2.795,-0.955,1.017,-2.011,1.38
2023-08-03,EXPE,-16.179,-2.41,-1.712,-0.644,1.21
2023-11-03,EXPE,17.65,4.723,1.675,2.886,1.31
2023-11-03,BKNG,-0.182,4.723,1.675,2.886,1.31
2024-02-09,EXPE,-18.822,-3.073,-3.434,0.361,1.17
2024-02-23,BKNG,-9.999,-1.303,-1.674,0.312,1.09
2024-05-03,EXPE,-17.142,-1.406,0.187,-1.57,1.14
2024-05-03,BKNG,1.322,-1.406,0.187,-1.57,1.14
2024-08-02,BKNG,-7.166,-2.396,-2.185,-0.314,1.1
2024-08-09,EXPE,9.888,-0.064,0.159,-0.324,1.05
2024-10-31,BKNG,6.72,1.427,1.713,-0.321,1.03
2025-02-07,EXPE,17.938,3.088,1.514,1.447,0.91
2025-02-21,BKNG,0.807,-3.951,-0.674,-3.423,0.91
2025-04-30,BKNG,3.781,-2.701,-1.733,-1.106,1.02
2025-05-09,EXPE,-7.278,0.714,-1.534,2.132,1.02
2025-07-30,BKNG,0.194,-1.588,-0.86,-0.816,1.06
2025-08-08,EXPE,3.014,-0.088,0.219,-0.406,1.08
2025-10-29,BKNG,-1.216,-1.562,-0.546,-1.116,1.04
2026-02-19,BKNG,-5.742,1.722,0.16,1.478,1.03
2026-04-29,BKNG,-0.061,0.354,-2.161,2.538,0.94
2026-08-05,BKNG,7.069,2.28,2.468,-0.199,0.59
2026-08-06,EXPE,-4.102,-0.357,0.297,-0.642,0.58
