reaction_date,ticker,ar_peer,ar_abnb,drops_corr_to
2022-02-24,BKNG,-9.291,1.859,0.118
2022-05-05,BKNG,7.553,-1.584,0.078
2022-08-04,BKNG,-1.387,2.905,0.032
2022-11-03,BKNG,4.45,0.172,0.005
2023-02-24,BKNG,2.503,0.255,0.006
2023-05-05,BKNG,-3.168,-0.955,-0.002
2023-11-03,BKNG,-0.182,4.723,0.012
2024-02-23,BKNG,-9.999,-1.303,-0.058
2024-05-03,BKNG,1.322,-1.406,0.022
2024-08-02,BKNG,-7.166,-2.396,-0.08
2024-10-31,BKNG,6.72,1.427,-0.047
2025-02-21,BKNG,0.807,-3.951,0.035
2025-04-30,BKNG,3.781,-2.701,0.07
2025-07-30,BKNG,0.194,-1.588,0.015
2025-10-29,BKNG,-1.216,-1.562,0.004
2026-02-19,BKNG,-5.742,1.722,0.068
2026-04-29,BKNG,-0.061,0.354,0.011
2026-08-05,BKNG,7.069,2.28,-0.088
2022-05-03,EXPE,-14.16,-5.245,0.801
2022-08-05,EXPE,1.188,-0.573,0.811
2022-11-04,EXPE,4.101,2.076,0.808
2023-02-10,EXPE,-7.787,-4.391,0.831
2023-05-05,EXPE,2.795,-0.955,0.819
2023-08-03,EXPE,-16.179,-2.41,0.804
2023-11-03,EXPE,17.65,4.723,0.747
2024-02-09,EXPE,-18.822,-3.073,0.795
2024-05-03,EXPE,-17.142,-1.406,0.834
2024-08-09,EXPE,9.888,-0.064,0.828
2025-02-07,EXPE,17.938,3.088,0.77
2025-05-09,EXPE,-7.278,0.714,0.839
2025-08-08,EXPE,3.014,-0.088,0.809
2026-08-06,EXPE,-4.102,-0.357,0.81
