view,n,p_r01,p_r02,note,weight_in_headline
outside view: sequential change >= needed (all sequential changes 3Q22-2Q26),16,0.4375,0.375,"k1 7, k2 6; members 3Q22:+0.49 4Q22:-4.93 1Q23:-1.55 2Q23:-7.62 3Q23:+2.55 4Q23:-1.52 1Q24:-2.52 2Q24:-0.81 3Q24:-0.21 4Q24:+3.87 1Q25:-4.43 2Q25:-0.49 3Q25:+1.36 4Q25:+1.03 1Q26:-0.67 2Q26:+1.19",0
outside view: sequential change >= needed (W1 targets 1Q23+),14,0.42857142857142855,0.35714285714285715,"k1 6, k2 5; members 1Q23:-1.55 2Q23:-7.62 3Q23:+2.55 4Q23:-1.52 1Q24:-2.52 2Q24:-0.81 3Q24:-0.21 4Q24:+3.87 1Q25:-4.43 2Q25:-0.49 3Q25:+1.36 4Q25:+1.03 1Q26:-0.67 2Q26:+1.19",0
outside view: sequential change >= needed (W2 targets 1Q24+),10,0.5,0.4,"k1 5, k2 4; members 1Q24:-2.52 2Q24:-0.81 3Q24:-0.21 4Q24:+3.87 1Q25:-4.43 2Q25:-0.49 3Q25:+1.36 4Q25:+1.03 1Q26:-0.67 2Q26:+1.19",0
outside view: sequential change >= needed (Q2->Q3 transitions),4,1.0,0.75,"k1 4, k2 3; members 3Q22:+0.49 3Q23:+2.55 3Q24:-0.21 3Q25:+1.36",0
outside view: management nights guides met or exceeded (coded),16,0.9375,,"ledger outcomes {'met': 13, 'above_range': 2, 'not_met': 1}; heterogeneous guides (directional/approx/bucket); not a probability of this event",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.3,0.5) + err N(0,1.0) [ASSUMPTION, no comparable sample]",0,0.6083507051055125,0.3972150819907925,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.3,0.5) + err N(0,1.3) [ASSUMPTION, no comparable sample]",0,0.5873608843202167,0.4171641356694238,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.3,0.5) + err N(0,1.6) [ASSUMPTION, no comparable sample]",0,0.5727697553936559,0.43101707114259347,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.6,0.5) + err N(0,1.0) [ASSUMPTION, no comparable sample]",0,0.7065559662973205,0.5030981484610468,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.6,0.5) + err N(0,1.3) [ASSUMPTION, no comparable sample]",0,0.668635625770498,0.502486897691417,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(0.6,0.5) + err N(0,1.6) [ASSUMPTION, no comparable sample]",0,0.6414716319048551,0.5020663624206028,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(1.0,0.5) + err N(0,1.0) [ASSUMPTION, no comparable sample]",0,0.8162382729648898,0.6426446517470795,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(1.0,0.5) + err N(0,1.3) [ASSUMPTION, no comparable sample]",0,0.7652620610578327,0.6153982957467278,"rev-1 grid, relabelled",0
"outside view: management-delivery construction, floor 10.0 + cushion N(1.0,0.5) + err N(0,1.6) [ASSUMPTION, no comparable sample]",0,0.7260850623994279,0.5963069927293676,"rev-1 grid, relabelled",0
market: Kalshi KXABNB mid quotes interpolated at 147.0m / 147.8m (2026-09-17T03:21:58Z),0,0.585,0.5369999999999994,"mids {150.0: 0.33999999999999997, 148.0: 0.525, 146.0: 0.645, 144.0: 0.7949999999999999, 142.0: 0.88, 140.0: 0.925, 138.0: 0.955}; last trades {150.0: 0.3, 148.0: 0.53, 146.0: 0.6, 144.0: 0.83, 142.0: 0.84, 140.0: 0.9, 138.0: 0.88}; cumulative volume_fp {150.0: 590.96, 148.0: 428.14, 146.0: 998.66, 144.0: 347.64, 142.0: 49.86, 140.0: 409.93, 138.0: 412.02} identical to the 29 Jul Octagon snapshot (999/428/591 at 146/148/150m) -> no trade since 29 Jul; 24h volume 0; zero weight (fine print + stale-source rule)",0
market: Kalshi last-trade prices interpolated at 147.0m / 147.8m,0,0.565,0.5369999999999996,last trades 0.60/0.53/0.30 at 146/148/150m = Octagon's 29 Jul 60/53/30%,0
revision-1 blend 0.60 alt / 0.30 outside / 0.10 market (WITHDRAWN as headline),0,0.4237,0.3159,a09_final.json rev 1,0
"Astra A09 benchmark: N(9.5, 1.70) at printed-exact thresholds 10.0299 / 10.6287",0,0.37762306003832447,0.2533559768927256,audit §Independent forecasts,0
