"date","measure","value"
"1996-01-01T00:00:00.000","Buses","8399"
"1996-01-01T00:00:00.000","Bus Passengers","162064"
"1996-01-01T00:00:00.000","Pedestrians","18537"
"1996-01-01T00:00:00.000","Personal Vehicle Passengers","6136398"
"1996-01-01T00:00:00.000","Personal Vehicles","2489564"
"1996-01-01T00:00:00.000","Train Passengers","12803"
"1996-01-01T00:00:00.000","Trains","2440"
"1996-01-01T00:00:00.000","Trucks","419175"
"1996-02-01T00:00:00.000","Buses","9780"
"1996-02-01T00:00:00.000","Bus Passengers","200148"
"1996-02-01T00:00:00.000","Pedestrians","22856"
"1996-02-01T00:00:00.000","Personal Vehicle Passengers","6540141"
"1996-02-01T00:00:00.000","Personal Vehicles","2567875"
"1996-02-01T00:00:00.000","Train Passengers","11656"
"1996-02-01T00:00:00.000","Trains","2450"
"1996-02-01T00:00:00.000","Trucks","434019"
"1996-03-01T00:00:00.000","Buses","10840"
"1996-03-01T00:00:00.000","Bus Passengers","209231"
"1996-03-01T00:00:00.000","Pedestrians","20730"
"1996-03-01T00:00:00.000","Personal Vehicle Passengers","6945355"
"1996-03-01T00:00:00.000","Personal Vehicles","2959107"
"1996-03-01T00:00:00.000","Train Passengers","12794"
"1996-03-01T00:00:00.000","Trains","2741"
"1996-03-01T00:00:00.000","Trucks","449155"
"1996-04-01T00:00:00.000","Buses","13210"
"1996-04-01T00:00:00.000","Bus Passengers","306249"
"1996-04-01T00:00:00.000","Pedestrians","36090"
"1996-04-01T00:00:00.000","Personal Vehicle Passengers","7740014"
"1996-04-01T00:00:00.000","Personal Vehicles","3024229"
"1996-04-01T00:00:00.000","Train Passengers","15872"
"1996-04-01T00:00:00.000","Trains","2667"
"1996-04-01T00:00:00.000","Trucks","448844"
"1996-05-01T00:00:00.000","Buses","17776"
"1996-05-01T00:00:00.000","Bus Passengers","405742"
"1996-05-01T00:00:00.000","Pedestrians","70124"
"1996-05-01T00:00:00.000","Personal Vehicle Passengers","8679140"
"1996-05-01T00:00:00.000","Personal Vehicles","3453697"
"1996-05-01T00:00:00.000","Train Passengers","16572"
"1996-05-01T00:00:00.000","Trains","2718"
"1996-05-01T00:00:00.000","Trucks","479137"
"1996-06-01T00:00:00.000","Buses","17981"
"1996-06-01T00:00:00.000","Bus Passengers","426751"
"1996-06-01T00:00:00.000","Pedestrians","44493"
"1996-06-01T00:00:00.000","Personal Vehicle Passengers","9826869"
"1996-06-01T00:00:00.000","Personal Vehicles","3787292"
"1996-06-01T00:00:00.000","Train Passengers","22934"
"1996-06-01T00:00:00.000","Trains","2541"
"1996-06-01T00:00:00.000","Trucks","454740"
"1996-07-01T00:00:00.000","Buses","19854"
"1996-07-01T00:00:00.000","Bus Passengers","472417"
"1996-07-01T00:00:00.000","Pedestrians","120515"
"1996-07-01T00:00:00.000","Personal Vehicle Passengers","11211921"
"1996-07-01T00:00:00.000","Personal Vehicles","4328945"
"1996-07-01T00:00:00.000","Train Passengers","29658"
"1996-07-01T00:00:00.000","Trains","2599"
"1996-07-01T00:00:00.000","Trucks","438413"
"1996-08-01T00:00:00.000","Buses","20183"
"1996-08-01T00:00:00.000","Bus Passengers","472802"
"1996-08-01T00:00:00.000","Pedestrians","134566"
"1996-08-01T00:00:00.000","Personal Vehicle Passengers","12153093"
"1996-08-01T00:00:00.000","Personal Vehicles","4536794"
"1996-08-01T00:00:00.000","Train Passengers","31175"
"1996-08-01T00:00:00.000","Trains","2645"
"1996-08-01T00:00:00.000","Trucks","470139"
"1996-09-01T00:00:00.000","Buses","16724"
"1996-09-01T00:00:00.000","Bus Passengers","387914"
"1996-09-01T00:00:00.000","Pedestrians","70269"
"1996-09-01T00:00:00.000","Personal Vehicle Passengers","9194740"
"1996-09-01T00:00:00.000","Personal Vehicles","3476628"
"1996-09-01T00:00:00.000","Train Passengers","19154"
"1996-09-01T00:00:00.000","Trains","2706"
"1996-09-01T00:00:00.000","Trucks","458830"
"1996-10-01T00:00:00.000","Buses","14787"
"1996-10-01T00:00:00.000","Bus Passengers","336459"
"1996-10-01T00:00:00.000","Pedestrians","32463"
"1996-10-01T00:00:00.000","Personal Vehicle Passengers","8478286"
"1996-10-01T00:00:00.000","Personal Vehicles","3208870"
"1996-10-01T00:00:00.000","Train Passengers","15919"
"1996-10-01T00:00:00.000","Trains","2820"
