"port_name","state","port_code","border","date","measure","value","latitude","longitude"
"Eastport","Maine","0103","US-Canada Border","2018-01-01T00:00:00.000","Pedestrians","1","44.8594395785","-66.98007566"
"Eastport","Maine","0103","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicle Passengers","12021","44.8594395785","-66.98007566"
"Eastport","Maine","0103","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicles","8080","44.8594395785","-66.98007566"
"Eastport","Maine","0103","US-Canada Border","2018-01-01T00:00:00.000","Trucks","149","44.8594395785","-66.98007566"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Buses","2","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Bus Passengers","54","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Pedestrians","4","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicle Passengers","10450","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicles","6709","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Train Passengers","41","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Trains","20","45.805661","-70.396722"
"Jackman","Maine","0104","US-Canada Border","2018-01-01T00:00:00.000","Trucks","7218","45.805661","-70.396722"
"Vanceboro","Maine","0105","US-Canada Border","2018-01-01T00:00:00.000","Pedestrians","6","45.568761","-67.428541"
"Vanceboro","Maine","0105","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicle Passengers","2142","45.568761","-67.428541"
"Vanceboro","Maine","0105","US-Canada Border","2018-01-01T00:00:00.000","Personal Vehicles","1609","45.568761","-67.428541"
"Vanceboro","Maine","0105","US-Canada Border","2018-01-01T00:00:00.000","Train Passengers","46","45.568761","-67.428541"
"Vanceboro","Maine","0105","US-Canada Border","2018-01-01T00:00:00.000","Trains","23","45.568761","-67.428541"
