region,quarter,candidate,n_oos_prior,rmse_prior_oos,eligible,picked
na,1Q24,last_q,3,0.8180067970377752,False,True
na,1Q24,persistence,2,1.7867013394101432,False,False
na,1Q24,trailing_4q,1,6.092925000000001,False,False
na,1Q24,ar1,0,,False,False
na,1Q24,last_q_ex_size,1,0.922548898212068,False,False
na,1Q24,cpi_lodging_sa|level|lag0,0,,False,False
na,1Q24,cpi_lodging_sa|level|lag1,0,,False,False
na,1Q24,cpi_lodging_sa|diff|lag0,0,,False,False
na,1Q24,cpi_lodging_sa|diff|lag1,0,,False,False
na,1Q24,cpi_lodging_nsa|level|lag0,0,,False,False
na,1Q24,cpi_lodging_nsa|level|lag1,0,,False,False
na,1Q24,cpi_lodging_nsa|diff|lag0,0,,False,False
na,1Q24,cpi_lodging_nsa|diff|lag1,0,,False,False
na,1Q24,cpi_hotels_motels_nsa|level|lag0,0,,False,False
na,1Q24,cpi_hotels_motels_nsa|level|lag1,0,,False,False
na,1Q24,cpi_hotels_motels_nsa|diff|lag0,0,,False,False
na,1Q24,cpi_hotels_motels_nsa|diff|lag1,0,,False,False
na,1Q24,bea_hotels_price|level|lag0,0,,False,False
na,1Q24,bea_hotels_price|level|lag1,0,,False,False
na,1Q24,bea_hotels_price|diff|lag0,0,,False,False
na,1Q24,bea_hotels_price|diff|lag1,0,,False,False
na,2Q24,last_q,4,1.660136530529944,True,True
na,2Q24,persistence,3,2.4794861102319836,False,False
na,2Q24,trailing_4q,1,6.092925000000001,False,False
na,2Q24,ar1,0,,False,False
na,2Q24,last_q_ex_size,2,2.0891354163597784,False,False
na,2Q24,cpi_lodging_sa|level|lag0,0,,False,False
na,2Q24,cpi_lodging_sa|level|lag1,0,,False,False
na,2Q24,cpi_lodging_sa|diff|lag0,0,,False,False
na,2Q24,cpi_lodging_sa|diff|lag1,0,,False,False
na,2Q24,cpi_lodging_nsa|level|lag0,0,,False,False
na,2Q24,cpi_lodging_nsa|level|lag1,0,,False,False
na,2Q24,cpi_lodging_nsa|diff|lag0,0,,False,False
na,2Q24,cpi_lodging_nsa|diff|lag1,0,,False,False
na,2Q24,cpi_hotels_motels_nsa|level|lag0,0,,False,False
na,2Q24,cpi_hotels_motels_nsa|level|lag1,0,,False,False
na,2Q24,cpi_hotels_motels_nsa|diff|lag0,0,,False,False
na,2Q24,cpi_hotels_motels_nsa|diff|lag1,0,,False,False
na,2Q24,bea_hotels_price|level|lag0,0,,False,False
na,2Q24,bea_hotels_price|level|lag1,0,,False,False
na,2Q24,bea_hotels_price|diff|lag0,0,,False,False
na,2Q24,bea_hotels_price|diff|lag1,0,,False,False
na,3Q24,last_q,5,1.596495108667734,True,True
na,3Q24,persistence,4,2.5668754329193693,True,False
na,3Q24,trailing_4q,2,5.138448944872617,False,False
na,3Q24,ar1,1,9.354571121893061,False,False
na,3Q24,last_q_ex_size,3,1.9211900381561406,False,False
na,3Q24,cpi_lodging_sa|level|lag0,1,2.095204149859212,False,False
na,3Q24,cpi_lodging_sa|level|lag1,1,1.3898658722559447,False,False
na,3Q24,cpi_lodging_sa|diff|lag0,1,3.9801919529730982,False,False
na,3Q24,cpi_lodging_sa|diff|lag1,1,3.860311032508481,False,False
na,3Q24,cpi_lodging_nsa|level|lag0,1,1.8859693807431857,False,False
