variant,region,quarter,candidate,pred_pp,actual_pp,actual_usable
L_wf,na,1Q24,last_q,-0.2236,2.7792,True
L_wf_gap_lastq,na,1Q24,last_q,-0.2236,2.7792,True
L_fixed_hicp,na,1Q24,last_q,-0.2236,2.7792,True
L_reg_lastq,na,1Q24,last_q,-0.2236,2.7792,True
L_reg_persist,na,1Q24,persistence,-0.6934,2.7792,True
L_wf_rel,na,1Q24,last_q,-0.2236,2.7792,True
L_wf_own,na,1Q24,last_q,-0.2236,2.7792,True
L_wf,na,2Q24,last_q,2.7792,4.0906,True
L_wf_gap_lastq,na,2Q24,last_q,2.7792,4.0906,True
L_fixed_hicp,na,2Q24,last_q,2.7792,4.0906,True
L_reg_lastq,na,2Q24,last_q,2.7792,4.0906,True
L_reg_persist,na,2Q24,persistence,1.2778,4.0906,True
L_wf_rel,na,2Q24,last_q,2.7792,4.0906,True
L_wf_own,na,2Q24,last_q,2.7792,4.0906,True
L_wf,na,3Q24,last_q,4.0906,3.3314,True
L_wf_gap_lastq,na,3Q24,last_q,4.0906,3.3314,True
L_fixed_hicp,na,3Q24,last_q,4.0906,3.3314,True
L_reg_lastq,na,3Q24,last_q,4.0906,3.3314,True
L_reg_persist,na,3Q24,persistence,3.4349,3.3314,True
L_wf_rel,na,3Q24,last_q,4.0906,3.3314,True
L_wf_own,na,3Q24,last_q,4.0906,3.3314,True
L_wf,na,4Q24,last_q,3.3314,3.4676,True
L_wf_gap_lastq,na,4Q24,last_q,3.3314,3.4676,True
L_fixed_hicp,na,4Q24,last_q,3.3314,3.4676,True
L_reg_lastq,na,4Q24,last_q,3.3314,3.4676,True
L_reg_persist,na,4Q24,persistence,3.711,3.4676,True
L_wf_rel,na,4Q24,last_q_ex_size,3.0649900487753188,3.4676,True
L_wf_own,na,4Q24,last_q,3.3314,3.4676,True
L_wf,na,1Q25,last_q,3.4676,3.0,True
L_wf_gap_lastq,na,1Q25,last_q,3.4676,3.0,True
L_fixed_hicp,na,1Q25,last_q,3.4676,3.0,True
L_reg_lastq,na,1Q25,last_q,3.4676,3.0,True
L_reg_persist,na,1Q25,persistence,3.3995,3.0,True
L_wf_rel,na,1Q25,last_q,3.4676,3.0,True
L_wf_own,na,1Q25,last_q,3.4676,3.0,True
L_wf,na,2Q25,cpi_lodging_sa|level|lag1,2.766093347545531,3.3308,True
L_wf_gap_lastq,na,2Q25,cpi_lodging_sa|level|lag1,2.766093347545531,3.3308,True
L_fixed_hicp,na,2Q25,last_q,3.0,3.3308,True
L_reg_lastq,na,2Q25,last_q,3.0,3.3308,True
L_reg_persist,na,2Q25,persistence,3.2338,3.3308,True
L_wf_rel,na,2Q25,last_q_ex_size,3.196782292237074,3.3308,True
L_wf_own,na,2Q25,last_q,3.0,3.3308,True
L_wf,na,3Q25,cpi_lodging_sa|level|lag1,4.1507273497286405,5.0474,True
L_wf_gap_lastq,na,3Q25,cpi_lodging_sa|level|lag1,4.1507273497286405,5.0474,True
L_fixed_hicp,na,3Q25,last_q,3.3308,5.0474,True
L_reg_lastq,na,3Q25,last_q,3.3308,5.0474,True
L_reg_persist,na,3Q25,persistence,3.1654,5.0474,True
L_wf_rel,na,3Q25,last_q_ex_size,2.976884753993545,5.0474,True
L_wf_own,na,3Q25,last_q,3.3308,5.0474,True
L_wf,na,4Q25,bea_hotels_price|level|lag1,4.8353031230203865,4.777,True
L_wf_gap_lastq,na,4Q25,bea_hotels_price|level|lag1,4.8353031230203865,4.777,True
L_fixed_hicp,na,4Q25,last_q,5.0474,4.777,True
L_reg_lastq,na,4Q25,last_q,5.0474,4.777,True
L_reg_persist,na,4Q25,persistence,4.1891,4.777,True
L_wf_rel,na,4Q25,bea_hotels_price|level|lag1,4.8353031230203865,4.777,True
L_wf_own,na,4Q25,last_q,5.0474,4.777,True
L_wf,na,1Q26,bea_hotels_price|level|lag1,4.850470159653511,6.3048,True
L_wf_gap_lastq,na,1Q26,bea_hotels_price|level|lag1,4.850470159653511,6.3048,True
L_fixed_hicp,na,1Q26,last_q,4.777,6.3048,True
L_reg_lastq,na,1Q26,last_q,4.777,6.3048,True
L_reg_persist,na,1Q26,persistence,4.9122,6.3048,True
L_wf_rel,na,1Q26,bea_hotels_price|level|lag1,4.850470159653511,6.3048,True
L_wf_own,na,1Q26,last_q,4.777,6.3048,True
L_wf,na,2Q26,cpi_lodging_nsa|level|lag1,1.7606411071335824,6.7506,True
L_wf_gap_lastq,na,2Q26,cpi_lodging_nsa|level|lag1,1.7606411071335824,6.7506,True
L_fixed_hicp,na,2Q26,last_q,6.3048,6.7506,True
L_reg_lastq,na,2Q26,last_q,6.3048,6.7506,True
L_reg_persist,na,2Q26,persistence,5.540900000000001,6.7506,True
L_wf_rel,na,2Q26,cpi_lodging_nsa|level|lag1,1.7606411071335824,6.7506,True
L_wf_own,na,2Q26,last_q,6.3048,6.7506,True
L_wf,emea,1Q24,last_q,6.0,5.0172,True
L_wf_gap_lastq,emea,1Q24,last_q,6.0,5.0172,True
L_fixed_hicp,emea,1Q24,hicp_ea_accommodation|level|lag0,3.900141213094994,5.0172,True
L_reg_lastq,emea,1Q24,last_q,6.0,5.0172,True
L_reg_persist,emea,1Q24,persistence,6.0,5.0172,True
L_wf_rel,emea,1Q24,last_q,6.0,5.0172,True
L_wf_own,emea,1Q24,last_q,6.0,5.0172,True
L_wf,emea,2Q24,persistence,5.5086,4.61,True
L_wf_gap_lastq,emea,2Q24,persistence,5.5086,4.61,True
L_fixed_hicp,emea,2Q24,hicp_ea_accommodation|level|lag0,4.830208389015093,4.61,True
L_reg_lastq,emea,2Q24,last_q,5.0172,4.61,True
L_reg_persist,emea,2Q24,persistence,5.5086,4.61,True
L_wf_rel,emea,2Q24,last_q,5.0172,4.61,True
L_wf_own,emea,2Q24,persistence,5.5086,4.61,True
L_wf,emea,3Q24,persistence,4.8136,4.6137,True
L_wf_gap_lastq,emea,3Q24,persistence,4.8136,4.6137,True
L_fixed_hicp,emea,3Q24,hicp_ea_accommodation|level|lag0,4.181134021850994,4.6137,True
L_reg_lastq,emea,3Q24,last_q,4.61,4.6137,True
L_reg_persist,emea,3Q24,persistence,4.8136,4.6137,True
L_wf_rel,emea,3Q24,last_q,4.61,4.6137,True
L_wf_own,emea,3Q24,persistence,4.8136,4.6137,True
L_wf,emea,4Q24,last_q_ex_size,4.494682457087602,6.0,True
L_wf_gap_lastq,emea,4Q24,last_q_ex_size,4.494682457087602,6.0,True
L_fixed_hicp,emea,4Q24,hicp_ea_accommodation|level|lag0,4.434665585036376,6.0,True
L_reg_lastq,emea,4Q24,last_q,4.6137,6.0,True
L_reg_persist,emea,4Q24,persistence,4.61185,6.0,True
L_wf_rel,emea,4Q24,last_q,4.6137,6.0,True
L_wf_own,emea,4Q24,last_q_ex_size,4.494682457087602,6.0,True
L_wf,emea,1Q25,ar1,5.437416711621249,4.0,True
L_wf_gap_lastq,emea,1Q25,ar1,5.437416711621249,4.0,True
