quarter,region,exfx_pp,reported_yoy_pp,fx_pp,nights_share_pct,adr_anchored_usd,adr_usd,exfx_basis,exfx_basis_raw,reported_basis_raw,basis_flag_04,usable,size_term_pp
1Q21,na,,,0.4528,37.9242,227.4632,227.4643,modelled,not available,not available,modelled,False,
1Q21,emea,,,8.8098,39.2881,126.8001,126.8007,modelled,not available,not available,modelled,False,
1Q21,latam,,,-6.9752,12.9075,97.8034,97.8039,modelled,not available,not available,modelled,False,
1Q21,apac,,,9.3705,9.8802,112.4914,112.4919,modelled,not available,not available,modelled,False,
2Q21,na,,,1.3486,37.9242,229.7831,229.7842,modelled,not available,not available,modelled,False,
2Q21,emea,,,10.1067,39.2881,128.0933,128.0939,modelled,not available,not available,modelled,False,
2Q21,latam,,,4.3628,12.9075,98.8009,98.8014,modelled,not available,not available,modelled,False,
2Q21,apac,,,8.6922,9.8802,113.6387,113.6392,modelled,not available,not available,modelled,False,
3Q21,na,,,0.6626,37.9242,212.2771,212.2782,modelled,not available,not available,modelled,False,
3Q21,emea,,,2.2474,39.2881,118.3346,118.3351,modelled,not available,not available,modelled,False,
3Q21,latam,,,3.3731,12.9075,91.2738,91.2743,modelled,not available,not available,modelled,False,
3Q21,apac,,,0.8571,9.8802,104.9811,104.9817,modelled,not available,not available,modelled,False,
4Q21,na,,,0.253,37.9242,218.6248,218.6259,modelled,not available,not available,modelled,False,
4Q21,emea,,,-2.431,39.2881,121.8731,121.8737,modelled,not available,not available,modelled,False,
4Q21,latam,,,-1.3908,12.9075,94.0032,94.0036,modelled,not available,not available,modelled,False,
4Q21,apac,,,-2.0913,9.8802,108.1204,108.1209,modelled,not available,not available,modelled,False,
1Q22,na,11.5896,11.5716,-0.018,32.7439,253.3054,253.7855,modelled,derived (modelled reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),modelled (from modelled levels),modelled,False,
1Q22,emea,12.3514,6.607,-5.7444,44.7265,134.4856,135.1784,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 1.04]),modelled (from modelled levels),modelled,False,
1Q22,latam,-1.3044,0.3099,1.6143,13.2349,97.8747,98.107,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
1Q22,apac,15.5147,10.2338,-5.2808,9.2947,124.0208,124.0042,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
2Q22,na,7.9044,7.5998,-0.3046,32.7439,246.7795,247.2473,modelled,derived (modelled reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),modelled (from modelled levels),modelled,False,
2Q22,emea,13.9368,2.8119,-11.1249,44.7265,131.0208,131.6958,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 1.04]),modelled (from modelled levels),modelled,False,
2Q22,latam,-5.784,-3.261,2.523,13.2349,95.3532,95.5795,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
2Q22,apac,13.6209,6.3096,-7.3113,9.2947,120.8256,120.8094,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
3Q22,na,9.9274,9.6274,-0.3,35.199,232.2748,232.715,modelled,derived (modelled reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),modelled (from modelled levels),modelled,False,
3Q22,emea,19.1621,4.7493,-14.4128,39.4323,123.3199,123.9552,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 1.04]),modelled (from modelled levels),modelled,False,
3Q22,latam,-1.1104,-1.438,-0.3277,13.4677,89.7487,89.9617,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
3Q22,apac,16.694,8.313,-8.381,11.901,113.724,113.7087,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
4Q22,na,4.9463,4.4801,-0.4662,34.488,227.9884,228.4205,modelled,derived (modelled reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),modelled (from modelled levels),modelled,False,
4Q22,emea,10.9226,-0.169,-11.0916,41.3956,121.0442,121.6678,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 1.04]),modelled (from modelled levels),modelled,False,
4Q22,latam,-9.5057,-6.0658,3.4399,13.9399,88.0925,88.3016,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
4Q22,apac,12.8483,3.2274,-9.6209,10.1765,111.6253,111.6104,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
1Q23,na,-1.8904,-2.2024,-0.312,31.2658,249.401,248.1962,modelled,derived (modelled reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),modelled (from modelled levels),modelled,False,
1Q23,emea,13.5905,8.0,-5.5905,43.2854,144.7715,145.9926,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 1.04]),disclosed (shareholder letter),disclosed-chained,True,
1Q23,latam,-2.4615,-0.0058,2.4557,13.7389,98.2327,98.1014,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
1Q23,apac,4.4372,-1.3462,-5.7834,11.71,122.4291,122.3349,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
2Q23,na,-0.871,-1.0,-0.129,31.825,245.963,244.7748,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,
2Q23,emea,6.4312,8.0,1.5688,44.0596,141.0418,142.2314,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 1.04]),disclosed (shareholder letter),disclosed-chained,True,
2Q23,latam,-2.2174,0.6918,2.9092,14.1288,96.3695,96.2407,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,
2Q23,apac,4.0923,-0.6579,-4.7503,9.9865,120.107,120.0146,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,
3Q23,na,-1.1632,-1.0,0.1632,33.9515,231.5063,230.3879,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.5294190809437571
