region,quarter,pick,pick_kind,pick_rmse_prior_oos,n_oos_prior,n_eligible,runner_up,runner_up_rmse_prior_oos,last_q_rmse_prior_oos,last_q_n_prior_oos,selection_basis,pred_pp,pred_last_q_pp,actual_pp,actual_usable
na,1Q24,last_q,own_rule,0.8180067970377752,3,0,,,0.8180067970377752,3,default: no candidate has four out-of-sample quarters before t,-0.2236,-0.2236,2.7792,True
na,2Q24,last_q,own_rule,1.660136530529944,4,1,,,1.660136530529944,4,lowest OOS RMSE over 4 usable quarters before t among 1 eligible,2.7792,2.7792,4.0906,True
na,3Q24,last_q,own_rule,1.596495108667734,5,2,persistence,2.5668754329193693,1.596495108667734,5,lowest OOS RMSE over 5 usable quarters before t among 2 eligible,4.0906,4.0906,3.3314,True
na,4Q24,last_q,own_rule,1.4899870133662239,6,3,last_q_ex_size,1.7386771758079744,1.4899870133662239,6,lowest OOS RMSE over 6 usable quarters before t among 3 eligible,3.3314,3.3314,3.4676,True
na,1Q25,last_q,own_rule,1.3804201348036866,7,4,last_q_ex_size,1.5655087390064302,1.3804201348036866,7,lowest OOS RMSE over 7 usable quarters before t among 4 eligible,3.4676,3.4676,3.0,True
na,2Q25,cpi_lodging_sa|level|lag1,proxy_ols,0.9595640811908578,4,21,bea_hotels_price|level|lag1,1.015272737383341,1.301804900897212,8,lowest OOS RMSE over 4 usable quarters before t among 21 eligible,2.766093347545531,3.0,3.3308,True
na,3Q25,cpi_lodging_sa|level|lag1,proxy_ols,0.8946447906261963,5,21,bea_hotels_price|level|lag1,0.9282941456884737,1.2322967103024427,9,lowest OOS RMSE over 5 usable quarters before t among 21 eligible,4.1507273497286405,3.3308,5.0474,True
na,4Q25,bea_hotels_price|level|lag1,proxy_ols,0.8930572310202728,6,21,cpi_lodging_sa|level|lag1,0.894983086312959,1.288941899388797,10,lowest OOS RMSE over 6 usable quarters before t among 21 eligible,4.8353031230203865,5.0474,4.777,True
na,1Q26,bea_hotels_price|level|lag1,proxy_ols,0.8271039459134775,7,21,cpi_lodging_sa|level|lag1,0.831670236895401,1.2316592046356152,11,lowest OOS RMSE over 7 usable quarters before t among 21 eligible,4.8504701596535105,4.777,6.3048,True
na,2Q26,cpi_lodging_nsa|level|lag1,proxy_ols,0.8597692408410204,8,21,bea_hotels_price|level|lag1,0.9289632558625339,1.2590009663750594,12,lowest OOS RMSE over 8 usable quarters before t among 21 eligible,1.7606411071335824,6.3048,6.7506,True
