variant,region,n,first_q,last_q,rmse_pp,rmse_regional_naive_pp,ratio_vs_regional_naive,bias_pp,jackknife_min,jackknife_max,picks
L_wf,na,10,1Q24,2Q26,1.9922661061274876,1.3119578301149772,1.5185443162856,-1.1070964912918348,0.9324140854435823,1.9346387225475805,1Q24:last_q;2Q24:last_q;3Q24:last_q;4Q24:last_q;1Q25:last_q;2Q25:cpi_lodging_sa|level|lag1;3Q25:cpi_lodging_sa|level|lag1;4Q25:bea_hotels_price|level|lag1;1Q26:bea_hotels_price|level|lag1;2Q26:cpi_lodging_nsa|level|lag1
L_wf,emea,10,1Q24,2Q26,1.0265946583868635,1.0026738781877187,1.0238569895152554,-0.05603238276324492,0.9185214619948604,1.183064497476894,1Q24:last_q;2Q24:persistence;3Q24:persistence;4Q24:last_q_ex_size;1Q25:ar1;2Q25:hicp_ea_accommodation|level|lag0;3Q25:hicp_ea_accommodation|level|lag0;4Q25:hicp_ea_accommodation|level|lag0;1Q26:hicp_ea_accommodation|level|lag0;2Q26:hicp_ea_accommodation|level|lag0
L_wf,latam,7,4Q24,2Q26,0.9654144927735149,0.9654144927735149,1.0,0.3891428571428572,1.0,1.0,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_wf,apac,7,4Q24,2Q26,2.1988635496546847,2.19072741898341,1.0037138945725388,0.04775714285714283,1.0,1.00587106726454,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:persistence;2Q26:persistence
L_wf_gap_lastq,na,10,1Q24,2Q26,1.9922661061274876,1.3119578301149772,1.5185443162856,-1.1070964912918348,0.9324140854435823,1.9346387225475805,1Q24:last_q;2Q24:last_q;3Q24:last_q;4Q24:last_q;1Q25:last_q;2Q25:cpi_lodging_sa|level|lag1;3Q25:cpi_lodging_sa|level|lag1;4Q25:bea_hotels_price|level|lag1;1Q26:bea_hotels_price|level|lag1;2Q26:cpi_lodging_nsa|level|lag1
L_wf_gap_lastq,emea,10,1Q24,2Q26,1.0265946583868635,1.0026738781877187,1.0238569895152554,-0.05603238276324492,0.9185214619948604,1.183064497476894,1Q24:last_q;2Q24:persistence;3Q24:persistence;4Q24:last_q_ex_size;1Q25:ar1;2Q25:hicp_ea_accommodation|level|lag0;3Q25:hicp_ea_accommodation|level|lag0;4Q25:hicp_ea_accommodation|level|lag0;1Q26:hicp_ea_accommodation|level|lag0;2Q26:hicp_ea_accommodation|level|lag0
L_wf_gap_lastq,latam,7,4Q24,2Q26,0.9654144927735149,0.9654144927735149,1.0,0.3891428571428572,1.0,1.0,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_wf_gap_lastq,apac,7,4Q24,2Q26,2.1988635496546847,2.19072741898341,1.0037138945725388,0.04775714285714283,1.0,1.00587106726454,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:persistence;2Q26:persistence
L_fixed_hicp,na,10,1Q24,2Q26,1.3119578301149772,1.3119578301149772,1.0,-0.6974199999999999,1.0,1.0,1Q24:last_q;2Q24:last_q;3Q24:last_q;4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_fixed_hicp,emea,10,1Q24,2Q26,0.9169074699675085,1.0026738781877187,0.9144623091455932,-0.5185603760176225,0.7798839691851795,1.1728538053746642,1Q24:hicp_ea_accommodation|level|lag0;2Q24:hicp_ea_accommodation|level|lag0;3Q24:hicp_ea_accommodation|level|lag0;4Q24:hicp_ea_accommodation|level|lag0;1Q25:hicp_ea_accommodation|level|lag0;2Q25:hicp_ea_accommodation|level|lag0;3Q25:hicp_ea_accommodation|level|lag0;4Q25:hicp_ea_accommodation|level|lag0;1Q26:hicp_ea_accommodation|level|lag0;2Q26:hicp_ea_accommodation|level|lag0
L_fixed_hicp,latam,7,4Q24,2Q26,0.9654144927735149,0.9654144927735149,1.0,0.3891428571428572,1.0,1.0,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_fixed_hicp,apac,7,4Q24,2Q26,2.19072741898341,2.19072741898341,1.0,-0.023671428571428597,1.0,1.0,4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_reg_lastq,na,10,1Q24,2Q26,1.3119578301149772,1.3119578301149772,1.0,-0.6974199999999999,1.0,1.0,1Q24:last_q;2Q24:last_q;3Q24:last_q;4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
L_reg_lastq,emea,10,1Q24,2Q26,1.0026738781877187,1.0026738781877187,1.0,0.1,1.0,1.0,1Q24:last_q;2Q24:last_q;3Q24:last_q;4Q24:last_q;1Q25:last_q;2Q25:last_q;3Q25:last_q;4Q25:last_q;1Q26:last_q;2Q26:last_q
