quarter,within_region_exfx_L_pp,geo_mix_L_pp,blended_reconstructed_L_pp,nights_share_mean_exfx_pp,within_region_exfx_H_pp,geo_mix_H_pp,blended_reconstructed_H_pp,disclosed_blended_exfx_pp,gap_reconstructed_minus_disclosed_pp,gap_H_pp,n_regions_usable,regions_modelled,dollar_weight_na,dollar_weight_emea,dollar_weight_latam,dollar_weight_apac,abs_diff_within_vs_H,abs_diff_geo_vs_H
1Q22,11.081541035700493,-3.65792214381373,7.423618891886763,10.612411426,,,,,,,0,"na,emea,latam,apac",0.539757087524387,0.3117104796966823,0.07898904576541085,0.06954338701351986,,
2Q22,9.101072968324363,-3.3189822144726424,5.782090753851721,9.072386747400001,,,,,,,0,"na,emea,latam,apac",0.5397571341060435,0.3117104194949736,0.07898905410885426,0.06954339229012856,,
3Q22,12.404659908853176,-2.128527572835658,10.276132336017518,12.7993877489,,,,,,,0,"na,emea,latam,apac",0.5397570297040937,0.3117105537612794,0.07898906965072153,0.06954334688390537,,
4Q22,6.217156319065675,-2.4706782210793365,3.746478097986339,6.2096162243,,,,,,,0,"na,emea,latam,apac",0.5397570514110429,0.3117104455441179,0.07898911406012127,0.06954338898471792,,
1Q23,4.0576063441838395,-1.3517978946090858,2.7058084495747536,5.5462116618,4.05760634418384,-1.351797894609108,2.7058084495747314,3.0,-0.29419155042524636,-0.2941915504252685,1,"na,latam,apac",0.49495859287573146,0.35895062527728494,0.07730100191140934,0.06878977993557431,8.881784197001252e-16,2.220446049250313e-14
2Q23,1.9874746643921526,-0.9030804532740744,1.0843942111180782,2.6781476344999997,1.9874746643921304,-0.9030804532740522,1.0843942111180782,2.0,-0.9156057888819218,-0.9156057888819218,2,"latam,apac",0.49495866065388877,0.3589505341216637,0.07730104750488263,0.06878975771956483,2.220446049250313e-14,2.220446049250313e-14
3Q23,1.368175180386122,-1.1672079841690497,0.20096719621707226,1.9982110014,1.368175180386122,-1.167207984169072,0.20096719621705,0.5,-0.29903280378292774,-0.2990328037829499,2,"latam,apac",0.5240666230025942,0.3117018314110607,0.07747751470297379,0.08675403088337125,0.0,2.220446049250313e-14
4Q23,1.769817707843968,-0.939076865441546,0.8307408424024221,2.2044489914,1.769817707843968,-0.939076865441546,0.8307408424024221,0.5,0.3307408424024221,0.3307408424024221,2,"latam,apac",0.5160200364698967,0.3288394936001798,0.08059060163380419,0.07454986829611927,0.0,0.0
1Q24,3.143041818642822,-1.3250725093447269,1.8179693092980953,2.9081519975480026,3.1430418186428444,-1.325072509344749,1.8179693092980955,2.0,-0.1820306907019047,-0.1820306907019047,2,"latam,apac",0.4628423541816029,0.37195454285649604,0.08010754114668991,0.08509556181521102,2.220446049250313e-14,2.220446049250313e-14
2Q24,3.807207061512141,-1.131644617522909,2.6755624439892323,3.5398395021395026,3.8072070615121634,-1.131644617522953,2.67556244398921,3.0,-0.32443755601076774,-0.3244375560107899,2,"latam,apac",0.471465885316239,0.3742833184258584,0.08200814013623359,0.07224265612166908,2.220446049250313e-14,4.418687638008123e-14
3Q24,3.4243671172353274,-1.1196157663853068,2.3047513508500206,3.3975991420000002,3.4243671172353496,-1.1196157663853512,2.3047513508499984,2.0,0.3047513508500206,0.3047513508499984,2,"latam,apac",0.48786026729699844,0.3349914160951745,0.08368148307714435,0.0934668335306827,2.220446049250313e-14,4.440892098500626e-14
4Q24,4.28216208280876,-1.791887454358232,2.4902746284505284,4.422217605817607,4.282162082808738,-1.791887454358232,2.490274628450506,2.0,0.4902746284505284,0.4902746284505062,4,,0.48920411314172824,0.34831461902107774,0.08547382513882236,0.07700744269837169,2.220446049250313e-14,0.0
1Q25,3.2920833543422123,-1.8943503003307827,1.3977330540114297,3.2712600000000003,3.2920833543422123,-1.8943503003307605,1.397733054011452,1.0,0.39773305401142967,0.3977330540114518,4,,0.44594782611756206,0.3776773099368148,0.0855939555946135,0.09078090835100974,0.0,2.220446049250313e-14
2Q25,2.914830771949828,-1.7015904262112747,1.2132403457385532,2.7326984952,2.914830771949828,-1.7015904262112749,1.2132403457385532,1.0,0.21324034573855322,0.2132403457385532,4,,0.4638742116761662,0.3735816522599697,0.0864694548550978,0.07607468120876623,0.0,2.220446049250313e-16
3Q25,4.313521306162871,-1.593234059968962,2.7202872461939087,4.049421437221437,4.313521306162893,-1.5932340599689845,2.7202872461939087,2.0,0.7202872461939087,0.7202872461939087,4,,0.4751785645846347,0.34064071303229776,0.08627101598674233,0.09790970639632518,2.220446049250313e-14,2.2426505097428162e-14
4Q25,4.107410292504943,-1.45739715776656,2.6500131347383826,3.847546756,4.107410292504943,-1.457397157766538,2.650013134738405,3.0,-0.3499868652616174,-0.3499868652615951,4,,0.46730957753939784,0.36035936107034705,0.08897287353732886,0.08335818785292631,0.0,2.19824158875781e-14
1Q26,4.7100234026505206,-1.0430677435334657,3.666955659117055,4.2094391576,4.7100234026505206,-1.0430677435334657,3.666955659117055,4.0,-0.3330443408829451,-0.3330443408829451,4,,0.4312798629499451,0.3812714119290433,0.09090702476550153,0.09654170035551013,0.0,0.0
2Q26,4.986184221417411,-1.2672243932303484,3.718959828187063,4.2749831254999995,4.9861842214174334,-1.2672243932303706,3.718959828187063,4.0,-0.28104017181293717,-0.2810401718129371,4,,0.43895546510474176,0.3905077649347057,0.089770138335233,0.0807666316253196,2.220446049250313e-14,2.220446049250313e-14
