item,value
literal,0.5086
material,0.3748
regime_weight_T1,0.1908
regime_weight_T2,0.2049
regime_weight_T3,0.3387
regime_weight_T4,0.0793
regime_weight_T5,0.1147
regime_weight_T6,0.0715
literal_p,0.5086
literal_share_numeric,0.7744
literal_share_t5,0.2256
literal_gap_mean,0.9925
literal_gap_p10,0.2
literal_gap_p50,0.6
literal_gap_p90,2.2
literal_gap_lt_50bp,0.3398
literal_gap_gt_150bp,0.2813
literal_e_floor,34.8253
literal_e_realised,35.5972
literal_d_vs_street_pp,-0.8528
literal_d_vs_team_pp,-0.1028
literal_d_ebitda_musd,-134.9902
literal_d_eps_usd,-0.189
literal_stock_usd,-3.9216
material_p,0.3748
material_share_numeric,0.6938
material_share_t5,0.3062
material_gap_mean,1.3683
material_gap_p10,0.5
material_gap_p50,1.3
material_gap_p90,2.3
material_gap_lt_50bp,0.0
material_gap_gt_150bp,0.4261
material_e_floor,34.4475
material_e_realised,35.2539
material_d_vs_street_pp,-1.1961
material_d_vs_team_pp,-0.4461
material_d_ebitda_musd,-189.3269
material_d_eps_usd,-0.2651
material_stock_usd,-5.5002
