case,literal,material,T1,T2,T3,T4,T5,T6,lit_stock_usd,mat_stock_usd
base: F03 revision 2 regime weights and C04 revision-2 FY26 print,0.5086,0.3748,0.191,0.205,0.339,0.079,0.115,0.071,-3.92,-5.5
A17-09 as written: T5 a LANGUAGE OVERLAY on the T1 floor (70% of T5),0.5086,0.3741,0.271,0.205,0.339,0.079,0.034,0.071,-3.74,-5.27
A17-09 as computed by the audit: T5 mass moved to T3/T6 (T5 -> 0.03),0.4353,0.3024,0.196,0.204,0.391,0.077,0.037,0.095,-3.38,-5.08
A17-10: T2 halved (no February letter has used the form),0.4086,0.341,0.192,0.102,0.441,0.078,0.116,0.071,-4.92,-5.99
A17-10: T2 = 0 (the two readings coincide),0.3093,0.3076,0.193,0.0,0.542,0.077,0.117,0.071,-6.55,-6.59
both A17 structural corrections together,0.3361,0.269,0.197,0.102,0.492,0.076,0.038,0.095,-4.42,-5.64
numeric dominant (T1 .30 T2 .25 T3 .20),0.6602,0.5042,0.293,0.236,0.198,0.065,0.133,0.075,-4.07,-5.49
qualitative dominant (T3 .45),0.3566,0.285,0.124,0.111,0.426,0.114,0.123,0.103,-4.69,-6.0
explicit investment-year 0.25 (T5),0.6029,0.5046,0.189,0.149,0.247,0.065,0.266,0.084,-5.1,-6.19
"expand 0.20 (T4, bull)",0.4556,0.337,0.153,0.182,0.231,0.22,0.121,0.091,-4.04,-5.64
FY26 print 36.1 (C04 'approximately 36%' branch),0.5085,0.3752,0.191,0.205,0.339,0.079,0.115,0.071,-2.48,-4.03
FY26 print 35.6,0.5087,0.375,0.191,0.205,0.339,0.079,0.115,0.071,-4.33,-5.91
"FY26 print revision 1 N(35.85, 0.55), 85% defence",0.5088,0.3748,0.191,0.205,0.339,0.079,0.115,0.071,-3.25,-4.85
no floor defence (p_cut 0),0.5084,0.375,0.191,0.205,0.339,0.079,0.115,0.071,-4.4,-5.93
T1 haircut band 1.0-2.0 (revision 1),0.5086,0.3764,0.191,0.205,0.339,0.079,0.115,0.071,-4.35,-6.05
T2 haircut band 0-50bp,0.5095,0.4284,0.191,0.205,0.339,0.079,0.115,0.071,-4.16,-5.03
material threshold 100bp,0.5086,0.2831,0.191,0.205,0.339,0.079,0.115,0.071,-3.92,-6.92
