,mirror,spy
2022-11-14,99999.99999999999,100000.0
2022-11-15,100835.418705643,100915.21004602655
2022-11-16,99939.62665443169,100148.9876819113
2022-11-17,100352.26998544109,99848.35182376885
2022-11-18,100703.59404440186,100332.56178998058
2022-11-21,99681.65979499737,99909.54319312527
2022-11-22,101135.51452315855,101253.09282464681
2022-11-23,101395.2586919053,101854.36454093171
2022-11-24,101395.2586919053,101854.36454093171
2022-11-25,100591.03441821992,101859.68552957139
2022-11-28,98413.33339862691,100247.42597174556
2022-11-29,97867.11274338927,100103.75927847395
2022-11-30,100987.20413885286,103173.96972357464
2022-12-01,100801.16990706907,103163.32774629527
2022-12-02,100387.16905710055,103022.3215473435
2022-12-05,98765.39964479931,101189.24096097055
2022-12-06,96681.125948438,99749.91353393461
2022-12-07,96128.07021671764,99542.39497698672
2022-12-08,96685.29241118616,100308.61734110197
2022-12-09,96055.79559692879,99590.28387474392
2022-12-12,97428.84558334367,101008.32734722111
2022-12-13,98045.50426843867,101801.15465453481
2022-12-14,96807.57155906895,101133.3705802538
2022-12-15,93973.30215970319,98706.9997605555
2022-12-16,92864.72992395966,97517.75879958496
2022-12-19,92283.09880938077,96663.74012291484
2022-12-20,92362.842031264,96788.78335594754
2022-12-21,94054.85281539918,98222.78979434379
2022-12-22,92556.56797581095,96849.97472530395
2022-12-23,93049.38126440726,97363.45012903397
2022-12-26,93049.38126440726,97363.45012903397
2022-12-27,92721.48584708445,97004.28339585495
2022-12-28,90977.5249548577,95823.02391784394
2022-12-29,92738.75759397233,97523.07978822466
2022-12-30,92809.84498825039,97291.61678239817
2023-01-02,92809.84498825039,97291.61678239817
2023-01-03,91040.19563885817,96897.86362306116
2023-01-04,92041.19403737258,97618.85758373907
2023-01-05,91489.27644360065,96496.12898076462
2023-01-06,93941.96462047243,98701.67877191583
2023-01-09,93893.86682307969,98675.07382871737
2023-01-10,94351.05792292523,99361.4813632373
2023-01-11,95438.25968135898,100619.89517652379
2023-01-12,95736.612907896,100997.68536994174
2023-01-13,96408.817002765,101367.49408040014
2023-01-16,96408.817002765,101367.49408040014
2023-01-17,96626.70263491561,101178.59898369118
2023-01-18,95242.47715523525,99611.5678293027
2023-01-19,94989.52106540202,98845.34546518743
2023-01-20,96707.07333086566,100707.69148907866
2023-01-23,98133.4163806261,101902.2534386889
2023-01-24,98406.10230785729,101806.4756431745
2023-01-25,98431.45107442608,101814.45712613405
2023-01-26,99758.72633716359,102961.13017798707
2023-01-27,100761.62504410057,103197.91417245324
2023-01-30,99454.60379993517,101912.89541596829
2023-01-31,100354.35492121981,103405.43272940113
2023-02-01,100761.71997700656,104461.64897437944
2023-02-02,102182.02707109643,106007.39617420916
2023-02-03,103241.22753936374,104884.66757123474
2023-02-06,102186.22050299411,104283.39585494985
2023-02-07,103758.05607305208,105632.26647511109
2023-02-08,102467.27089476673,104474.95144597867
2023-02-09,101695.07330012353,103570.3833772315
2023-02-10,102102.95544381351,103788.54391145875
2023-02-13,103361.7103306053,104993.74783834837
2023-02-14,103113.74605861993,104988.42684970869
2023-02-15,103430.84236102049,105302.36517945035
2023-02-16,102316.0814280655,103855.05626945486
2023-02-17,101736.06450712064,103596.98832042994
2023-02-20,101736.06450712064,103596.98832042994
2023-02-21,99682.46013532493,101513.8212679916
2023-02-22,99677.57048743953,101378.13605767951
2023-02-23,99965.65376380448,101904.91393300873
2023-02-24,99021.24394859213,100846.0371937106
2023-02-27,99364.8866950384,101165.29651209194
2023-02-28,98993.30496893128,100800.80879027322
2023-03-01,98423.43817430685,100407.05563093621
2023-03-02,98641.79172400107,101199.88293824992
2023-03-03,100832.76032128172,102814.8029903956
2023-03-06,101799.5548491036,102883.97584271156
2023-03-07,100131.61778606701,101316.94468832308
2023-03-08,100343.21631666253,101465.93237023438
2023-03-09,98314.76914747558,99627.53079522177
2023-03-10,97012.8470590946,98161.59842498734
2023-03-13,96458.47379593954,98020.5922260356
2023-03-14,97792.26891247838,99635.51227818128
2023-03-15,96991.91518881147,99028.91957325672
2023-03-16,98347.30457975218,100742.27791523667
2023-03-17,97092.73660354089,99616.88881794237
2023-03-20,98212.54894527239,100500.17293213078
2023-03-21,99842.37009316473,101854.36454093171
2023-03-22,98392.23365659917,100146.32718759147
2023-03-23,98270.97296382081,100428.33958549499
2023-03-24,98937.56048893044,101042.9137733791
2023-03-27,99422.61748101347,101226.48788144837
2023-03-28,99229.79756195706,101040.25327905924
2023-03-29,100813.19690644636,102479.58070609519
2023-03-30,101255.56428202146,103067.54995078084
2023-03-31,102398.05153066844,104533.48232101525
2023-04-03,103385.03729641189,104951.17992923087
2023-04-04,102811.71998510875,104363.21068454519
2023-04-05,102263.29258164926,104089.17976960119
2023-04-06,102216.90751963253,104493.57490621757
2023-04-07,102216.90751963253,104493.57490621757
2023-04-10,101761.850550826,104613.29715061058
2023-04-11,101877.30058315037,104615.95764493043
2023-04-12,101490.9105602463,104192.93904807515
2023-04-13,103469.95722495542,105563.0936227951
2023-04-14,103703.35190553307,105331.63061696864
2023-04-17,104051.92416902556,105698.7788331072
2023-04-18,104502.69620240139,105770.612179743
2023-04-19,104582.69230908826,105781.25415702237
2023-04-20,104092.26233597433,105161.35898049857
