item,value
fy26_print_mean,35.8203
fy26_print_sd,0.4941
fy26_print_p_lt_35_5,0.1766
fy26_print_p_35_5_35_9,0.5087
fy26_print_p_36_0_36_4,0.2256
fy26_print_p_ge_36_5,0.0891
regime_weight_T1,0.1908
regime_weight_T2,0.2049
regime_weight_T3,0.3387
regime_weight_T4,0.0793
regime_weight_T5,0.1147
regime_weight_T6,0.0715
p_a,0.0127
p_b,0.0405
p_c,0.1008
p_d,0.3565
p_e,0.4895
p_a_rev1_mapping_reference,0.0758
p_b_rev1_mapping_reference,0.1616
p_c_rev1_mapping_reference,0.2769
p_d_rev1_mapping_reference,0.4142
p_e_rev1_mapping_reference,0.0715
b12_literal,0.5086
b12_material,0.3748
