case,a,b,c,d,e
base,0.081,0.165,0.268,0.386,0.1
strict convention: qualitative sentences resolve (e),0.015,0.045,0.1,0.36,0.48
FY26 actual centred 35.6,0.041,0.137,0.312,0.41,0.1
FY26 actual centred 36.1,0.142,0.183,0.213,0.362,0.1
FY26 actual centred 36.4,0.238,0.178,0.153,0.331,0.1
"haircut regime dominant (T1 0.40, T3 0.15)",0.051,0.107,0.181,0.582,0.08
"flat regime dominant (T3 0.45, T1 0.10)",0.098,0.203,0.346,0.282,0.07
investment-year 0.25,0.057,0.121,0.205,0.517,0.1
expand 0.20 (bull),0.12,0.217,0.246,0.316,0.1
no floor defence (p_defend 0.5),0.051,0.122,0.239,0.488,0.1
haircut 1.5-2.0 only,0.081,0.165,0.264,0.391,0.1
