guide_id,print_quarter,print_date,target_period,metric,guide_type,value_low,value_high,value_mid,direction,comparator_value,actual,outcome,pct_distance_from_mid,quote
ABNB-4Q20-adj_ebitda_margin_pct-1Q21-003,4Q20,2021-02-25,1Q21,adj_ebitda_margin_pct,qualitative,,,,seasonal_low,,-6.7,qualitative,,We anticipate our Adjusted EBITDA margin to also be at its lowest during Q1
ABNB-4Q20-nights_m-1Q21-000,4Q20,2021-02-25,1Q21,nights_m,directional,,,,between_2020_and_2019,,64.4,n/a (2019 base not in panel),,"we anticipate that levels in Q1 2021 will be higher than those of Q1 2020, but lower than Q1 2019"
ABNB-4Q20-revenue_yoy_pct-1Q21-002,4Q20,2021-02-25,1Q21,revenue_yoy_pct,directional,,,,above,-22.0,5.0,met,,"For revenue, the year-over-year decline in Q1 2021 is expected to be less than that of Q4 2020"
ABNB-4Q20-adj_ebitda_margin_pct-FY2021-004,4Q20,2021-02-25,FY2021,adj_ebitda_margin_pct,qualitative,,,,2H_above_1H,,26.57,qualitative,,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half
ABNB-4Q20-sm_pct_rev_yoy_bps-FY2021-005,4Q20,2021-02-25,FY2021,sm_pct_rev_yoy_bps,qualitative,,,,1H_above_2H,,,not_scoreable,,We expect that sales and marketing expenses as a percentage of revenue in the first half of 2021 will be higher than that of the second half
ABNB-4Q21-nights_m-1Q22-029,4Q21,2022-02-15,1Q22,nights_m,directional,,,,above,83.1,102.1,met,,"we expect Q1 2022 Nights and Experiences Booked to significantly exceed Q1 2019 levels, which we believe will result in our strongest quarterly Nights"
ABNB-4Q21-revenue_usd_m-1Q22-027,4Q21,2022-02-15,1Q22,revenue_usd_m,range,1410.0,1480.0,1445.0,,,1509.0,above_range,4.43,We expect to deliver Q1 2022 revenue of between $1.41 billion and $1.48 billion
ABNB-4Q21-adj_ebitda_margin_yoy_pts-FY2022-033,4Q21,2022-02-15,FY2022,adj_ebitda_margin_yoy_pts,point,,,0.0,,,7.99,beat,,we would expect Adjusted EBITDA margin to be directionally in-line with 2021
ABNB-4Q21-sm_pct_rev_yoy_bps-FY2022-034,4Q21,2022-02-15,FY2022,sm_pct_rev_yoy_bps,point,,,0.0,,,-174.66,beat,,sales and marketing expense as a percent of revenue is expected to remain relatively flat
ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062,4Q22,2023-02-14,1Q23,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,,,-0.8,met,,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis"
ABNB-4Q22-nights_yoy_pct-1Q23-060,4Q22,2023-02-14,1Q23,nights_yoy_pct,directional,,,,approx,20.2,18.61,met,,"In Q1 2023, we expect Nights and Experiences Booked year-over-year growth to be nearly as strong as Q4 2022"
ABNB-4Q22-revenue_usd_m-1Q23-056,4Q22,2023-02-14,1Q23,revenue_usd_m,range,1750.0,1820.0,1785.0,,,1818.0,within_range,1.85,We expect revenue of $1.75 billion to $1.82 billion in Q1 2023
ABNB-4Q22-revenue_yoy_exfx_pct-1Q23-058,4Q22,2023-02-14,1Q23,revenue_yoy_exfx_pct,range,18.0,23.0,20.5,,,24.0,above_range,17.07,on an ex-FX basis between 18% and 23%
ABNB-4Q22-revenue_yoy_pct-1Q23-057,4Q22,2023-02-14,1Q23,revenue_yoy_pct,range,16.0,21.0,18.5,,,20.0,within_range,8.11,This represents year-over-year growth of between 16% and 21%
ABNB-4Q22-sm_pct_rev_yoy_bps-1Q23-063,4Q22,2023-02-14,1Q23,sm_pct_rev_yoy_bps,point,,,150.0,,,190.0,miss,26.67,we expect sales and marketing in Q1 2023 will be approximately 150 basis points higher as a percent of revenue
ABNB-4Q22-adj_ebitda_margin_yoy_pts-FY2023-064,4Q22,2023-02-14,FY2023,adj_ebitda_margin_yoy_pts,point,,,0.0,,,2.27,beat,,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022"
ABNB-4Q22-sm_pct_rev_yoy_bps-FY2023-065,4Q22,2023-02-14,FY2023,sm_pct_rev_yoy_bps,point,,,0.0,,,-27.22,beat,,but flat as a percent of revenue for the full year
ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096,4Q23,2024-02-13,1Q24,adj_ebitda_margin_yoy_pts,floor,0.0,,,,,5.4,met,,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023
ABNB-4Q23-nights_yoy_pct-1Q24-094,4Q23,2024-02-13,1Q24,nights_yoy_pct,directional,,,,below,12.0,9.5,met,,we expect the growth rate of nights booked in Q1 2024 to moderate relative to Q4 2023
ABNB-4Q23-revenue_usd_m-1Q24-091,4Q23,2024-02-13,1Q24,revenue_usd_m,range,2030.0,2070.0,2050.0,,,2142.0,above_range,4.49,"For Q1 2024, we expect to deliver revenue of $2.03 billion to $2.07 billion"
ABNB-4Q23-revenue_yoy_pct-1Q24-092,4Q23,2024-02-13,1Q24,revenue_yoy_pct,range,12.0,14.0,13.0,,,18.0,above_range,38.46,which represents year-over-year growth of between 12% and 14%
ABNB-4Q23-adj_ebitda_margin_pct-FY2024-097,4Q23,2024-02-13,FY2024,adj_ebitda_margin_pct,floor,35.0,,,,,36.4,met,,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%"
ABNB-4Q24-adj_ebitda_margin_yoy_pts-1Q25-132,4Q24,2025-02-13,1Q25,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,,,-1.4,met,,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024"
ABNB-4Q24-nights_yoy_pct-1Q25-130,4Q24,2025-02-13,1Q25,nights_yoy_pct,directional,,,,stable,8.5,7.92,met,,We expect year-over-year growth of Nights and Experiences Booked in Q1 2025 to be relatively stable compared to Q1 2024 after excluding Leap Day
ABNB-4Q24-revenue_usd_m-1Q25-127,4Q24,2025-02-13,1Q25,revenue_usd_m,range,2230.0,2270.0,2250.0,,,2272.0,above_range,0.98,"For Q1 2025, we expect to deliver revenue of $2.23 billion to $2.27 billion"
ABNB-4Q24-revenue_yoy_exfx_pct-1Q25-129,4Q24,2025-02-13,1Q25,revenue_yoy_exfx_pct,range,7.0,9.0,8.0,,,8.0,within_range,0.0,or 7% to 9% excluding the impact of FX
ABNB-4Q24-revenue_yoy_pct-1Q25-128,4Q24,2025-02-13,1Q25,revenue_yoy_pct,range,4.0,6.0,5.0,,,6.0,within_range,20.0,representing year-over-year growth of 4% to 6%
