case,a,b,c,d,e,b12_literal,b12_material,p_f04
base,0.0127,0.0405,0.1008,0.3565,0.4895,0.5086,0.3748,0.5805
"rev-1 FY26 print N(35.85,0.55) with 85% defence proxy (A_mu 35.85, sd 0.55, p_cut 0.85)",0.0171,0.0506,0.116,0.3267,0.4895,0.5088,0.3748,0.5805
FY26 print centred 35.6,0.0082,0.0316,0.0998,0.3709,0.4895,0.5087,0.375,0.5805
FY26 print centred 36.1,0.0398,0.0689,0.0953,0.3065,0.4895,0.5085,0.3752,0.5805
FY26 print centred 36.4,0.0772,0.0826,0.0821,0.2686,0.4895,0.5086,0.375,0.5805
no floor defence (p_cut 0),0.0127,0.0405,0.0756,0.3817,0.4895,0.5084,0.375,0.5805
floor always defended (p_cut 1),0.0127,0.0405,0.1263,0.3309,0.4895,0.5089,0.3747,0.5805
"numeric dominant (T1 0.30, T2 0.25, T3 0.20, T4 0.05, T5 0.12, T6 0.08)",0.0153,0.0484,0.1217,0.477,0.3377,0.6602,0.5042,0.5805
"qualitative dominant (T1 0.12, T2 0.12, T3 0.45, T4 0.10, T5 0.10, T6 0.11)",0.007,0.0219,0.0552,0.2736,0.6424,0.3566,0.285,0.5805
investment-year 0.25 (T5),0.0095,0.0305,0.0777,0.4865,0.3958,0.6029,0.5046,0.5805
"expand 0.20 (T4, bull)",0.0113,0.0354,0.0885,0.322,0.5428,0.4556,0.337,0.5805
haircut 1.0-2.0 only (rev-1 T1),0.0123,0.0385,0.0948,0.3649,0.4895,0.5086,0.3764,0.5805
no z tilt on regimes,0.0138,0.0448,0.1113,0.3354,0.4947,0.5034,0.3582,0.5805
"rev-1 mapping convention (qualitative flat -> FY26 bucket), reference only",0.0758,0.1616,0.2769,0.4142,0.0715,0.5086,0.3748,0.5805
