spec,window,target,model,n,rmse_musd,mae_musd,bias_musd,ratio_to_baseline,basis
tail34,W1,revenue,candidate,11,57.442906763497874,52.04870439293113,-13.739178256666822,0.7342294486230541,PIT_replay
tail34,W1,revenue,baseline,11,78.23563447533208,62.50912447900046,26.13127174574563,1.0,PIT_replay
tail34,W1,revenue,oracle,11,55.02406434377924,41.689086988475744,0.4459313608322604,0.7033120484391098,not_tradable_realized_target_GBV_oracle
tail34,W1,guide,candidate,11,64.28731767190052,46.256912276990576,-27.192744602724815,0.8618483150597569,PIT_replay
tail34,W1,guide,baseline,11,74.59238075721377,59.477043018004515,11.694344588812823,1.0,PIT_replay
tail34,W1,guide,oracle,11,52.02389907626183,43.59860080629696,-13.270923689100073,0.6974425343198425,not_tradable_realized_target_GBV_oracle
tail34,W2,revenue,candidate,10,56.2312085636886,50.41466063002186,-8.274181880131119,0.694636649580798,PIT_replay
tail34,W2,revenue,baseline,10,80.95053521524271,64.51849475100157,32.98594109621913,1.0,PIT_replay
tail34,W2,revenue,oracle,10,57.69730019579862,45.47931736538108,0.11184617497324326,0.7127476062064926,not_tradable_realized_target_GBV_oracle
tail34,W2,guide,candidate,10,63.83111546800382,44.01431526886986,-23.043730827177523,0.8288426200154904,PIT_replay
tail34,W2,guide,baseline,10,77.01234700842348,61.07131187195186,17.217214495547204,1.0,PIT_replay
tail34,W2,guide,oracle,10,54.56180609338172,47.83846153901313,-14.718015405923598,0.7084812788190165,not_tradable_realized_target_GBV_oracle
tail3,W1,revenue,candidate,12,56.607048598262544,49.82412137470529,-5.560093268815801,0.6824974386815207,PIT_replay
tail3,W1,revenue,baseline,12,82.9410418119936,67.58136414187679,34.234999136393185,1.0,PIT_replay
tail3,W1,revenue,oracle,12,52.828381535126915,43.70172119283393,-5.39160953170843,0.6369389675002578,not_tradable_realized_target_GBV_oracle
tail3,W1,guide,candidate,12,62.94480857798944,45.47082349678302,-23.079060747809383,0.8567510694898001,PIT_replay
tail3,W1,guide,baseline,12,73.46919171688157,59.49863667843484,15.697829785009125,1.0,PIT_replay
tail3,W1,guide,oracle,12,62.45508634100562,46.92389244508911,-22.784993608274096,0.8500853879226066,not_tradable_realized_target_GBV_oracle
tail3,W2,revenue,candidate,10,58.87278140655862,51.230298074385836,-5.061341356963157,0.7272685875395309,PIT_replay
tail3,W2,revenue,baseline,10,80.95053521524271,64.51849475100157,32.98594109621913,1.0,PIT_replay
tail3,W2,revenue,oracle,10,47.075053930615034,39.35614350266319,0.9696654401381692,0.5815286311010204,not_tradable_realized_target_GBV_oracle
tail3,W2,guide,candidate,10,66.47549102470325,46.783699480600035,-19.913584181831673,0.863179653743474,PIT_replay
tail3,W2,guide,baseline,10,77.01234700842348,61.07131187195186,17.217214495547204,1.0,PIT_replay
tail3,W2,guide,oracle,10,45.66824903875021,37.90540002719922,-13.912364626939734,0.5929990555119051,not_tradable_realized_target_GBV_oracle
tail38,W1,revenue,candidate,7,53.56564429996864,46.56893372881268,-11.600152622036603,0.8577799761725253,PIT_replay
tail38,W1,revenue,baseline,7,62.44683460551541,51.144798445917004,6.098293224799233,1.0,PIT_replay
tail38,W1,revenue,oracle,7,65.32930872942282,51.93848862105584,23.360812674191493,1.0461588508387392,not_tradable_realized_target_GBV_oracle
tail38,W1,guide,candidate,7,63.85644298056223,49.701251596391366,-23.299236960682915,0.8872160919796349,PIT_replay
tail38,W1,guide,baseline,7,71.97394587160845,56.65035703328957,-5.998353504431374,1.0,PIT_replay
tail38,W1,guide,oracle,7,53.53613808564417,46.35038196755873,10.915347804818598,0.7438266366713481,not_tradable_realized_target_GBV_oracle
tail38,W2,revenue,candidate,7,53.56564429996864,46.56893372881268,-11.600152622036603,0.8577799761725253,PIT_replay
tail38,W2,revenue,baseline,7,62.44683460551541,51.144798445917004,6.098293224799233,1.0,PIT_replay
tail38,W2,revenue,oracle,7,65.32930872942282,51.93848862105584,23.360812674191493,1.0461588508387392,not_tradable_realized_target_GBV_oracle
tail38,W2,guide,candidate,7,63.85644298056223,49.701251596391366,-23.299236960682915,0.8872160919796349,PIT_replay
tail38,W2,guide,baseline,7,71.97394587160845,56.65035703328957,-5.998353504431374,1.0,PIT_replay
tail38,W2,guide,oracle,7,53.53613808564417,46.35038196755873,10.915347804818598,0.7438266366713481,not_tradable_realized_target_GBV_oracle
