window,season,group,n_quarters,n_year_clusters,n_draws,rejected_missing_seasons,share_p05_pct,share_p95_pct,share_width_pp,effective_p05_pct,effective_p95_pct,effective_width_pp
W1,1,same_quarter,4,4,200,1,0.6028484662018582,52.14823067364958,51.54538220744772,0.05586225207793729,4.7848713633461095,4.729009111268172
W1,1,one_earlier,4,4,200,1,0.0,30.644297097120464,30.644297097120464,0.0,4.114980226086567,4.114980226086567
W1,1,two_earlier,4,4,200,1,23.234456728844442,95.8714945280988,72.63703779925436,2.640059041004668,11.222633382625677,8.582574341621008
W1,1,older_finite_tail,4,4,200,1,0.0,3.525657005699338,3.525657005699338,0.0,0.3821047629895813,0.3821047629895813
W1,2,same_quarter,4,4,200,1,0.6478802424381972,53.75179764790463,53.10391740546643,0.08421608973881844,7.024399946989898,6.940183857251079
W1,2,one_earlier,4,4,200,1,0.0,41.669741854177154,41.669741854177154,0.0,5.111329722657811,5.111329722657811
W1,2,two_earlier,4,4,200,1,19.585231490261883,95.51134420743888,75.926112717177,3.434747915075419,16.918872134593727,13.484124219518307
W1,2,older_finite_tail,4,4,200,1,0.0,3.8407755501229204,3.8407755501229204,0.0,0.5760485446355595,0.5760485446355595
W1,3,same_quarter,3,4,200,1,0.4365880288044133,43.787933701188194,43.35134567238378,0.07879618421703852,7.995701865526267,7.9169056813092284
W1,3,one_earlier,3,4,200,1,0.0,35.165040981016666,35.165040981016666,0.0,6.220390528228954,6.220390528228954
W1,3,two_earlier,3,4,200,1,27.329693234923663,97.1159343480939,69.78624111317023,4.471020904234903,15.830022144182623,11.35900123994772
W1,3,older_finite_tail,3,4,200,1,0.0,2.4474776231016877,2.4474776231016877,0.0,0.538975715707426,0.538975715707426
W1,4,same_quarter,3,4,200,1,0.4024683253754034,41.877702244855925,41.47523391948052,0.05626166114272883,5.843348932152459,5.78708727100973
W1,4,one_earlier,3,4,200,1,0.0,36.226326923889665,36.226326923889665,0.0,4.421031432126288,4.421031432126288
W1,4,two_earlier,3,4,200,1,26.558178780730977,96.64819686438541,70.09001808365443,3.1022250140315566,11.302873998374558,8.200648984343001
W1,4,older_finite_tail,3,4,200,1,0.0,2.949334810239183,2.949334810239183,0.0,0.3848367707472553,0.3848367707472553
W2,1,same_quarter,3,3,200,5,0.0,73.34003227467693,73.34003227467693,0.0,6.7423165849146,6.7423165849146
W2,1,one_earlier,3,3,200,5,0.0,20.91165715093726,20.91165715093726,0.0,2.801831262262917,2.801831262262917
W2,1,two_earlier,3,3,200,5,0.01032010497868888,96.18555991948008,96.1752398145014,0.0011841812133662857,11.257563389331619,11.256379208118252
W2,1,older_finite_tail,3,3,200,5,0.0,5.737990469407107,5.737990469407107,0.0,0.6124441855286292,0.6124441855286292
W2,2,same_quarter,3,3,200,5,0.0,66.02565498951556,66.02565498951556,0.0,8.748415101784014,8.748415101784014
W2,2,one_earlier,3,3,200,5,0.0,28.950761656208932,28.950761656208932,0.0,3.5745007817566314,3.5745007817566314
W2,2,two_earlier,3,3,200,5,0.008620539787867781,95.7188860164781,95.71026547669022,0.0015365206720552933,16.948795877149596,16.94725935647754
W2,2,older_finite_tail,3,3,200,5,0.0,5.22532605576125,5.22532605576125,0.0,0.7946698874488308,0.7946698874488308
W2,3,same_quarter,2,3,200,5,0.0,66.62852227490943,66.62852227490943,0.0,11.967250528813926,11.967250528813926
W2,3,one_earlier,2,3,200,5,0.0,28.32349064442208,28.32349064442208,0.0,4.889679544583977,4.889679544583977
W2,3,two_earlier,2,3,200,5,0.01292434330520172,97.19895058495763,97.18602624165243,0.0021018581778815566,15.849562836664857,15.847460978486975
W2,3,older_finite_tail,2,3,200,5,0.0,5.035062737363282,5.035062737363282,0.0,1.08705560037557,1.08705560037557
W2,4,same_quarter,2,3,200,5,0.0,64.13406279879506,64.13406279879506,0.0,8.770906087305978,8.770906087305978
W2,4,one_earlier,2,3,200,5,0.0,29.670114499385214,29.670114499385214,0.0,3.583690337166999,3.583690337166999
W2,4,two_earlier,2,3,200,5,0.013270733359530414,96.71762930416664,96.7043585708071,0.0015404708577503395,11.312707800567773,11.311167329710024
W2,4,older_finite_tail,2,3,200,5,0.0,6.182551968460192,6.182551968460192,0.0,0.7967128756615995,0.7967128756615995
