window,n,status,as_of,guide_target,guide_date,strict_month_cutoff,spec,dependent,n_params,slope_turns_per_growth_pp,ci95_lo,ci95_hi,intercept,r2,first_observation,last_observation,last_reported_quarters,source_vintage_status
W1,0,underpowered,2023-02-14,2023Q1,2023-02-14,True,,,,,,,,,,,,
W1,0,underpowered,2023-05-09,2023Q2,2023-05-09,True,,,,,,,,,,,,
W1,0,underpowered,2023-08-03,2023Q3,2023-08-03,True,,,,,,,,,,,,
W1,0,underpowered,2023-11-01,2023Q4,2023-11-01,True,,,,,,,,,,,,
W1,3,underpowered,2024-02-13,2024Q1,2024-02-13,True,,,,,,,,,,,,
W2,1,underpowered,2024-02-13,2024Q1,2024-02-13,True,,,,,,,,,,,,
W1,6,underpowered,2024-05-08,2024Q2,2024-05-08,True,,,,,,,,,,,,
W2,4,underpowered,2024-05-08,2024Q2,2024-05-08,True,,,,,,,,,,,,
W1,9,descriptive_only,2024-08-06,2024Q3,2024-08-06,True,12_row_changes,ev_ltm_ebitda_x,4.0,-1.4051874580079644,-2.253805625137411,-0.5565692908785177,-10.801698132086052,0.41890262254976507,2023-11-30,2024-07-31,3.0,inherited monthly PIT label; source vintages unverified
W2,7,underpowered,2024-08-06,2024Q3,2024-08-06,True,,,,,,,,,,,,
W1,12,descriptive_only,2024-11-07,2024Q4,2024-11-07,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.035112536848318276,-0.7003673766382297,0.7705924503348662,-7.966814322026302,0.49375321505150727,2023-11-30,2024-10-31,4.0,inherited monthly PIT label; source vintages unverified
W2,10,descriptive_only,2024-11-07,2024Q4,2024-11-07,True,12_row_changes,ev_ltm_ebitda_x,4.0,-0.31896631638351874,-0.9863831240125278,0.34845049124549027,-8.888374669614768,0.5662448893808922,2024-01-31,2024-10-31,4.0,inherited monthly PIT label; source vintages unverified
W1,15,descriptive_only,2025-02-13,2025Q1,2025-02-13,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.3955219573154103,-0.026036074568526635,0.8170799891993472,-6.678942278464408,0.47618672537754925,2023-11-30,2025-01-31,5.0,inherited monthly PIT label; source vintages unverified
W2,13,descriptive_only,2025-02-13,2025Q1,2025-02-13,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.29571258084091917,-0.21301963034070998,0.8044447920225484,-6.732873400838218,0.468554858182775,2024-01-31,2025-01-31,5.0,inherited monthly PIT label; source vintages unverified
W1,18,descriptive_only,2025-05-01,2025Q2,2025-05-01,True,12_row_changes,ev_ltm_ebitda_x,4.0,-0.22039378821112998,-0.4635918535419111,0.02280427711965119,-8.36327433008172,0.5885801221753444,2023-11-30,2025-04-30,6.0,inherited monthly PIT label; source vintages unverified
W2,16,descriptive_only,2025-05-01,2025Q2,2025-05-01,True,12_row_changes,ev_ltm_ebitda_x,4.0,-0.12666154886561742,-0.3903143606894603,0.13699126295822545,-7.778463031201354,0.5908880435497939,2024-01-31,2025-04-30,6.0,inherited monthly PIT label; source vintages unverified
W1,21,descriptive_only,2025-08-06,2025Q3,2025-08-06,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.0777724650410961,-0.06941376496585265,0.22495869504804483,-6.2435708150706795,0.5645709733506643,2023-11-30,2025-07-31,7.0,inherited monthly PIT label; source vintages unverified
W2,19,descriptive_only,2025-08-06,2025Q3,2025-08-06,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.16200194410174762,0.02330020490098747,0.30070368330250774,-5.741490511186969,0.5686313105466841,2024-01-31,2025-07-31,7.0,inherited monthly PIT label; source vintages unverified
W1,24,descriptive_only,2025-11-06,2025Q4,2025-11-06,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.18512463036778593,0.04921587270542044,0.3210333880301514,-5.553958823158407,0.5573221240926113,2023-11-30,2025-10-31,8.0,inherited monthly PIT label; source vintages unverified
W2,22,descriptive_only,2025-11-06,2025Q4,2025-11-06,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.27193572454580317,0.14926783711084562,0.3946036119807607,-5.033751919633232,0.5734148053133125,2024-01-31,2025-10-31,8.0,inherited monthly PIT label; source vintages unverified
W1,27,descriptive_only,2026-02-12,2026Q1,2026-02-12,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.29383035261886725,0.11537921716922744,0.47228148806850706,-4.682672575910037,0.49966909743100163,2023-11-30,2026-01-31,9.0,inherited monthly PIT label; source vintages unverified
W2,25,descriptive_only,2026-02-12,2026Q1,2026-02-12,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.3925744353051494,0.22341808779010866,0.5617307828201902,-4.092342565193969,0.5057445766635762,2024-01-31,2026-01-31,9.0,inherited monthly PIT label; source vintages unverified
W1,30,descriptive_only,2026-05-07,2026Q2,2026-05-07,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.4192078834198885,0.321409517995976,0.5170062488438011,-3.9285642291116956,0.4988075527778446,2023-11-30,2026-04-30,10.0,inherited monthly PIT label; source vintages unverified
W2,28,descriptive_only,2026-05-07,2026Q2,2026-05-07,True,12_row_changes,ev_ltm_ebitda_x,4.0,0.42710229294431956,0.37558067516600685,0.4786239107226323,-3.846332826329757,0.5430013744564324,2024-01-31,2026-04-30,10.0,inherited monthly PIT label; source vintages unverified
