print_quarter,print_date,target_period,metric,guide_type,value_low,value_high,value_mid,direction,actual,outcome,quote,revised_later_by,revision_delta
4Q20,2021-02-25,FY2021,adj_ebitda_margin_pct,qualitative,,,,2H_above_1H,26.57,qualitative,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half,1Q21,
1Q21,2021-05-13,FY2021,adj_ebitda_margin_pct,qualitative,,,,2H_above_1H,26.57,qualitative,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half,,
4Q21,2022-02-15,FY2022,adj_ebitda_margin_yoy_pts,point,,,0.0,,7.99,beat,we would expect Adjusted EBITDA margin to be directionally in-line with 2021,1Q22,
1Q22,2022-05-03,FY2022,adj_ebitda_margin_yoy_pts,floor,0.0,,,,7.99,met,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,2Q22,0.0
2Q22,2022-08-02,FY2022,adj_ebitda_margin_yoy_pts,floor,0.0,,,,7.99,met,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,,0.0
4Q22,2023-02-14,FY2023,adj_ebitda_margin_yoy_pts,point,,,0.0,,2.27,beat,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022",1Q23,
1Q23,2023-05-09,FY2023,adj_ebitda_margin_yoy_pts,point,,,0.0,,2.27,beat,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022,2Q23,0.0
2Q23,2023-08-03,FY2023,adj_ebitda_margin_yoy_pts,floor,0.0,,,,2.27,met,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022",3Q23,0.0
3Q23,2023-11-01,FY2023,adj_ebitda_margin_yoy_pts,point,,,1.5,,2.27,beat,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022,,1.5
4Q23,2024-02-13,FY2024,adj_ebitda_margin_pct,floor,35.0,,,,36.4,met,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%",1Q24,
1Q24,2024-05-08,FY2024,adj_ebitda_margin_pct,floor,35.0,,,,36.4,met,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar",2Q24,0.0
2Q24,2024-08-06,FY2024,adj_ebitda_margin_pct,floor,35.0,,,,36.4,met,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar",3Q24,0.0
3Q24,2024-11-07,FY2024,adj_ebitda_margin_pct,point,,,35.5,,36.4,beat,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%",,0.5
4Q24,2025-02-13,FY2025,adj_ebitda_margin_pct,floor,34.5,,,,35.1,met,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%,1Q25,
1Q25,2025-05-01,FY2025,adj_ebitda_margin_pct,floor,34.5,,,,35.1,met,"For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%",2Q25,0.0
2Q25,2025-08-06,FY2025,adj_ebitda_margin_pct,floor,34.5,,,,35.1,met,"For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%",3Q25,0.0
3Q25,2025-11-06,FY2025,adj_ebitda_margin_pct,point,,,35.0,,35.1,at_point,"For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%",,0.5
4Q25,2026-02-12,FY2026,adj_ebitda_margin_yoy_pts,point,,,0.0,,,pending,"For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year",,
4Q25,2026-02-12,FY2026,revenue_yoy_pct,bucket,10.0,12.0,11.0,,,pending,"For 2026, we expect year-over-year revenue growth to accelerate to at least low double digits",1Q26,
1Q26,2026-05-07,FY2026,adj_ebitda_margin_pct,floor,35.0,,,,,pending,"For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%",2Q26,
1Q26,2026-05-07,FY2026,revenue_yoy_pct,bucket,12.0,16.0,14.0,,,pending,"For 2026, we are raising our guidance and now expect year-over-year revenue growth to accelerate to low to mid teens",2Q26,3.0
2Q26,2026-08-06,FY2026,adj_ebitda_margin_pct,floor,35.5,,,,,pending,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%",,0.5
2Q26,2026-08-06,FY2026,revenue_yoy_pct,bucket,14.0,16.0,15.0,,,pending,we now expect year-over-year revenue growth to improve to at least mid teens,,1.0
