q3_print,q4_guide_mid,fy26_implied,fy26_growth_pct,q4_growth_pct
4740,2980,14006.0,14.42,7.27
4740,3020,14046.0,14.75,8.71
4740,3059,14085.0,15.06,10.12
4740,3083,14109.0,15.26,10.98
4740,3120,14146.0,15.56,12.31
4740,3160,14186.0,15.89,13.75
4740,3200,14226.0,16.22,15.19
4780,2980,14046.0,14.75,7.27
4780,3020,14086.0,15.07,8.71
4780,3059,14125.0,15.39,10.12
4780,3083,14149.0,15.59,10.98
4780,3120,14186.0,15.89,12.31
4780,3160,14226.0,16.22,13.75
4780,3200,14266.0,16.54,15.19
4804,2980,14070.0,14.94,7.27
4804,3020,14110.0,15.27,8.71
4804,3059,14149.0,15.59,10.12
4804,3083,14173.0,15.78,10.98
4804,3120,14210.0,16.09,12.31
4804,3160,14250.0,16.41,13.75
4804,3200,14290.0,16.74,15.19
4820,2980,14086.0,15.07,7.27
4820,3020,14126.0,15.4,8.71
4820,3059,14165.0,15.72,10.12
4820,3083,14189.0,15.91,10.98
4820,3120,14226.0,16.22,12.31
4820,3160,14266.0,16.54,13.75
4820,3200,14306.0,16.87,15.19
4850,2980,14116.0,15.32,7.27
4850,3020,14156.0,15.64,8.71
4850,3059,14195.0,15.96,10.12
4850,3083,14219.0,16.16,10.98
4850,3120,14256.0,16.46,12.31
4850,3160,14296.0,16.79,13.75
4850,3200,14336.0,17.11,15.19
