origin,location,sha256,bytes,duplicate_of,csv_data_rows,numeric_hotel_line_count
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/abnb_revenue_guidance_vs_actual.csv,f488a9db71a390b769a3a19730489e283eafd8b4eceb48ff7530c65274a5d7e7,1062,,20,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/eurostat_platform_vs_hotel_by_country_2019_2024.csv,3417055c9b1abd2475cfd2442719e8407b8e5c0c47d84775d53a14d121c82241,8504,,32,1
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/eurostat_platform_vs_hotel_monthly_2024.csv,342fc24941f94b3b486c25c07bea8a154495ebddaf965add20f8f0f1cba083a1,25665,,384,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/hotel_price_monitor_monthly.csv,edfaab739658eaa688653ef791fcdab1742a9e5f16dd001dae4e8b16d1d984d9,1129,,43,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_accuracy.csv,302ff159e4d6c495bcaf8dc7788ff64cb59ebce2d2c4719246c819df3f4cb8c5,3330,,57,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_coverage.csv,23012944e5d4000df6fda042a1f0b82ffe9a1dfae55f42930c94a7a80ceeb711,1641,,23,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_cushion_series.csv,3af6adbff7f53c8c606599910e4a0697f1e84dbeb28877e0ad87b5767234feae,1862,,19,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_ledger.csv,a5cdf76325dc059bedcd914e049f366aa1d40356902009fe3be0484f0956c54c,57452,,194,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_reaction_inputs.csv,4b9a2fcfbaddf550964762829a5f2e6020962b2cecca55e3d4b3013a723694ed,2714,,23,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_reaction_tests.csv,4cfe58943a1db734c022f2ef28ca6ebcaf210851cc4dacbb7de81b5cccc8bf66,3072,,17,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_sign_tests.csv,1a8da19c02670116fb1afd7a5348099644e7607300eeb433a4bdfc095c07c6b3,255,,6,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/02_guidance_tells.csv,1fe2af48efcb42f2bed86679643299e347c6e44d14df0ce53631b1ffd129f500,2691,,7,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_consensus_at_print.csv,bb0dc6dd19b4c972cdeefe8284093782abb2e0c4c97bbc6b080165778876c107,6641,,23,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_consensus_sources.csv,0a99598fdac938931810492b9c72612365ae445af8e907b804d906681cdd98ff,35276,,145,3
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_current_consensus.csv,384150bccce5dc5ce1f0db0df01e10762763c1ada0107c8125a87910f30fc1a7,4167,,18,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,7998,,27,6
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/16_consensus_additions.csv,dd1e780203b373cdaa828048460c9c54f1720de0b0ca0843e874a64a482422df,7779,,25,0
github,https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/16_consensus_at_print_merged.csv,df4ee09e7b84d23c3c8a2e17597e2cfc61e7f757f1f56c514205794ffdb7d471,6858,,23,0
