location,sha256,line_number
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/eurostat_platform_vs_hotel_by_country_2019_2024.csv,3417055c9b1abd2475cfd2442719e8407b8e5c0c47d84775d53a14d121c82241,1
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_consensus_sources.csv,0a99598fdac938931810492b9c72612365ae445af8e907b804d906681cdd98ff,140
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_consensus_sources.csv,0a99598fdac938931810492b9c72612365ae445af8e907b804d906681cdd98ff,141
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/04_consensus_sources.csv,0a99598fdac938931810492b9c72612365ae445af8e907b804d906681cdd98ff,142
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,2
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,3
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,4
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,26
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,27
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/data/processed/overnight/11_new_business_scenarios.csv,61033fae4d67b1c82684fa60328f9eb5d55fe2f059601e8f66db88986e074b04,28
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/research/notes/2026-09-04_abnb-pitch-catalogue.md,df04643372e39dc2900c97d1745e6faaf3906ad11fac167604aca50763fafee9,63
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/research/notes/2026-09-04_abnb-pitch-catalogue.md,df04643372e39dc2900c97d1745e6faaf3906ad11fac167604aca50763fafee9,86
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/research/notes/2026-09-04_abnb-pitch-catalogue.md,df04643372e39dc2900c97d1745e6faaf3906ad11fac167604aca50763fafee9,87
https://github.com/Kaenyne/Citadel-ABNB/blob/e3055e627f4b7952c592939a03849f5fc32b9235/research/notes/2026-09-04_abnb-pitch-catalogue.md,df04643372e39dc2900c97d1745e6faaf3906ad11fac167604aca50763fafee9,102
