cik,ticker,title,year,mda_section,processed_timestamp
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2003,"ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS General The following discussion presents an analysis of results of our operations for fiscal years ended January 3, 2003, December 28, 2001 and December 29, 2000. Systemwide sales include sales from our franchised properties, in addition to our owned, leased and managed properties. CONSOLIDATED RESULTS Continuing Operations 2002 Compared to 2001 Income from continuing operations, net of taxes increased 63 percent to $439 million and diluted earnings per share from continuing operations advanced 66 percent to $1.74. Income from continuing operations reflected $208 million of tax benefits associated with our Synthetic Fuel business and a $44 million gain on the sale of our investment in Interval International, offset by the $50 million charge to write-down the acquisition goodwill for ExecuStay and the decreased demand for hotels and executive apartments. The comparisons to 2001 reflected the $204 million pretax restructuring and other charges against continuing operations that we recorded in the fourth quarter of 2001. Sales, which exclude sales from our discontinued Distribution Services and Senior Living Services businesses, increased 8 percent to $8.4 billion in 2002 reflecting the sales for our new Synthetic Fuel business and revenue from new lodging properties, partially offset by the decline in lodging demand. Systemwide sales, excluding sales from discontinued businesses, increased by 6 percent to $18.6 billion in 2002. 2001 Compared to 2000 Income and diluted earnings per share from continuing operations decreased 45 percent to $269 million and 46 percent to $1.05, respectively. Pretax restructuring and other charges totaling $204 million and lower lodging segment financial results, due to the decline in hotel performance, reduced income from continuing operations. Sales of $7.8 billion in 2001 from our continuing operations were down slightly compared to the prior ",2024-01-15 03:11:01.167895
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2004,"ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 2,718 hotels and related facilities. Our operations are grouped into five business segments, Full-Service Lodging, Select-Service Lodging, Extended-Stay Lodging, Timeshare and Synthetic Fuel. In our Lodging business, we operate, develop and franchise under 14 separate brand names in 68 countries. We also operate and develop Marriott timeshare properties under four separate brand names. We earn base, incentive and franchise fees based upon the terms of our management and franchise agreements. Revenues are also generated from the following sources associated with our timeshare business: (1) selling timeshare intervals, (2) operating the resorts, and (3) financing customer purchases of timesharing intervals. In addition, we earn revenues and generate tax credits from our Synthetic Fuel joint venture. We evaluate the performance of our segments based primarily on the results of the segment without allocating corporate expenses, interest expense, and interest income. With the exception of our Synthetic Fuel segment, we do not allocate income taxes to our segments. As timeshare note sales are an integral part of the timeshare business, we include timeshare note sale gains in our timeshare segment results and we allocate other gains as well as equity income (losses) from our joint ventures to each of our segments. This historically challenging time in the lodging industry has demonstrated Marriott International’s resilience, the strength of our business model, superior brands, strong management team and dedicated associates. We are optimistic about a stronger business climate in 2004. And with the final disposition of our senior living and distribution services businesses in 2003, we look forward to operating as a focused lodging and timeshare company for the first time in our 76-year history. In 2003, we grew pro",2024-01-15 03:11:47.354999
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2005,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 2,632 hotels and related facilities. Our operations are grouped into five business segments, Full-Service Lodging, Select-Service Lodging, Extended-Stay Lodging, Timeshare and Synthetic Fuel. In our Lodging business, we operate, develop and franchise under 13 separate brand names in 66 countries and territories. We also operate and develop Marriott timeshare properties under four separate brand names. We earn base, incentive and franchise fees based upon the terms of our management and franchise agreements. Revenues are also generated from the following sources associated with our timeshare business: (1) selling timeshare intervals, (2) operating the resorts, and (3) financing customer purchases of timesharing intervals. In addition, we earn revenues and generate tax credits from our synthetic fuel joint ventures. We evaluate the performance of our segments based primarily on the results of the segment without allocating corporate expenses, interest expense and interest income. With the exception of our Synthetic Fuel segment, we do not allocate income taxes to our segments. As timeshare note sales are an integral part of the timeshare business, we include timeshare note sale gains in our timeshare segment results, and we allocate other gains as well as equity income (losses) from our joint ventures to each of our segments. Lodging supply growth in the United States was low during 2004, while demand growth was high. In the United States, demand was strong in the Eastern and Western regions, while the Midwestern and South Central regions experienced more moderate increases in demand. Demand associated with business travel improved steadily in 2004, and leisure demand remained high. The weak U.S. dollar in relation to other currencies, particularly the euro, resulted in increased travel into the U.S. as over",2024-01-15 03:11:47.569249
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2006,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 2,741 hotels and related facilities. Our operations are grouped into five business segments: Full-Service Lodging, Select-Service Lodging, Extended-Stay Lodging, Timeshare and Synthetic Fuel. In our Lodging business, we operate, develop and franchise under 13 separate brand names in 67 countries and territories. We also operate and develop Marriott timeshare properties under four separate brand names. We earn base, incentive and franchise fees based upon the terms of our management and franchise agreements. Revenues are also generated from the following sources associated with our Timeshare segment: (1) selling timeshare intervals and personal residences, (2) operating the resorts, and (3) financing customer purchases of timesharing intervals. In addition, we earn revenues from the limited number of hotels we own and lease and we earn revenues and generate tax credits from our synthetic fuel operations. We evaluate the performance of our segments based primarily on the results of the segment without allocating corporate expenses, interest expense and interest income. With the exception of our Synthetic Fuel segment, we do not allocate income taxes to our segments. As timeshare note sales are an integral part of the timeshare business, we include timeshare note sale gains in our timeshare segment results, and we allocate other gains and losses as well as equity earnings or losses from our joint ventures and divisional general, administrative and other expenses to each of our segments. Similar to conditions that existed last year, lodging supply growth in the United States was low during 2005, while demand growth was high. As a result, both occupancies and average daily rates continued to rise. Transient demand, both business and leisure, was strong in 2005, and we experienced particularly robust pricing pow",2024-01-15 03:11:54.963840
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2007,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 2,832 hotels and related facilities. Our operations are grouped into six business segments: North American Full-Service Lodging, North American Limited-Service Lodging, International Lodging, Luxury Lodging, Timeshare and Synthetic Fuel. In our Lodging business, we operate, develop and franchise under 13 separate brand names in 68 countries and territories. We also operate and develop Marriott timeshare properties under four separate brand names. We earn base, incentive and franchise fees based upon the terms of our management and franchise agreements. Revenues are also generated from the following sources associated with our Timeshare segment: (1) selling timeshare interval, fractional and whole ownership properties; (2) operating the resorts; and (3) financing customer purchases of timesharing intervals. In addition, we earn revenues from the limited number of hotels we own and lease and we earn revenues and generate tax credits from our synthetic fuel operations. Generally, lodging demand remained robust through 2006, driven by continued strength associated with business and leisure travelers, while lodging supply growth continued to remain low. At the property level, these factors enabled us to increase rates and improve revenue mix, which resulted in strong year-over-year RevPAR increases. Revenue mix improvement is a function of the strong demand environment and results as some less profitable business is limited in favor of more profitable business, such as fewer discounted leisure packages in favor of more corporate business. This deliberate strategy of shifting business to higher rated tiers, yielded strong year-over-year average daily rate growth and only modest occupancy declines. Rates have also increased as stronger demand enabled us to reduce available discounts and special rates. In addition",2024-01-15 03:11:30.734614
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2008,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 2,999 properties (535,093 rooms) and related facilities. The figures in the preceding sentence are as of year-end 2007 and include 21 home and condominium projects (1,916 units) for which we manage the related owners’ associations. In addition, we provided 2,156 furnished corporate housing rental units, which are not included in the totals. Our operations are grouped into five business segments: North American Full-Service Lodging, North American Limited-Service Lodging, International Lodging, Luxury Lodging, and Timeshare. We operate, develop, and franchise under 19 separate brand names in 68 countries and territories. We earn base, incentive, and franchise fees based upon the terms of our management and franchise agreements. Revenues are also generated from the following sources associated with our Timeshare segment: (1) selling timeshare interval, fractional ownership, and residential properties; (2) operating the resorts and residential properties; and (3) financing customer purchases of timesharing intervals. We earn revenues from the limited number of hotels we own or lease. Finally, we earn fees in association with affinity card endorsements and the sale of branded residential real estate. We sell residential real estate in conjunction with luxury hotel development (Ritz-Carlton-Residential) and Timeshare segment projects (Ritz-Carlton Club-Residential and Grand Residences by Marriott-Residential). Our Timeshare segment residential projects are typically opened over time with limited inventory available at any one time. Residences developed in conjunction with hotels are typically constructed and sold by hotel owners with limited amounts, if any, of our capital at risk. While the worldwide residential market is very large, the luxurious nature of our residential properties, the quality and exclusivi",2024-01-15 03:11:33.376955
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2009,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 3,178 properties (560,681 rooms) and related facilities. The figures in the preceding sentence are as of year-end 2008 and include 27 home and condominium projects (2,482 units) for which we manage the related owners’ associations. In addition, we provided 2,332 furnished corporate housing rental units, which are not included in the totals. Our operations are grouped into five business segments: North American Full-Service Lodging, North American Limited-Service Lodging, International Lodging, Luxury Lodging, and Timeshare. We operate, develop, and franchise under 18 separate brand names in 66 countries and territories. We earn base, incentive, and franchise fees based upon the terms of our management and franchise agreements. We earn revenues from the limited number of hotels we own or lease. Revenues are also generated from the following sources associated with our Timeshare segment: (1) selling timeshare interval, fractional ownership, and residential properties; (2) operating the resorts and residential properties; and (3) financing customer purchases of timesharing intervals. Finally, we earn fees in association with affinity card endorsements and the sale of branded residential real estate. We sell residential real estate either in conjunction with luxury hotel development or on a stand-alone basis under The Ritz-Carlton brand (Ritz-Carlton-Residential), and in conjunction with Timeshare segment projects (Ritz-Carlton Club-Residential and Grand Residences by Marriott-Residential). Our Timeshare segment residential projects are typically opened over time with limited inventory available at any one time. Other residences are typically constructed and sold by third-party developers with limited amounts, if any, of our capital at risk. While the worldwide residential market is very large, the luxurious n",2024-01-15 03:12:06.941792
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2010,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 3,420 properties (595,461 rooms) and related facilities. The figures in the preceding sentence are as of year-end 2009 and include 30 home and condominium products (3,034 units) for which we manage the related owners’ associations. In addition, we provided 2,072 furnished corporate housing rental units, which are not included in the totals. Our operations are grouped into five business segments: North American Full-Service Lodging, North American Limited-Service Lodging, International Lodging, Luxury Lodging, and Timeshare. We operate, develop, and franchise under numerous separate brand names in 68 countries and territories. We earn base, incentive, and franchise fees based upon the terms of our management and franchise agreements. We earn revenues from the limited number of hotels we own or lease. We also generate revenues from the following sources associated with our Timeshare segment: (1) selling timeshare interval, fractional ownership, and residential properties; (2) operating the resorts and residential properties; (3) financing customer purchases of timesharing intervals; and (4) rentals. Finally, we earn fees in association with affinity card endorsements and the sale of branded residential real estate. We sell residential real estate either in conjunction with luxury hotel development or on a stand-alone basis under The Ritz-Carlton brand (The Ritz-Carlton Residences), and in conjunction with Timeshare segment projects (The Ritz-Carlton Destination Club and Grand Residences by Marriott-Residential). Our Timeshare segment residential projects are typically opened over time. Other residences are typically constructed and sold by third-party developers with limited amounts, if any, of our capital at risk. While the worldwide residential market is very large, the luxurious nature of our residential ",2024-01-15 03:12:07.697844
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2011,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. BUSINESS AND OVERVIEW We are a worldwide operator and franchisor of 3,545 properties (618,104 rooms) and related facilities. The figures in the preceding sentence are as of year-end 2010 and include 34 home and condominium products (3,391 units) for which we manage the related owners’ associations. In addition, we provided 2,043 furnished corporate housing rental units, which are not included in the totals. Our operations are grouped into five business segments: North American Full-Service Lodging, North American Limited-Service Lodging, International Lodging, Luxury Lodging, and Timeshare. We operate, develop, and franchise under numerous separate brand names in 70 countries and territories. We earn base, incentive, and franchise fees based upon the terms of our management and franchise agreements. We earn revenues from the limited number of hotels we own or lease. We also generate revenues from the following sources associated with our Timeshare segment: (1) selling timeshare interval, fractional ownership, and residential properties; (2) operating the resorts and residential properties; (3) financing customer purchases of timesharing intervals; and (4) rentals. Finally, we earn fees in association with affinity card endorsements and the sale of branded residential real estate. During 2010 we broadened our timeshare interval product offering to include the sale of the points-based Marriott Vacation Club Destinations timeshare program in North America and the Caribbean. The Marriott Vacation Club Destinations timeshare program offers greater flexibility, further personalization and more experience opportunities for participating timeshare owners. See the “Marriott Vacation Club Destinations Timeshare Program” caption later in this Form 10-K for additional information. We sell residential real estate either in conjunction with luxury hotel development or on a stand-alone b",2024-01-15 03:12:04.500678
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,2012,"Item 7. ""Management’s Discussion and Analysis of Financial Condition and Results of Operations"" of this report. If we cannot attract and retain talented associates, our business could suffer. We compete with other companies both within and outside of our industry for talented personnel. If we cannot recruit, train, develop, and retain sufficient numbers of talented associates, we could experience increased associate turnover, decreased guest satisfaction, low morale, inefficiency, or internal control failures. Insufficient numbers of talented associates could also limit our ability to grow and expand our businesses.Delaware law and our governing corporate documents contain, and our Board of Directors could implement, anti-takeover provisions that could deter takeover attempts. Under the Delaware business combination statute, a stockholder holding 15 percent or more of our outstanding voting stock could not acquire us without Board of Director consent for at least three years after the date the stockholder first held 15 percent or more of the voting stock. Our governing corporate documents also, among other things, require supermajority votes in connection with mergers and similar transactions. In addition, our Board of Directors could, without stockholder approval, implement other anti-takeover defenses, such as a stockholder’s rights plan.Item 1B. Unresolved Staff Comments.None.Item 2.Properties.Company-operated properties are described in Part I, Item 1. “Business,” earlier in this report. We believe our properties are in generally good physical condition with the need for only routine repairs and maintenance and periodic capital improvements. Most of our regional offices and reservation centers, both domestically and internationally, are located in leased facilities. We also lease space in a number of buildings with combined space of approximately 1.1 million square feet in Maryland where our corporate and Ritz-Carlton headquarters are located.Item 3. Legal Proce",2024-01-15 03:12:15.940244
