quarter,as_of,revenue_musd,guide_musd,kernel_base_musd,lambda_pct,lambda_variant,lambda_n_train,lambda_training_quarters,lambda_knowable_from,cushion_decimal,information_date,n_lag_cohorts,n_forecast_gbv,scenario,scenario_description,conversion_status,method_available_date,cushion_n_train,cushion_information_date,n_new_fitted_parameters,parameter_definition,evidence_status,source_ref,fx_integration_status,incremental_fx_musd,scope,hedge_treatment,n_replay_W1,n_replay_W2,guide_status
2026Q3,2026-09-13,4808.36292949392,4723.78400064566,27866.6666666667,17.2548908953131,ewm,5,2021Q3;2022Q3;2023Q3;2024Q3;2025Q3,2025-11-06,0.0179049103084943,2026-08-06,2,0,review_with_k,Team Q3 nights; ADRv3 Q4 case B; published dollar ADR with imposed K mechanics,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,diagnostic_already_issued_guide
2026Q4,2026-09-13,3179.3436542864,3123.41911517339,26405.704,12.0403669384706,ewm,5,2021Q4;2022Q4;2023Q4;2024Q4;2025Q4,2026-02-12,0.0179049103084943,2026-09-11,2,1,review_with_k,Team Q3 nights; ADRv3 Q4 case B; published dollar ADR with imposed K mechanics,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2027Q1,2026-09-13,3055.68058044242,3001.93127029552,24008.4026666667,12.7275463631112,ewm,6,2021Q1;2022Q1;2023Q1;2024Q1;2025Q1;2026Q1,2026-05-07,0.0179049103084943,2026-09-11,2,2,review_with_k,Team Q3 nights; ADRv3 Q4 case B; published dollar ADR with imposed K mechanics,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2026Q3,2026-09-13,4808.36292949392,4723.78400064566,27866.6666666667,17.2548908953131,ewm,5,2021Q3;2022Q3;2023Q3;2024Q3;2025Q3,2025-11-06,0.0179049103084943,2026-08-06,2,0,review_without_k,Same nights; ADRv3 without-K replaces with-K ADR once,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,diagnostic_already_issued_guide
2026Q4,2026-09-13,3175.92643761104,3120.06200721492,26377.3226666667,12.0403669384706,ewm,5,2021Q4;2022Q4;2023Q4;2024Q4;2025Q4,2026-02-12,0.0179049103084943,2026-09-11,2,1,review_without_k,Same nights; ADRv3 without-K replaces with-K ADR once,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2027Q1,2026-09-13,3046.82899619842,2993.23538509607,23938.856,12.7275463631112,ewm,6,2021Q1;2022Q1;2023Q1;2024Q1;2025Q1;2026Q1,2026-05-07,0.0179049103084943,2026-09-11,2,2,review_without_k,Same nights; ADRv3 without-K replaces with-K ADR once,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2026Q3,2026-09-13,4808.36292949392,4723.78400064566,27866.6666666667,17.2548908953131,ewm,5,2021Q3;2022Q3;2023Q3;2024Q3;2025Q3,2025-11-06,0.0179049103084943,2026-08-06,2,0,nights_case_a,Q4 case A team 132.7m replaces case B 131.8m; Q3 unchanged,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,diagnostic_already_issued_guide
2026Q4,2026-09-13,3179.3436542864,3123.41911517339,26405.704,12.0403669384706,ewm,5,2021Q4;2022Q4;2023Q4;2024Q4;2025Q4,2026-02-12,0.0179049103084943,2026-09-11,2,1,nights_case_a,Q4 case A team 132.7m replaces case B 131.8m; Q3 unchanged,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2027Q1,2026-09-13,3069.01166705407,3015.02786357908,24113.1446666667,12.7275463631112,ewm,6,2021Q1;2022Q1;2023Q1;2024Q1;2025Q1;2026Q1,2026-05-07,0.0179049103084943,2026-09-11,2,2,nights_case_a,Q4 case A team 132.7m replaces case B 131.8m; Q3 unchanged,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,future_guide_conditional_scenario
2026Q3,2026-09-13,4808.36292949392,4723.78400064566,27866.6666666667,17.2548908953131,ewm,5,2021Q3;2022Q3;2023Q3;2024Q3;2025Q3,2025-11-06,0.0179049103084943,2026-08-06,2,0,adr_mean_reversion,Residual 2.398pp replaces last_q 4.849326pp; K and other components retained,accepted_L3_free_weight_promotion_failed_W1_W2_retained_operational_K0_2over3,2026-09-13,8,2026-08-06,0,K0 inherited seasonal EWM lambda; fixed 2/3 lag; trailing8 median cushion; explicit operating assumptions,conditional_review_not_adopted,K0 v2 public lambda + explicit GBV; see source ledger,accepted_L3_research_financial_application_ineligible,,consolidated reported revenue; historical lambda embeds FX/fees/cancellations and hedges,baseline includes historical reported accounting; incremental hedge dollars unavailable,0,0,diagnostic_already_issued_guide
