quarter,ipp_xb_na,ipp_xb_emea,ipp_xb_latam,ipp_xb_apac,oa_xb_na,usd_vs_rest_yoy,bea_us_inbound_yoy,bea_us_outbound_yoy,eu27_foreign_share_chg_pp,eu27_foreign_minus_domestic_pp,abnb_na_diff_pp,abnb_emea_diff_pp,abnb_latam_diff_pp,abnb_apac_diff_pp,abnb_total_nights_yoy,abnb_cross_border_share_pct
1Q17,,,,,,,,,,,,,,,,
2Q17,,,,,,,,,,,,,,,,
3Q17,,,,,,,,,,,,,,,,
4Q17,,,,,,,,,,,,,,,,
1Q18,6.474,-11.213,2.669,1.738,-7.391,-5.77,,,,,,,,,,
2Q18,1.268,-7.692,9.78,0.872,-1.321,-1.579,,,,,,,,,,
3Q18,-4.554,-2.39,13.452,2.104,5.102,3.509,,,,,,,,,,
4Q18,-4.53,0.283,8.853,1.859,5.03,3.529,,,,,,,,,,
1Q19,-6.577,4.252,6.45,2.289,7.222,5.282,,,-0.937,-4.651,,,,,,51.0
2Q19,-4.457,3.777,2.113,2.366,4.774,3.541,,,-2.029,-12.007,,,,,,50.0
3Q19,-2.655,3.811,-0.133,1.322,3.193,2.241,,,-1.623,-8.575,,,,,,48.0
4Q19,-1.915,1.534,2.625,0.931,2.513,1.425,,,-1.415,-7.356,,,,,,47.0
1Q20,-4.378,0.186,9.339,2.406,5.151,3.208,,,-4.025,-17.074,,,,,,
2Q20,-7.159,-2.501,23.321,-0.751,8.777,5.728,,,-41.311,-35.209,,,,,,
3Q20,-2.31,-7.726,22.577,-3.428,3.476,1.723,,,-29.217,-87.182,,,,,,
4Q20,-0.265,-7.386,19.165,-4.632,1.576,0.069,,,-30.95,-52.161,,,,,,
1Q21,2.57,-7.813,15.427,-8.049,-1.433,-2.337,-75.82,-69.95,-36.05,-65.728,,,,,,20.0
2Q21,6.67,-5.717,-2.557,-3.653,-6.921,-6.286,314.54,397.42,6.088,73.417,,,,,,27.0
3Q21,1.946,-0.634,-4.072,1.097,-2.181,-2.172,223.14,471.18,8.791,49.802,,,,,,33.0
4Q21,-2.417,1.722,1.729,1.444,2.695,1.418,238.43,211.12,18.07,185.142,,,,,,34.0
1Q22,-3.425,4.838,-4.395,4.345,3.211,2.456,210.38,204.12,27.708,395.065,,,,,58.54,39.0
2Q22,-6.245,9.706,-7.688,4.611,5.896,4.971,206.16,190.86,27.687,313.901,,,,,24.79,43.0
3Q22,-9.434,12.209,-4.292,4.036,9.512,7.33,199.87,106.53,14.835,80.37,-5.09,-5.09,7.91,39.91,25.09,43.0
4Q22,-6.87,8.951,-9.749,7.657,5.57,5.323,95.3,90.81,7.015,38.961,-12.88,4.84,2.84,19.84,20.16,44.0
1Q23,-3.518,4.192,-6.248,4.849,2.37,2.744,69.44,84.78,6.142,32.972,-14.84,2.39,3.39,29.39,18.61,45.0
2Q23,0.019,-2.114,-4.896,6.54,-1.698,-0.334,31.27,38.12,2.011,10.617,-10.04,0.95,11.01,13.01,10.99,45.0
3Q23,4.256,-6.368,-9.161,7.508,-6.814,-3.945,26.36,21.4,1.592,7.651,-5.92,-3.0,10.46,13.46,13.54,45.0
4Q23,3.169,-4.029,-6.561,4.322,-4.795,-2.956,21.61,17.63,1.664,8.413,-8.37,0.27,9.98,9.98,12.02,44.0
1Q24,0.528,-1.936,-6.108,6.61,-2.1,-1.165,22.36,15.09,-0.188,-0.993,-9.57,0.5,9.5,11.5,9.5,46.0
2Q24,-1.821,-0.691,1.042,3.292,1.236,1.068,12.61,11.21,0.964,4.829,-4.57,-2.93,8.31,10.31,8.69,
3Q24,-1.588,-3.156,10.986,-1.288,2.254,1.354,10.39,11.91,0.081,0.412,-5.13,-1.9,6.52,10.52,8.48,
4Q24,-2.97,-2.792,13.748,-0.847,3.926,2.504,7.56,14.01,-0.354,-1.735,-7.35,-1.35,9.15,9.15,12.35,
1Q25,-4.866,-1.46,14.543,0.668,5.842,4.247,-0.37,9.7,0.234,1.023,-5.92,-2.92,13.58,7.08,7.92,
2Q25,0.701,-6.472,10.575,1.207,-0.181,-0.514,-5.0,8.42,-0.915,-4.701,-5.43,-2.43,10.57,7.57,7.43,
3Q25,2.463,-5.23,-0.381,4.091,-3.23,-2.226,-8.61,5.16,0.137,0.648,-3.8,-3.8,12.7,6.2,8.8,
4Q25,4.521,-5.941,-6.033,4.831,-6.064,-4.114,-8.28,3.86,0.34,1.569,-4.82,-1.82,8.18,5.18,9.82,
1Q26,6.924,-6.314,-8.575,1.363,-8.499,-6.202,-4.83,-3.4,0.224,1.013,-1.15,-4.15,8.85,8.85,9.15,
2Q26,3.061,-0.363,-10.141,0.291,-4.488,-2.677,-0.38,-3.73,,,-2.34,-2.34,9.66,7.66,10.34,
3Q26,0.794,1.723,-6.522,-0.879,-1.549,-0.622,,,,,,,,,,
