quarter,region,metric,value,basis,source,quote
1Q20,emea,eurostat_eu27_platform_domestic_yoy_pct,7.769,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q20,emea,eurostat_eu27_platform_foreign_share_chg_pp,-4.025,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q20,emea,eurostat_eu27_platform_foreign_share_pct,60.832,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q20,emea,eurostat_eu27_platform_foreign_yoy_pct,-9.305,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q20,emea,eurostat_eu27_platform_nights_yoy_pct,-3.304,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q20,emea,eurostat_eu27_platform_domestic_yoy_pct,-57.475,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q20,emea,eurostat_eu27_platform_foreign_share_chg_pp,-41.311,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q20,emea,eurostat_eu27_platform_foreign_share_pct,27.709,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q20,emea,eurostat_eu27_platform_foreign_yoy_pct,-92.684,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q20,emea,eurostat_eu27_platform_nights_yoy_pct,-81.776,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q20,emea,eurostat_eu27_platform_domestic_yoy_pct,24.374,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q20,emea,eurostat_eu27_platform_foreign_share_chg_pp,-29.217,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q20,emea,eurostat_eu27_platform_foreign_share_pct,37.869,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q20,emea,eurostat_eu27_platform_foreign_yoy_pct,-62.808,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q20,emea,eurostat_eu27_platform_nights_yoy_pct,-34.113,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q20,emea,eurostat_eu27_platform_domestic_yoy_pct,-27.767,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q20,emea,eurostat_eu27_platform_foreign_share_chg_pp,-30.95,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q20,emea,eurostat_eu27_platform_foreign_share_pct,33.542,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q20,emea,eurostat_eu27_platform_foreign_yoy_pct,-79.928,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q20,emea,eurostat_eu27_platform_nights_yoy_pct,-61.407,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,emea,eurostat_eu27_platform_domestic_yoy_pct,-16.574,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,emea,eurostat_eu27_platform_foreign_share_chg_pp,-36.05,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,emea,eurostat_eu27_platform_foreign_share_pct,24.782,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,emea,eurostat_eu27_platform_foreign_yoy_pct,-82.302,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,emea,eurostat_eu27_platform_nights_yoy_pct,-56.557,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q21,na,bea_inbound_foreign_travel_in_us_yoy_pct,-75.82,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
1Q21,na,bea_outbound_us_travel_abroad_yoy_pct,-69.95,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
1Q21,total,cross_border_share_of_gross_nights_pct,20.0,disclosed numeric,Airbnb shareholder letter 1Q21,"EX-99.1 2 d476842dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2021 Nights and Experiences Booked • More than a year after the start of the pandemic, Airbnb’s business has continued to prove highly resil"
1Q21,total,domestic_share_of_gross_nights_pct,80.0,disclosed numeric,Airbnb shareholder letter 1Q21,"EX-99.1 2 d476842dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2021 Nights and Experiences Booked • More than a year after the start of the pandemic, Airbnb’s business has continued to prove highly resil"
1Q21,total,long_term_stay_share_pct,24.0,disclosed numeric,Airbnb shareholder letter 1Q21,"EX-99.1 2 d476842dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2021 Nights and Experiences Booked • More than a year after the start of the pandemic, Airbnb’s business has continued to prove highly resil"
1Q21,total,urban_share_of_gross_nights_pct,41.0,disclosed numeric,Airbnb shareholder letter 1Q21,"EX-99.1 2 d476842dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2021 Nights and Experiences Booked • More than a year after the start of the pandemic, Airbnb’s business has continued to prove highly resil"
2Q21,emea,eurostat_eu27_platform_domestic_yoy_pct,121.21,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q21,emea,eurostat_eu27_platform_foreign_share_chg_pp,6.088,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q21,emea,eurostat_eu27_platform_foreign_share_pct,33.797,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q21,emea,eurostat_eu27_platform_foreign_yoy_pct,194.627,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q21,emea,eurostat_eu27_platform_nights_yoy_pct,141.553,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q21,na,bea_inbound_foreign_travel_in_us_yoy_pct,314.54,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
2Q21,na,bea_outbound_us_travel_abroad_yoy_pct,397.42,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
2Q21,total,cross_border_share_of_gross_nights_pct,27.0,disclosed numeric,Airbnb shareholder letter 2Q21,"• In Latin America, Nights and Experiences Booked were about 15% higher than Q2 2019 levels with continued resilience in certain countries, such as Mexico and Brazil, where domestic travel was strong"
2Q21,total,domestic_share_of_gross_nights_pct,73.0,disclosed numeric,Airbnb shareholder letter 2Q21,"• In Latin America, Nights and Experiences Booked were about 15% higher than Q2 2019 levels with continued resilience in certain countries, such as Mexico and Brazil, where domestic travel was strong"
2Q21,total,urban_share_of_gross_nights_pct,41.0,disclosed numeric,Airbnb shareholder letter 2Q21,"• In Latin America, Nights and Experiences Booked were about 15% higher than Q2 2019 levels with continued resilience in certain countries, such as Mexico and Brazil, where domestic travel was strong"
3Q21,emea,eurostat_eu27_platform_domestic_yoy_pct,14.428,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q21,emea,eurostat_eu27_platform_foreign_share_chg_pp,8.791,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q21,emea,eurostat_eu27_platform_foreign_share_pct,46.66,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q21,emea,eurostat_eu27_platform_foreign_yoy_pct,64.23,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q21,emea,eurostat_eu27_platform_nights_yoy_pct,33.288,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q21,na,bea_inbound_foreign_travel_in_us_yoy_pct,223.14,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
3Q21,na,bea_outbound_us_travel_abroad_yoy_pct,471.18,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
3Q21,total,cross_border_share_of_gross_nights_pct,33.0,disclosed numeric,Airbnb shareholder letter 3Q21,"Meanwhile, we’ve seen urban travel gradually returning, but fanning out beyond iconic cities."
3Q21,total,long_term_stay_share_pct,20.0,disclosed numeric,Airbnb shareholder letter 3Q21,"Meanwhile, we’ve seen urban travel gradually returning, but fanning out beyond iconic cities."
3Q21,total,urban_share_of_gross_nights_pct,46.0,disclosed numeric,Airbnb shareholder letter 3Q21,"Meanwhile, we’ve seen urban travel gradually returning, but fanning out beyond iconic cities."
4Q21,emea,eurostat_eu27_platform_domestic_yoy_pct,66.288,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q21,emea,eurostat_eu27_platform_foreign_share_chg_pp,18.07,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q21,emea,eurostat_eu27_platform_foreign_share_pct,51.613,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q21,emea,eurostat_eu27_platform_foreign_yoy_pct,251.43,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q21,emea,eurostat_eu27_platform_nights_yoy_pct,128.388,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
4Q21,na,bea_inbound_foreign_travel_in_us_yoy_pct,238.43,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
4Q21,na,bea_outbound_us_travel_abroad_yoy_pct,211.12,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
4Q21,total,cross_border_share_of_gross_nights_pct,34.0,disclosed numeric,Airbnb shareholder letter 4Q21,"Travel corridors and distance We saw recovery in both longer-distance and cross-border travel in 2021, while domestic and short-distance travel continued to be more popular than 2019 levels."
4Q21,total,long_term_stay_share_pct,22.0,disclosed numeric,Airbnb shareholder letter 4Q21,"Travel corridors and distance We saw recovery in both longer-distance and cross-border travel in 2021, while domestic and short-distance travel continued to be more popular than 2019 levels."
4Q21,total,urban_share_of_gross_nights_pct,49.0,disclosed numeric,Airbnb shareholder letter 4Q21,"Travel corridors and distance We saw recovery in both longer-distance and cross-border travel in 2021, while domestic and short-distance travel continued to be more popular than 2019 levels."
1Q22,apac,nights_share_est_pct,15.8,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
1Q22,apac,revenue_musd,136.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,apac,revenue_share_pct,9.01,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,emea,eurostat_eu27_platform_domestic_yoy_pct,67.878,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q22,emea,eurostat_eu27_platform_foreign_share_chg_pp,27.708,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q22,emea,eurostat_eu27_platform_foreign_share_pct,52.49,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q22,emea,eurostat_eu27_platform_foreign_yoy_pct,462.943,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q22,emea,eurostat_eu27_platform_nights_yoy_pct,165.784,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
1Q22,emea,nights_share_est_pct,26.4,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
1Q22,emea,revenue_musd,373.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,emea,revenue_share_pct,24.72,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,latam,nights_share_est_pct,18.0,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
1Q22,latam,revenue_musd,178.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,latam,revenue_share_pct,11.8,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,na,bea_inbound_foreign_travel_in_us_yoy_pct,210.38,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
1Q22,na,bea_outbound_us_travel_abroad_yoy_pct,204.12,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
1Q22,na,nights_share_est_pct,39.8,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
1Q22,na,revenue_musd,822.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,na,revenue_share_pct,54.47,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
1Q22,total,cross_border_share_of_gross_nights_pct,39.0,disclosed numeric,Airbnb shareholder letter 1Q22,"And as demand returns to cities, we are also seeing a return to growth in total urban supply."
1Q22,total,long_term_stay_share_pct,21.0,disclosed numeric,Airbnb shareholder letter 1Q22,"And as demand returns to cities, we are also seeing a return to growth in total urban supply."
1Q22,total,nights_yoy_pct,58.54,disclosed numeric,Airbnb shareholder letter 1Q22 (KPI table),
1Q22,total,urban_share_of_gross_nights_pct,46.0,disclosed numeric,Airbnb shareholder letter 1Q22,"And as demand returns to cities, we are also seeing a return to growth in total urban supply."
2Q22,apac,nights_share_est_pct,13.5,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
2Q22,apac,revenue_musd,137.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,apac,revenue_share_pct,6.51,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,emea,eurostat_eu27_platform_domestic_yoy_pct,47.584,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q22,emea,eurostat_eu27_platform_foreign_share_chg_pp,27.687,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q22,emea,eurostat_eu27_platform_foreign_share_pct,61.484,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q22,emea,eurostat_eu27_platform_foreign_yoy_pct,361.485,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q22,emea,eurostat_eu27_platform_nights_yoy_pct,153.672,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
2Q22,emea,nights_share_est_pct,33.3,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
2Q22,emea,revenue_musd,732.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,emea,revenue_share_pct,34.79,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,latam,nights_share_est_pct,13.6,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
2Q22,latam,revenue_musd,137.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,latam,revenue_share_pct,6.51,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,na,bea_inbound_foreign_travel_in_us_yoy_pct,206.16,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
2Q22,na,bea_outbound_us_travel_abroad_yoy_pct,190.86,"third-party statistic (BEA PCE by function, real, y/y)","BEA via FRED, pulled by WS05 2026-09-06",
2Q22,na,nights_share_est_pct,39.6,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
2Q22,na,revenue_musd,1098.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,na,revenue_share_pct,52.19,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
2Q22,total,cross_border_nights_growth_pct,100.0,disclosed numeric,Airbnb shareholder letter 2Q22,"Despite the continued war in Ukraine, Nights and Experiences Booked experienced sequential growth, up by 11% compared to Q1 2022 and 26% compared to Q2 2019. 9 • In Latin America, Nights and Experienc"
2Q22,total,cross_border_share_of_gross_nights_pct,43.0,disclosed numeric (2019 values quoted as comparators in 2022-23 letters),shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24,
2Q22,total,long_term_stay_share_pct,19.0,disclosed numeric,Airbnb shareholder letter 2Q22,"Despite the continued war in Ukraine, Nights and Experiences Booked experienced sequential growth, up by 11% compared to Q1 2022 and 26% compared to Q2 2019. 9 • In Latin America, Nights and Experienc"
2Q22,total,nights_yoy_pct,24.79,disclosed numeric,Airbnb shareholder letter 2Q22 (KPI table),
2Q22,total,urban_share_of_gross_nights_pct,47.0,disclosed numeric,Airbnb shareholder letter 2Q22,"Despite the continued war in Ukraine, Nights and Experiences Booked experienced sequential growth, up by 11% compared to Q1 2022 and 26% compared to Q2 2019. 9 • In Latin America, Nights and Experienc"
3Q22,apac,nights_share_est_pct,11.9,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
3Q22,apac,nights_yoy_differential_pp,39.91,derived: region minus total (numeric),derived from the two rows above,
3Q22,apac,nights_yoy_hi_pct,65.0,numeric,Airbnb shareholder letter 3Q22,
3Q22,apac,nights_yoy_lo_pct,65.0,numeric,Airbnb shareholder letter 3Q22,
3Q22,apac,nights_yoy_pct,65.0,numeric,Airbnb shareholder letter 3Q22,APAC increased the most with 65% more Nights
3Q22,apac,revenue_musd,156.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
3Q22,apac,revenue_share_pct,5.41,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
3Q22,emea,eurostat_eu27_platform_domestic_yoy_pct,-2.663,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q22,emea,eurostat_eu27_platform_foreign_share_chg_pp,14.835,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q22,emea,eurostat_eu27_platform_foreign_share_pct,61.495,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q22,emea,eurostat_eu27_platform_foreign_yoy_pct,77.707,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q22,emea,eurostat_eu27_platform_nights_yoy_pct,34.838,"third-party statistic (Eurostat tour_ce_omr experimental, residence of guest)","Eurostat, extracted 2026-07-02 vintage; complete quarters only",
3Q22,emea,nights_share_est_pct,39.9,WS10 estimate (revenue / regional ADR index),data/processed/overnight/10_regional_panel_quarterly.csv,
3Q22,emea,nights_yoy_differential_pp,-5.09,derived: region minus total (numeric),derived from the two rows above,
3Q22,emea,nights_yoy_hi_pct,20.0,numeric,Airbnb shareholder letter 3Q22,
3Q22,emea,nights_yoy_lo_pct,20.0,numeric,Airbnb shareholder letter 3Q22,
3Q22,emea,nights_yoy_pct,20.0,numeric,Airbnb shareholder letter 3Q22,grew 20% compared to Q3 2021
3Q22,emea,revenue_musd,1263.0,XBRL srt:StatementGeographicalAxis,10-Q/10-K XBRL via EDGAR,
