quarter,dest_basket_na_yoy,origin_basket_na_yoy,dest_basket_emea_yoy,origin_basket_emea_yoy,dest_basket_latam_yoy,origin_basket_latam_yoy,dest_basket_apac_yoy,origin_basket_apac_yoy,ipp_na,ipp_xb_na,ipp_emea,ipp_xb_emea,ipp_latam,ipp_xb_latam,ipp_apac,ipp_xb_apac,oa_na,oa_xb_na,oa_emea,oa_xb_emea,oa_latam,oa_xb_latam,oa_apac,oa_xb_apac,ipp_dispersion_sd,ipp_global_weighted,usd_vs_rest_yoy,k,ipp_xb_global_equal
1Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8028,
2Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8029,
3Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8030,
4Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8031,
1Q18,0.5147,0.6049,12.8414,11.4978,1.082,1.2401,3.8634,4.8296,0.8562,6.4737,-2.9228,-11.2132,0.6602,2.6686,1.1206,1.7385,-1.6363,-7.3913,-0.3139,9.7986,-0.6125,-5.4994,0.2734,-2.1572,1.9102,-0.7176,-5.7703,8032,-0.08310000000000012
2Q18,0.2399,0.3218,7.1284,6.1536,-7.8788,-7.0449,0.9691,1.5376,0.2243,1.2678,-2.0494,-7.6916,2.6231,9.7802,0.6293,0.8721,-0.2418,-1.321,-0.1703,7.7289,-0.7203,-10.5767,0.1669,-1.2422,1.9164,-0.2422,-1.5791,8033,1.057125
3Q18,-0.4632,-0.5482,-0.8692,-1.2869,-14.5404,-12.9261,-4.8413,-4.1015,-0.6213,-4.5544,-0.7333,-2.3903,3.9819,13.4522,1.0126,2.1039,1.1121,5.1023,-0.0021,4.0788,-0.1802,-11.5604,0.2141,-1.6305,2.1979,0.3564,3.5088,8034,2.15285
4Q18,-0.3851,-0.4599,-2.9659,-2.9219,-10.3225,-9.1735,-4.7338,-4.3986,-0.6095,-4.5304,0.0823,0.283,2.6899,8.8533,0.64,1.859,1.1033,5.0303,0.1615,1.3153,0.0542,-6.889,-0.0508,-1.4051,1.4212,0.4219,3.5287,8035,1.6162250000000002
1Q19,-0.4492,-0.5486,-7.1924,-7.0365,-9.1745,-8.106,-6.8908,-6.0843,-0.8767,-6.5769,0.8113,4.252,2.1448,6.4504,1.1031,2.2891,1.59,7.2215,-0.0793,-2.3888,0.4464,-3.4984,0.4014,-1.0204,1.2532,0.609,5.2818,8036,1.60365
2Q19,-0.2607,-0.3328,-5.5676,-5.3656,-4.1397,-3.5597,-5.4475,-4.6923,-0.5983,-4.457,0.774,3.7769,0.8866,2.1127,1.0773,2.3659,1.0462,4.7742,-0.0492,-2.5157,0.5001,-0.0071,0.3256,-1.1813,0.7658,0.4439,3.5406,8037,0.9496249999999999
3Q19,-0.1318,-0.1523,-4.5123,-4.2119,-1.2137,-1.1543,-3.4512,-1.946,-0.3367,-2.6548,0.8621,3.8111,0.021,-0.1329,1.4685,1.3218,0.721,3.1928,0.0162,-2.7754,0.2608,1.5376,1.304,0.5981,0.8162,0.4477,2.2412,8038,0.5863
4Q19,0.0575,0.0577,-2.0956,-2.0728,-3.188,-2.6733,-2.2416,-0.8201,-0.2296,-1.9151,0.2646,1.5345,0.9368,2.6253,1.3234,0.9309,0.58,2.5128,-0.0347,-0.5989,0.2589,-1.3634,1.2514,0.6545,0.6916,0.3756,1.4253,8039,0.7938999999999999
1Q20,-0.1597,-0.1817,-2.5461,-2.5225,-10.4531,-9.2599,-5.0027,-3.6557,-0.5447,-4.3777,0.0496,0.186,2.8224,9.3388,1.5587,2.4059,1.1717,5.1508,0.1816,1.7327,0.0487,-7.2096,0.839,-0.9431,1.5187,0.5634,3.2079,8000,1.8882500000000002
2Q20,-0.6731,-0.7425,-2.2621,-2.543,-24.8044,-22.4066,-4.0517,-3.6498,-0.9201,-7.1586,-0.6362,-2.5014,6.5824,23.321,0.1714,-0.7506,1.972,8.7766,0.2303,5.2504,-0.7141,-20.4495,0.5187,0.9286,3.5522,0.6743,5.7277,8001,3.2276000000000002
3Q20,-0.3265,-0.3438,4.7298,4.1028,-21.6607,-19.3973,2.2267,1.1391,-0.2924,-2.3102,-1.7629,-7.7263,6.326,22.5768,-1.5556,-3.4276,0.7888,3.476,0.2628,9.0007,-1.0165,-21.8169,-0.4995,1.5639,3.8205,0.1249,1.7226,8002,2.2781749999999996
4Q20,-0.0291,-0.0035,5.8036,5.3636,-17.4438,-15.4758,4.7227,3.8285,-0.0093,-0.2649,-1.5514,-7.3864,5.4074,19.1653,-1.6417,-4.6318,0.3834,1.5762,0.3673,8.2945,-0.8757,-18.9097,-0.0188,3.0525,3.323,0.118,0.069,8003,1.7205499999999998
1Q21,0.4376,0.5585,8.116,7.6882,-12.3845,-10.8968,10.0974,7.5714,0.4148,2.5703,-1.6094,-7.8133,4.2755,15.4267,-3.6305,-8.0488,-0.2377,-1.4331,0.3022,7.4705,-0.9554,-16.4495,-0.9046,4.7842,3.3738,-0.2334,-2.3371,8004,0.533725
2Q21,1.2645,1.5047,9.2475,9.2013,6.5684,6.3147,9.3426,7.3313,1.0118,6.6697,-0.9535,-5.7167,-0.7144,-2.5569,-2.3396,-3.6529,-1.4123,-6.9208,0.336,4.0898,-0.2119,0.0532,-1.289,1.2453,1.3752,-0.526,-6.2857,8005,-1.3142
3Q21,0.6397,0.7509,2.1092,2.2674,5.2335,4.9417,0.9646,1.0672,0.3314,1.9462,0.0314,-0.6343,-1.0478,-4.0719,0.3016,1.0974,-0.4177,-2.1807,0.1779,0.3713,0.2345,3.5721,-0.1246,-0.9218,0.6488,-0.0436,-2.1716,8006,-0.4156500000000001
