period,region,ipp_xb,ipp_xb_relative_to_share_weighted_mean,nights_share_pct,fx_mix_differential_pp_base,fx_mix_differential_pp_low,fx_mix_differential_pp_high,fx_mix_swing_vs_2q26_pp_base,fx_mix_swing_vs_2q26_pp_low,fx_mix_swing_vs_2q26_pp_high
2Q26,na,3.061,4.122,28.26,0.467,0.352,0.868,0.0,0.0,0.0
2Q26,emea,-0.363,0.698,41.55,0.079,0.06,0.147,0.0,0.0,0.0
2Q26,latam,-10.141,-9.079,17.86,-1.03,-0.775,-1.912,0.0,0.0,0.0
2Q26,apac,0.291,1.353,12.33,0.153,0.116,0.285,0.0,0.0,0.0
3Q26,na,1.089,1.428,28.26,0.162,0.122,0.301,-0.305,-0.23,-0.567
3Q26,emea,1.724,2.063,41.55,0.234,0.176,0.435,0.155,0.116,0.288
3Q26,latam,-6.639,-6.3,17.86,-0.714,-0.538,-1.327,0.316,0.237,0.585
3Q26,apac,-1.438,-1.099,12.33,-0.125,-0.094,-0.231,-0.278,-0.21,-0.516
4Q26,na,2.189,2.469,28.26,0.28,0.211,0.52,-0.187,-0.141,-0.348
4Q26,emea,1.371,1.65,41.55,0.187,0.141,0.348,0.108,0.081,0.201
4Q26,latam,-5.419,-5.14,17.86,-0.583,-0.439,-1.082,0.447,0.336,0.83
4Q26,apac,-4.052,-3.772,12.33,-0.428,-0.322,-0.794,-0.581,-0.438,-1.079
