date,dest_basket_na_yoy,origin_basket_na_yoy,dest_basket_emea_yoy,origin_basket_emea_yoy,dest_basket_latam_yoy,origin_basket_latam_yoy,dest_basket_apac_yoy,origin_basket_apac_yoy,ipp_na,ipp_xb_na,ipp_emea,ipp_xb_emea,ipp_latam,ipp_xb_latam,ipp_apac,ipp_xb_apac,oa_na,oa_xb_na,oa_emea,oa_xb_emea,oa_latam,oa_xb_latam,oa_apac,oa_xb_apac,ipp_dispersion_sd,ipp_global_weighted,usd_vs_rest_yoy,n_days_in_qtd
2026-07-01,-0.1259,-0.1877,-2.21,-1.7498,4.8553,4.4705,-0.7011,-2.8217,-0.1002,-0.3815,0.7344,2.174,-1.4472,-5.697,-1.5946,0.5092,-0.1346,-0.3771,0.1683,-2.6978,0.4372,5.6503,-2.1492,-2.2497,1.1162,-0.178,0.3279,1
2026-07-02,-0.1152,-0.1754,-1.9346,-1.4761,4.9376,4.5504,-0.4605,-2.602,-0.0749,-0.1827,0.6998,1.9668,-1.4459,-5.6808,-1.6314,0.4087,-0.1791,-0.5754,0.1828,-2.5243,0.4229,5.56,-2.1516,-2.1872,1.1171,-0.1896,0.1692,2
2026-07-06,-0.1172,-0.1784,-1.8848,-1.4233,5.1613,4.7491,-0.3879,-2.5778,-0.0658,-0.0997,0.6998,1.9514,-1.5079,-5.8908,-1.6743,0.3883,-0.2053,-0.6855,0.1832,-2.5495,0.4237,5.7246,-2.1959,-2.2167,1.1471,-0.2034,0.1096,3
2026-07-07,-0.117,-0.178,-1.8631,-1.4019,5.2312,4.8087,-0.3227,-2.5248,-0.0608,-0.0597,0.6995,1.9509,-1.5279,-5.9498,-1.6933,0.342,-0.2148,-0.7275,0.1814,-2.566,0.4201,5.7636,-2.1981,-2.184,1.1586,-0.208,0.0834,4
2026-07-08,-0.1194,-0.1801,-1.8869,-1.433,5.1948,4.7705,-0.3449,-2.5556,-0.0643,-0.0902,0.695,1.9607,-1.5245,-5.9257,-1.6999,0.3436,-0.2087,-0.7021,0.1735,-2.58,0.4155,5.7409,-2.2077,-2.197,1.1574,-0.2111,0.1075,5
2026-07-09,-0.1167,-0.1766,-1.8442,-1.3906,5.2781,4.8423,-0.3035,-2.5224,-0.0582,-0.0458,0.6912,1.9386,-1.5472,-5.9928,-1.7085,0.3334,-0.22,-0.7537,0.1739,-2.5726,0.4115,5.7852,-2.2142,-2.1975,1.1653,-0.216,0.072,6
2026-07-10,-0.1112,-0.17,-1.8114,-1.3584,5.3812,4.9336,-0.2316,-2.4553,-0.051,0.0059,0.6907,1.9389,-1.5735,-6.0769,-1.7205,0.2923,-0.2314,-0.807,0.1716,-2.5912,0.4098,5.8475,-2.2102,-2.1626,1.1768,-0.2204,0.0321,7
2026-07-13,-0.1079,-0.1658,-1.8234,-1.3723,5.4313,4.9776,-0.2127,-2.4389,-0.0495,0.012,0.6932,1.964,-1.5882,-6.1261,-1.7259,0.2754,-0.2325,-0.8142,0.1669,-2.6249,0.4107,5.8928,-2.2088,-2.1475,1.1834,-0.2222,0.0268,8
2026-07-14,-0.1,-0.1562,-1.8149,-1.3637,5.5389,5.0734,-0.164,-2.4077,-0.0445,0.041,0.6964,1.9834,-1.6168,-6.2221,-1.7452,0.2489,-0.2392,-0.8492,0.1635,-2.6621,0.4115,5.9737,-2.2201,-2.1372,1.1987,-0.227,-0.0005,9
2026-07-15,-0.092,-0.1465,-1.7819,-1.3313,5.6312,5.1564,-0.1044,-2.37,-0.0384,0.0797,0.6949,1.9776,-1.6391,-6.2963,-1.7684,0.2202,-0.2484,-0.8945,0.1617,-2.6749,0.411,6.0288,-2.2358,-2.1312,1.2119,-0.2327,-0.0362,10
