quarter,adr_fx_disclosed_pp,est_from_eur,est_from_usd_broad,est_from_regional_baskets,err_est_from_eur,err_est_from_usd_broad,err_est_from_regional_baskets
2022Q2,-5.6,-5.828,-4.042,-4.752,-0.228,1.558,0.848
2022Q3,-7.1,-7.149,-5.931,-6.357,-0.049,1.169,0.743
2022Q4,-5.5,-5.376,-5.602,-4.945,0.124,-0.102,0.555
2023Q1,-2.8,-2.525,-2.461,-2.558,0.275,0.339,0.242
2023Q2,-0.6,0.459,0.264,0.342,1.059,0.864,0.942
2023Q3,2.7,3.1,2.655,3.395,0.4,-0.045,0.695
2023Q4,2.1,1.829,2.395,2.453,-0.271,0.295,0.353
2024Q1,0.6,-0.042,0.326,0.826,-0.642,-0.274,0.226
2024Q2,-0.9,-1.076,-1.344,-0.661,-0.176,-0.444,0.239
2024Q3,-0.6,-0.143,-1.146,-0.213,0.457,-0.546,0.387
2024Q4,-1.1,-0.96,-1.963,-1.005,0.14,-0.863,0.095
2025Q1,-1.9,-1.915,-3.627,-2.439,-0.015,-1.727,-0.539
2025Q2,1.9,1.844,0.584,1.311,-0.056,-1.316,-0.589
2025Q3,2.7,2.301,1.932,2.026,-0.399,-0.768,-0.674
2025Q4,2.9,3.549,3.384,3.364,0.649,0.484,0.464
2026Q1,5.0,4.446,5.332,5.06,-0.554,0.332,0.06
2026Q2,1.3,0.586,2.343,1.696,-0.714,1.043,0.396
