quarter,EUR,GBP,AUD,NZD,CAD,MXN,BRL,JPY,KRW,INR,CNY,CHF,SEK,NOK,DKK,THB,SGD,TWD,HKD,MYR,ZAR,USD_BROAD,USD
1Q17,,,,,,,,,,,,,,,,,,,,,,,
2Q17,,,,,,,,,,,,,,,,,,,,,,,
3Q17,,,,,,,,,,,,,,,,,,,,,,,
4Q17,,,,,,,,,,,,,,,,,,,,,,,
1Q18,14.2139,11.5668,3.5271,2.2122,4.5068,7.7103,-3.3599,4.7638,7.0697,3.7692,8.0482,5.6364,9.4299,7.3435,14.06,10.6698,7.0325,5.7546,-0.8604,12.5048,9.8722,-7.5483,0.0
2Q18,7.9797,6.1702,0.7685,-0.0973,4.0988,-4.4021,-11.2837,1.7873,4.5691,-3.8282,7.2914,-0.0736,1.4987,6.0161,7.838,7.1964,4.2384,1.5698,-0.7866,9.2416,4.341,-2.9265,0.0
3Q18,-1.0788,-0.4564,-7.681,-8.846,-4.2503,-6.1593,-22.1816,-0.5117,0.9126,-8.6523,-2.0372,-2.1901,-9.5647,-3.5702,-1.3093,1.1859,-0.5307,-1.3332,-0.383,4.0533,-6.1689,3.3191,0.0
4Q18,-3.136,-3.083,-6.9075,-3.8601,-3.7398,-4.2935,-15.8018,0.1103,-1.9906,-10.8241,-4.4548,-0.9033,-8.4154,-3.2907,-3.3989,0.3164,-1.5524,-2.3899,-0.2728,-0.26,-4.9557,4.1697,0.0
1Q19,-7.9176,-6.6002,-9.8475,-6.5095,-4.9684,-2.5861,-14.8941,-1.7929,-4.8945,-8.9528,-5.9814,-5.0311,-12.2723,-9.0804,-8.144,-0.2872,-2.7119,-5.1313,-0.2315,-4.2194,-15.9047,5.8956,0.0
2Q19,-5.9196,-5.6953,-7.7654,-6.1166,-3.6056,1.3854,-8.4839,-0.7302,-7.6918,-3.7325,-6.7068,-1.758,-8.5365,-7.5314,-6.1596,1.0038,-2.127,-4.3967,0.1045,-4.9295,-12.9493,4.2573,0.0
3Q19,-4.4711,-5.5303,-6.4663,-2.9947,-1.0279,-2.4772,-0.4952,3.817,-6.3019,-0.3999,-3.0238,-0.1472,-6.9074,-7.2011,-4.5755,7.0991,-0.5355,-1.7014,0.1903,-1.7404,-4.4272,2.4563,0.0
4Q19,-3.02,0.0738,-4.8079,-3.9212,0.0093,2.8403,-7.7587,3.6874,-4.2286,1.2591,-1.8673,0.6344,-6.0706,-7.6394,-3.1397,8.0768,0.8822,1.1369,0.0521,0.1324,-2.8464,0.6151,0.0
1Q20,-2.9647,-1.8832,-8.074,-7.1864,-1.102,-3.5748,-16.5358,1.167,-5.9221,-2.9024,-3.4057,2.975,-5.3154,-9.8586,-3.0645,1.0648,-2.2664,2.3701,0.9627,-2.1511,-8.9833,2.756,0.0
2Q20,-1.9879,-3.4823,-6.2554,-6.8821,-3.467,-19.7877,-31.4273,2.2251,-4.4725,-8.7002,-3.8224,4.0084,-2.4259,-14.5359,-1.8798,-1.0553,-3.4691,4.0417,1.1391,-4.0774,-22.088,5.3997,0.0
3Q20,5.0649,4.7373,4.2375,1.9576,-0.8651,-12.8634,-30.4956,1.1472,0.519,-5.5033,1.422,6.9712,7.9071,-2.9938,5.3106,-2.0146,0.0642,6.1315,1.0212,-0.8468,-14.2552,0.7464,0.0
4Q20,7.4014,2.4906,6.6832,6.2912,1.28,-6.5738,-27.1741,3.9531,5.0507,-3.5533,6.1792,9.0896,10.998,0.9378,7.7772,-1.0979,1.2168,6.8023,0.9426,1.4125,-5.9563,-2.1679,0.0
1Q21,8.8783,7.6047,16.2535,12.5308,6.0461,-2.3058,-20.9242,2.5781,6.8294,-0.5803,7.3813,6.5747,14.1385,10.675,9.3358,3.1981,3.9138,6.933,0.1693,2.7284,2.4673,-4.6871,0.0
2Q21,8.9774,11.8534,15.7562,14.4827,12.0118,15.1771,1.4565,-1.7657,8.3599,2.7687,9.2377,5.5935,13.9291,17.7047,9.2714,1.8328,5.7209,6.5753,-0.185,4.5486,23.8895,-8.5712,0.0
3Q21,0.7322,6.3867,2.62,5.6543,5.5577,9.7561,2.7749,-3.6751,2.3522,0.334,6.6434,0.1116,2.3702,4.0015,0.8426,-5.0433,1.5583,5.1398,-0.3592,0.0565,14.4152,-3.5058,0.0
4Q21,-4.1854,2.1084,-0.282,1.3205,3.3374,-0.9138,-3.5128,-8.4115,-5.7178,-1.5505,3.5513,-1.9925,-2.744,3.3938,-4.115,-8.6551,-0.7822,2.3049,-0.4876,-1.8786,1.173,0.917,0.0
1Q22,-7.1335,-2.8737,-6.4128,-6.0246,-0.0599,-0.6653,5.0618,-9.1569,-7.883,-3.1467,2.0857,-1.9401,-10.6047,-3.8491,-7.1966,-8.6755,-1.4544,0.2643,-0.6143,-3.0418,-1.6085,2.7442,0.0
2Q22,-12.3936,-10.6879,-7.5065,-9.5337,-3.8332,-0.1923,7.2554,-16.9387,-11.6646,-4.5027,-2.241,-5.7456,-15.6021,-11.6074,-12.4331,-9.1995,-3.329,-5.0547,-1.0348,-5.223,-9.8048,6.1873,0.0
3Q22,-15.7625,-15.7902,-7.209,-13.3249,-3.566,-1.0027,-0.2751,-22.7926,-14.4164,-7.3852,-5.7,-5.1208,-19.818,-13.0275,-15.8204,-9.9712,-3.2487,-8.7257,-0.8952,-6.6258,-15.2136,8.639,0.0
4Q22,-11.2662,-13.7467,-10.3215,-14.0213,-7.4546,5.2649,6.1605,-21.6742,-13.6847,-9.1934,-10.6573,-4.3663,-19.115,-15.4741,-11.2974,-8.4005,-2.1109,-11.8461,-0.4075,-8.7396,-13.2826,8.2174,0.0
1Q23,-4.4326,-9.8169,-5.9096,-7.2679,-6.6026,9.4919,0.3204,-12.9555,-5.601,-8.8534,-7.4932,-0.1117,-11.1376,-14.7378,-4.4557,-2.5897,1.4466,-8.1595,-0.4289,-4.5202,-15.596,4.0883,0.0
2Q23,2.2524,-0.3555,-6.6996,-4.9436,-5.0915,12.5651,-0.7266,-5.7209,-4.3091,-6.2692,-5.9579,7.0816,-6.7503,-12.9296,2.1122,-0.2131,2.8299,-4.268,0.0814,-3.9143,-18.0778,0.3633,0.0
3Q23,7.8181,7.3393,-4.2667,-1.3076,-2.6578,17.0954,7.1743,-4.3999,2.0432,-3.5836,-5.6024,9.0385,-2.3701,-4.713,7.6505,3.5418,3.5176,-4.1648,0.3138,-3.0879,-8.9356,-3.0225,0.0
4Q23,5.1787,5.5071,-0.9337,-0.0966,-0.2568,11.5258,5.927,-4.5568,2.6432,-1.3241,-1.5864,8.3049,0.6574,-6.0892,4.9383,1.8911,2.6626,-1.5367,0.093,-2.847,-6.1765,-2.6491,0.0
1Q24,1.1611,4.2577,-3.8756,-2.7531,0.3083,9.3468,4.7517,-11.4971,-4.1484,-1.0077,-4.9443,5.6009,0.4227,-2.668,0.9927,-5.0251,-0.5749,-3.403,0.2385,-7.3652,-6.1392,0.2776,0.0
2Q24,-1.1305,0.7865,-1.3811,-2.2373,-1.8592,2.7906,-5.0463,-12.6375,-4.0651,-1.5033,-3.23,-0.6469,-1.5714,-0.5217,-1.283,-6.3583,-1.035,-5.1809,0.2805,-4.5275,0.4309,2.5791,0.0
3Q24,0.9383,2.6668,2.2707,0.9867,-1.7154,-10.2837,-12.7476,-2.9649,-3.176,-1.2861,1.1218,1.9689,3.5555,-2.2506,0.8384,1.1574,2.2404,-1.8562,0.3133,3.9184,3.6039,2.309,0.0
4Q24,-0.8713,3.1431,0.1549,-2.0873,-2.7107,-13.5787,-16.3632,-3.0731,-5.6153,-1.413,0.4908,0.9874,-1.2394,-1.919,-0.8784,4.7124,1.3066,-1.6342,0.5082,6.703,4.5036,3.4176,0.0
1Q25,-3.0295,-0.61,-4.6131,-7.523,-6.2053,-18.3736,-16.5429,-2.5234,-8.8054,-4.2102,-1.1644,-2.6936,-2.3945,-4.9106,-3.0832,4.9754,-0.5221,-4.5011,0.5186,6.0203,2.1625,5.6406,0.0
2Q25,5.2092,5.659,-2.7888,-1.9468,-1.172,-12.6252,-8.5109,7.5152,-2.0888,-2.5405,0.1146,9.1343,10.125,4.3259,5.2017,10.3244,3.981,4.8347,0.1918,9.4137,1.5655,-0.0824,0.0
3Q25,6.1651,3.6166,-2.3468,-3.0369,-0.9629,1.4595,1.7486,0.8856,-2.3211,-4.1749,0.0881,7.8681,9.0898,5.8785,6.1273,7.333,2.7301,7.5544,-0.2726,5.1461,1.8686,-1.987,0.0
4Q25,8.7343,3.7421,0.6789,-2.9779,0.3371,9.3359,7.7685,-1.112,-3.5631,-5.3742,1.3968,9.3473,13.6551,8.8951,8.6049,5.5198,2.7608,4.1494,-0.0411,5.6474,4.565,-4.079,0.0
1Q26,10.5384,6.6985,10.2832,3.784,4.5297,15.0522,10.6646,-2.946,-0.9099,-5.5364,4.947,13.7213,15.3165,12.8919,10.3936,7.0893,5.4905,3.9139,-0.4316,11.5361,12.2856,-6.9569,0.0
2Q26,2.5269,0.57,10.2631,-1.5136,0.0606,11.5422,11.637,-9.8041,-6.9771,-10.0596,6.1006,4.4058,3.185,8.8879,2.3719,1.6764,1.6215,-2.5125,-0.4075,7.4848,10.429,-2.5745,0.0
3Q26,-1.4717,-0.1149,7.4443,-1.3423,-1.5726,7.7681,5.9936,-8.3463,-3.4991,-9.0268,5.8106,-1.1032,-0.7961,5.7118,-1.627,-2.9274,0.0949,-6.9306,-0.2694,3.7099,7.9024,-0.5101,0.0
