sample,target,n,mean,median,sd,mean_abs,share_positive,share_abs_ge_7
all,ret_1d_cc_excess_pct,23,0.51,-0.04,8.65,6.81,0.48,0.48
all,ret_1d_cc_raw_pct,23,1.16,0.7,9.04,7.06,0.57,0.48
all,gap_excess_pct,23,-0.99,-0.82,7.4,6.05,0.43,0.43
all,intraday_excess_pct,23,1.51,1.41,3.95,3.27,0.74,0.13
all,ret_1d_open_excess_pct,23,1.47,1.38,3.84,3.22,0.74,0.09
all,ev_ntm_rev_multiple_change_pct,19,1.66,-0.97,11.52,8.45,0.37,0.53
all,ret_20d_cc_excess_pct,23,-3.51,-3.48,9.19,7.82,0.3,0.43
ex_reopening,ret_1d_cc_excess_pct,16,-1.29,-2.22,9.1,7.28,0.31,0.56
ex_reopening,ret_1d_cc_raw_pct,16,-0.94,-1.1,9.58,7.41,0.44,0.5
ex_reopening,gap_excess_pct,16,-1.69,-2.87,8.33,7.08,0.38,0.56
ex_reopening,intraday_excess_pct,16,0.39,0.77,3.77,2.83,0.69,0.06
ex_reopening,ret_1d_open_excess_pct,16,0.36,0.8,3.64,2.77,0.69,0.06
ex_reopening,ev_ntm_rev_multiple_change_pct,16,-0.39,-2.05,10.59,7.65,0.31,0.5
ex_reopening,ret_20d_cc_excess_pct,16,-3.82,-4.54,10.06,8.72,0.25,0.5
post2022,ret_1d_cc_excess_pct,14,-1.66,-2.22,8.65,6.71,0.29,0.5
post2022,ret_1d_cc_raw_pct,14,-1.07,-1.1,8.84,6.56,0.43,0.43
post2022,gap_excess_pct,14,-2.09,-2.87,8.43,7.09,0.36,0.57
post2022,intraday_excess_pct,14,0.43,0.77,3.68,2.62,0.71,0.07
post2022,ret_1d_open_excess_pct,14,0.45,0.8,3.51,2.55,0.71,0.07
post2022,ev_ntm_rev_multiple_change_pct,14,-0.97,-2.05,9.89,6.79,0.29,0.43
post2022,ret_20d_cc_excess_pct,14,-3.19,-4.54,10.48,8.79,0.29,0.5
