test,dropped,n,b,t_hc1,r2,loo_r2,M6_b_sign,M6_t_sign,M6_b_gvs,M6_t_gvs,M6_r2,M6_loo_r2,note
"guide_vs_street univariate, ex_reopening",none,16,1.91,2.24,0.273,0.151,3.86,1.82,2.06,2.78,0.444,0.215,
"guide_vs_street univariate, ex_reopening",2Q24,15,1.74,1.56,0.198,0.006,3.95,1.9,2.13,2.2,0.381,0.088,
"guide_vs_street univariate, ex_reopening",4Q22,15,1.56,1.45,0.155,-0.009,4.32,1.98,1.51,1.86,0.402,0.163,
"guide_vs_street univariate, ex_reopening",2Q26,15,1.58,1.85,0.243,0.069,2.86,1.34,1.78,2.45,0.355,0.038,
"guide_vs_street univariate, ex_reopening",2Q24 2Q26,14,1.38,1.22,0.164,-0.127,2.81,1.41,1.75,1.82,0.272,-0.134,
"guide_vs_street univariate, ex_reopening",2Q24 4Q22,14,1.23,0.87,0.08,-0.168,4.28,2.0,1.48,1.31,0.332,0.01,
"guide_dir buckets with 2Q26 recoded stable, ex_reopening",accelerating,2,-4.41,,,,,,,,,,mean; 0/2 positive; prints 2Q23 3Q24
"guide_dir buckets with 2Q26 recoded stable, ex_reopening",decelerating,11,-1.15,,,,,,,,,,mean; 4/11 positive; prints 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26
"guide_dir buckets with 2Q26 recoded stable, ex_reopening",stable,3,0.27,,,,,,,,,,mean; 1/3 positive; prints 1Q24 2Q25 2Q26
"M1 sign + guide_dir with 2Q26 recoded stable, ex_reopening",none,16,-0.27,-0.09,0.131,-0.178,3.32,1.25,,,,,b and t here are the guide_dir_code coefficient; M6_b_sign / M6_t_sign are the sign coefficient in the same fit
