dead_band_pts,sample,accel_n,accel_positive,accel_mean,decel_n,decel_positive,decel_mean,flat_prints,b_sign,t_hc1,r2,loo_r2,fisher_p
0.0,ex_reopening,6,4,3.37,10,1,-4.09,,3.73,1.56,0.168,0.019,0.036
0.0,post2022,5,4,6.04,9,0,-5.94,,5.99,2.84,0.475,0.341,0.005
0.25,ex_reopening,6,4,3.37,9,1,-3.57,3Q24,3.35,1.38,0.131,-0.017,0.089
0.25,post2022,5,4,6.04,8,0,-5.59,3Q24,5.66,2.65,0.407,0.278,0.007
0.5,ex_reopening,5,4,6.04,8,1,-2.97,3Q22 3Q24 2Q25,4.03,1.64,0.162,0.03,0.032
0.5,post2022,5,4,6.04,7,0,-5.19,3Q24 2Q25,5.4,2.45,0.351,0.222,0.01
1.0,ex_reopening,5,4,6.04,6,1,-1.64,3Q22 2Q24 3Q24 2Q25 1Q26,3.54,1.29,0.11,-0.035,0.08
1.0,post2022,5,4,6.04,5,0,-4.49,2Q24 3Q24 2Q25 1Q26,5.26,2.21,0.285,0.157,0.048
1.5,ex_reopening,2,1,4.45,6,1,-1.64,3Q22 2Q24 3Q24 2Q25 3Q25 4Q25 1Q26 2Q26,1.94,0.54,0.021,-0.164,0.464
1.5,post2022,2,1,4.45,5,0,-4.49,2Q24 3Q24 2Q25 3Q25 4Q25 1Q26 2Q26,4.14,1.28,0.112,-0.072,0.286
