feature,ex_reopening_n,ex_reopening_b,ex_reopening_t,ex_reopening_r2,ex_reopening_loo_r2,ex_reopening_perm_p,ex_reopening_sign_stab,all_n,all_b,all_t,all_r2,all_loo_r2,all_perm_p,all_sign_stab,post2022_n,post2022_b,post2022_t,post2022_r2,post2022_loo_r2,post2022_perm_p,post2022_sign_stab,multiple_b,multiple_t,multiple_loo_r2,multiple_n,open_b,open_t,open_loo_r2
guide_vs_street_pct,16,1.9123,2.24,0.2725,0.1513,0.0395,1.0,19,1.3916,2.38,0.2507,0.1511,0.0215,1.0,14,1.4738,1.35,0.1458,-0.0345,0.1799,1.0,1.8011,1.54,-0.0001,16,0.2272,0.62,-0.1259
nights_accel_sign,16,3.3547,1.38,0.1308,-0.0169,0.1559,1.0,19,3.4632,1.66,0.1522,0.0355,0.087,1.0,14,5.6573,2.65,0.4067,0.2776,0.017,1.0,3.7225,1.3,-0.0323,16,-1.6819,-1.57,0.0223
pre_runup_20d_pct,16,0.2902,1.22,0.0888,-0.0593,0.2504,1.0,22,0.0883,0.65,0.0156,-0.0658,0.5717,1.0,14,0.1065,0.41,0.0117,-0.1682,0.7186,0.93,0.447,1.87,0.0461,16,0.159,1.7,0.0149
momentum_score,16,2.4844,1.17,0.1164,-0.1098,0.1754,1.0,19,2.4385,1.53,0.1404,-0.0011,0.1184,1.0,14,3.8965,2.16,0.3313,0.141,0.0315,1.0,2.4791,0.98,-0.1554,16,-0.443,-0.39,-0.4672
revenue_surprise_pct,16,0.44,0.22,0.0028,-0.1382,0.8616,0.75,23,0.4775,1.51,0.0975,-0.1668,0.1639,1.0,14,0.6865,0.33,0.0077,-0.1811,0.7511,0.86,0.8558,0.36,-0.1275,16,-0.3614,-0.45,-0.115
rev_beat_vs_guide_top_pct,16,1.1874,0.6,0.02,-0.1393,0.6302,1.0,19,1.4809,1.19,0.0502,-0.0321,0.3358,1.0,14,0.6702,0.35,0.0078,-0.1606,0.7696,0.93,1.1084,0.56,-0.0936,16,0.0535,0.07,-0.1137
fy_raised,16,2.2718,0.45,0.0143,-0.1406,0.6577,0.94,23,-0.3119,-0.07,0.0002,-0.1163,0.9365,0.7,14,3.005,0.59,0.0299,-0.1562,0.5712,0.93,3.4578,0.61,-0.122,16,-1.0656,-0.44,-0.2203
nights_yoy_accel_pts,16,0.3319,0.38,0.0113,-0.1761,0.6942,0.94,19,0.3756,1.17,0.0357,-0.0186,0.4378,1.0,14,1.0055,1.13,0.1134,-0.2015,0.2374,1.0,0.6659,0.63,-0.1711,16,-0.4266,-1.38,-0.0389
nights_surprise_pct,13,0.8981,0.56,0.0262,-0.1761,0.5847,1.0,19,0.1659,0.24,0.002,-0.0706,0.8621,0.84,12,2.4785,1.61,0.1888,-0.0605,0.1629,1.0,0.6761,0.32,-0.2408,13,-0.548,-0.88,-0.1241
guide_dir_pts,16,-0.0341,-0.03,0.0001,-0.196,0.979,0.56,22,0.7069,0.65,0.0263,-0.1192,0.4823,1.0,14,-0.0636,-0.05,0.0002,-0.2502,0.962,0.64,-0.5314,-0.35,-0.1679,16,0.2797,0.66,-0.0924
guide_dir_code,16,0.9794,0.29,0.0077,-0.2316,0.7481,0.94,22,2.4119,1.01,0.0578,-0.0663,0.2894,1.0,14,1.3526,0.4,0.0177,-0.2722,0.6907,0.93,0.436,0.11,-0.248,16,1.3898,1.18,-0.0819
eps_surprise_bps_px,14,0.0291,0.13,0.0013,-0.2562,0.905,0.71,20,-0.066,-2.74,0.0942,-0.0069,0.2039,1.0,12,0.1537,0.5,0.0182,-0.1425,0.6472,0.92,0.1341,0.48,-0.2977,14,0.0166,0.14,-0.6594
