spec,perm_p_r2,family,rank,holm_threshold,clears_holm,bonferroni_p
U_guide_vs_street_pct,0.0395,"17 pre-stated specs (primary target, primary sample)",1,0.0029411764705882353,False,0.6715
U_nights_accel_sign,0.1559,"17 pre-stated specs (primary target, primary sample)",2,0.003125,False,1.0
U_momentum_score,0.1754,"17 pre-stated specs (primary target, primary sample)",3,0.0033333333333333335,False,1.0
U_pre_runup_20d_pct,0.2504,"17 pre-stated specs (primary target, primary sample)",4,0.0035714285714285718,False,1.0
M1_accel_sign+guide_dir_code,0.3653,"17 pre-stated specs (primary target, primary sample)",5,0.0038461538461538464,False,1.0
M2_M1+revenue_surprise,0.5532,"17 pre-stated specs (primary target, primary sample)",6,0.004166666666666667,False,1.0
U_nights_surprise_pct,0.5847,"17 pre-stated specs (primary target, primary sample)",7,0.004545454545454546,False,1.0
U_rev_beat_vs_guide_top_pct,0.6302,"17 pre-stated specs (primary target, primary sample)",8,0.005,False,1.0
U_fy_raised,0.6577,"17 pre-stated specs (primary target, primary sample)",9,0.005555555555555556,False,1.0
U_nights_yoy_accel_pts,0.6942,"17 pre-stated specs (primary target, primary sample)",10,0.00625,False,1.0
U_guide_dir_code,0.7481,"17 pre-stated specs (primary target, primary sample)",11,0.0071428571428571435,False,1.0
M5_M2+eps+fy_raised,0.8411,"17 pre-stated specs (primary target, primary sample)",12,0.008333333333333333,False,1.0
U_revenue_surprise_pct,0.8616,"17 pre-stated specs (primary target, primary sample)",13,0.01,False,1.0
U_eps_surprise_bps_px,0.905,"17 pre-stated specs (primary target, primary sample)",14,0.0125,False,1.0
M3_accel_pts+guide_dir_pts,0.922,"17 pre-stated specs (primary target, primary sample)",15,0.016666666666666666,False,1.0
M4_M3+revenue_surprise,0.9725,"17 pre-stated specs (primary target, primary sample)",16,0.025,False,1.0
U_guide_dir_pts,0.979,"17 pre-stated specs (primary target, primary sample)",17,0.05,False,1.0
U_nights_accel_sign [post2022],0.017,36 primary-target univariate tests across three samples,1,0.001388888888888889,False,0.6120000000000001
U_guide_vs_street_pct [all],0.0215,36 primary-target univariate tests across three samples,2,0.0014285714285714286,False,0.7739999999999999
U_momentum_score [post2022],0.0315,36 primary-target univariate tests across three samples,3,0.0014705882352941176,False,1.0
U_guide_vs_street_pct [ex_reopening],0.0395,36 primary-target univariate tests across three samples,4,0.0015151515151515152,False,1.0
U_nights_accel_sign [all],0.087,36 primary-target univariate tests across three samples,5,0.0015625,False,1.0
U_momentum_score [all],0.1184,36 primary-target univariate tests across three samples,6,0.0016129032258064516,False,1.0
U_nights_accel_sign [ex_reopening],0.1559,36 primary-target univariate tests across three samples,7,0.0016666666666666668,False,1.0
U_nights_surprise_pct [post2022],0.1629,36 primary-target univariate tests across three samples,8,0.001724137931034483,False,1.0
U_revenue_surprise_pct [all],0.1639,36 primary-target univariate tests across three samples,9,0.0017857142857142859,False,1.0
U_momentum_score [ex_reopening],0.1754,36 primary-target univariate tests across three samples,10,0.001851851851851852,False,1.0
U_guide_vs_street_pct [post2022],0.1799,36 primary-target univariate tests across three samples,11,0.0019230769230769232,False,1.0
U_eps_surprise_bps_px [all],0.2039,36 primary-target univariate tests across three samples,12,0.002,False,1.0
U_nights_yoy_accel_pts [post2022],0.2374,36 primary-target univariate tests across three samples,13,0.0020833333333333333,False,1.0
U_pre_runup_20d_pct [ex_reopening],0.2504,36 primary-target univariate tests across three samples,14,0.002173913043478261,False,1.0
U_guide_dir_code [all],0.2894,36 primary-target univariate tests across three samples,15,0.002272727272727273,False,1.0
U_rev_beat_vs_guide_top_pct [all],0.3358,36 primary-target univariate tests across three samples,16,0.002380952380952381,False,1.0
U_nights_yoy_accel_pts [all],0.4378,36 primary-target univariate tests across three samples,17,0.0025,False,1.0
U_guide_dir_pts [all],0.4823,36 primary-target univariate tests across three samples,18,0.002631578947368421,False,1.0
U_fy_raised [post2022],0.5712,36 primary-target univariate tests across three samples,19,0.002777777777777778,False,1.0
U_pre_runup_20d_pct [all],0.5717,36 primary-target univariate tests across three samples,20,0.0029411764705882353,False,1.0
U_nights_surprise_pct [ex_reopening],0.5847,36 primary-target univariate tests across three samples,21,0.003125,False,1.0
