sample,sort,bucket,target,n,mean,median,min,max,n_positive,hit_rate_positive,sample_base_rate_positive,binom_p_vs_half,binom_p_vs_base_rate_1sided,prints,mann_whitney_p,welch_p,fisher_p_share_positive
ex_reopening,guide_dir,accelerating,ret_1d_cc_excess_pct,3,2.48,-0.04,-8.78,16.26,1.0,0.33,0.31,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_1d_cc_excess_pct,11,-1.15,-1.61,-12.3,14.03,4.0,0.36,0.31,0.549,0.467,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_1d_cc_excess_pct,2,-7.73,-7.73,-8.36,-7.09,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_1d_cc_excess_pct,14,3.64,1.57,,,,,,,,top 1/3 positive vs bottom 4/11,0.555,0.678,1.0
ex_reopening,guide_dir,accelerating,ret_1d_cc_raw_pct,3,2.73,-0.5,-8.7,17.4,1.0,0.33,0.44,1.0,0.593,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_1d_cc_raw_pct,11,-0.75,0.3,-13.4,14.4,6.0,0.55,0.44,1.0,0.335,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_1d_cc_raw_pct,2,-7.45,-7.45,-8.0,-6.9,0.0,0.0,0.44,0.5,0.316,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_1d_cc_raw_pct,14,3.49,-0.8,,,,,,,,top 1/3 positive vs bottom 6/11,0.755,0.704,1.0
ex_reopening,guide_dir,accelerating,ret_1d_open_excess_pct,3,2.74,0.77,-0.26,7.72,2.0,0.67,0.69,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_1d_open_excess_pct,11,-0.26,0.94,-6.25,4.01,7.0,0.64,0.69,0.549,0.467,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_1d_open_excess_pct,2,0.14,0.14,0.13,0.15,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_1d_open_excess_pct,14,3.0,-0.17,,,,,,,,top 2/3 positive vs bottom 7/11,0.769,0.358,1.0
ex_reopening,guide_dir,accelerating,gap_excess_pct,3,-0.5,-0.82,-8.52,7.84,1.0,0.33,0.38,1.0,0.684,2Q23 3Q24 2Q26,,,
