scenario,source,conditional_on,nights_3q26_pct,accel_pts_vs_2q26,accel_sign,revenue_3q26_musd,revenue_surprise_vs_street_pct,nights_guide_4q26_pct,guide_dir_pts_vs_printed,guide_dir_code,rev_guide_4q26_musd,guide_vs_street_bbg_pct,guide_vs_street_zacks_pct,guide_below_street_bbg_flag,guide_below_street_zacks_flag,E_S1_ex_reopening_pct,E_S1_post2022_pct,E_S2_ex_reopening_bbg_pct,E_S2_ex_reopening_zacks_pct,E_S2_post2022_bbg_pct,E_S2_post2022_zacks_pct,E_S2s_ex_reopening_bbg_pct,E_S2s_post2022_bbg_pct,fitted_mean_p10_S1_ex_reopening_pct,fitted_mean_p90_S1_ex_reopening_pct,share_of_refits_E_positive_S1_ex_reopening,realised_move_p10_S1_ex_reopening_pct,realised_move_p90_S1_ex_reopening_pct,fitted_mean_p10_S1_post2022_pct,fitted_mean_p90_S1_post2022_pct,share_of_refits_E_positive_S1_post2022,realised_move_p10_S1_post2022_pct,realised_move_p90_S1_post2022_pct,fitted_mean_p10_S2_ex_reopening_bbg_pct,fitted_mean_p90_S2_ex_reopening_bbg_pct,share_of_refits_E_positive_S2_ex_reopening_bbg,realised_move_p10_S2_ex_reopening_bbg_pct,realised_move_p90_S2_ex_reopening_bbg_pct,fitted_mean_p10_S2_post2022_bbg_pct,fitted_mean_p90_S2_post2022_bbg_pct,share_of_refits_E_positive_S2_post2022_bbg,realised_move_p10_S2_post2022_bbg_pct,realised_move_p90_S2_post2022_bbg_pct,resid_sd_S1_ex_reopening_pct,resid_sd_S2_ex_reopening_pct
Team base (WS29/30),ANCHOR (team files),decelerating print,9.9,-0.44,-1.0,4771,0.57,8.9,-1.0,-1.0,3111.0,-1.36,-2.78,1,1,-4.02,-6.11,-8.53,-11.45,-8.23,-10.11,-8.19,-10.23,-6.54,-0.42,0.08,-15.28,7.24,-7.81,-3.41,0.0,-14.99,2.78,-11.16,-6.16,0.0,-17.88,0.81,-10.64,-5.8,0.0,-16.55,0.09,8.784,7.291
"Team base, ex-NA lap adopted (4Q26 8.1%)",ANCHOR nights; 4Q26 revenue mapped at the team elasticity,decelerating print,9.9,-0.44,-1.0,4771,0.57,8.1,-1.8,-1.0,3102.0,-1.66,-3.08,1,1,-4.02,-6.11,-9.15,-12.06,-8.63,-10.5,-8.82,-10.56,-6.57,-0.35,0.08,-15.28,7.24,-7.74,-3.43,0.0,-14.99,2.78,-12.07,-6.54,0.0,-18.5,0.19,-11.36,-6.12,0.0,-16.95,-0.31,8.784,7.291
Street (Bloomberg FA 4 Sep),ANCHOR,accelerating print,11.1,0.76,1.0,4744,0.0,10.1,-1.0,-1.0,3154.0,0.0,-1.44,0,1,2.69,5.21,1.99,-0.97,4.5,2.6,2.35,2.39,-1.67,8.53,0.8,-8.57,13.95,1.06,11.08,0.95,-3.68,14.09,-3.43,6.84,0.64,-7.35,11.34,-1.32,9.45,0.84,-3.82,12.82,8.784,7.291
Management delivered,ANCHOR,accelerating print,11.5,1.16,1.0,4815,1.5,10.5,-1.0,-1.0,3130.0,-0.76,-2.19,1,1,2.69,5.21,0.43,-2.51,3.49,1.61,0.7,4.0,-1.48,8.17,0.81,-8.57,13.95,1.37,10.64,0.95,-3.68,14.09,-5.21,5.77,0.51,-8.92,9.77,-2.74,8.67,0.75,-4.82,11.81,8.784,7.291
Q3 nowcast central (reviews index 9.75) with stable 4Q guide,MEASURED nights (docs/q3nowcast); revenue mapped at the team elasticity,decelerating print,9.75,-0.59,-1.0,4815,1.5,9.75,0.0,0.0,3121.0,-1.04,-2.47,1,1,-4.02,-6.11,-7.87,-10.8,-7.81,-9.69,-7.86,-8.09,-6.59,-0.34,0.08,-15.28,7.24,-7.79,-3.44,0.0,-14.99,2.78,-10.4,-5.76,0.0,-17.22,1.47,-10.08,-5.59,0.0,-16.12,0.51,8.784,7.291
"Flat print: 3Q26 = 2Q26 rate, 4Q26 guided stable, revenue at Street",construct,flat print,10.34,0.0,0.0,4744,0.0,10.34,0.0,0.0,3154.0,0.0,-1.44,0,1,-0.66,-0.45,-1.87,-4.83,-0.96,-2.87,-1.78,-3.36,-4.0,1.59,0.27,-11.92,10.59,-4.43,1.18,0.23,-9.34,8.43,-4.96,0.77,0.17,-11.21,7.48,-3.95,1.69,0.3,-9.28,7.35,8.784,7.291
"Accelerating print, 4Q26 guide at Street revenue",construct,accelerating print,11.0,0.66,1.0,4815,1.5,10.1,-0.9,-1.0,3154.0,0.0,-1.44,0,1,2.69,5.21,1.99,-0.97,4.5,2.6,2.27,4.84,-1.8,8.16,0.8,-8.57,13.95,0.99,10.76,0.94,-3.68,14.09,-3.44,7.02,0.65,-7.35,11.34,-1.36,9.41,0.85,-3.82,12.82,8.784,7.291
"Accelerating print, 4Q26 guide 2% below Street",construct (nights at H-note mapping),accelerating print,11.0,0.66,1.0,4815,1.5,9.25,-1.75,-1.0,3091.0,-2.0,-3.41,1,1,2.69,5.21,-2.13,-5.03,1.85,-0.01,-1.86,2.62,-1.6,8.53,0.81,-8.57,13.95,1.44,10.64,0.95,-3.68,14.09,-8.48,4.0,0.32,-11.47,7.22,-5.52,7.93,0.6,-6.46,10.17,8.784,7.291
"Decelerating print, 4Q26 guide 3% above Street",construct (nights at H-note mapping),decelerating print,9.9,-0.44,-1.0,4815,1.5,14.29,4.39,1.0,3249.0,3.0,1.52,0,0,-4.02,-6.11,0.45,-2.6,-2.46,-4.42,0.2,-3.33,-6.47,-0.32,0.08,-15.28,7.24,-7.77,-3.46,0.0,-14.99,2.78,-3.14,3.13,0.57,-8.89,9.8,-5.43,0.45,0.14,-10.78,5.86,8.784,7.291
"2Q26 replay: accel print, guide +2.6% vs Street",construct (nights at H-note mapping),accelerating print,11.0,0.66,1.0,4815,1.5,13.89,2.89,1.0,3236.0,2.6,1.13,0,0,2.69,5.21,7.35,4.31,7.94,5.99,7.08,8.26,-1.65,8.33,0.8,-8.57,13.95,1.06,10.64,0.95,-3.68,14.09,2.41,11.66,0.98,-2.0,16.69,2.73,12.1,0.99,-0.38,16.25,8.784,7.291
