mapping,nights_3q26_pct,accel_sign,guide_dir_pts,nights_guide_4q26_pct,rev_guide_4q26_musd_mapped,guide_vs_street_bbg_pct,revenue_case,revenue_surprise_pct,E_S1_ex_reopening_pct,E_S1_post2022_pct,E_S2_ex_reopening_pct,E_S2_post2022_pct,E_S2s_ex_reopening_pct,E_S2s_post2022_pct
hnote_1.0pct_per_pt,8.5,-1.0,-3.0,5.5,2974,-5.72,delivered_4815,1.5,-4.02,-6.11,-17.51,-14.0,-17.24,-13.55
hnote_1.0pct_per_pt,8.5,-1.0,-3.0,5.5,2974,-5.72,guide_mid_4730,-0.3,-4.02,-6.11,-17.51,-14.0,-17.15,-16.48
hnote_1.0pct_per_pt,8.5,-1.0,-2.0,6.5,3005,-4.73,delivered_4815,1.5,-4.02,-6.11,-15.47,-12.68,-15.19,-12.45
hnote_1.0pct_per_pt,8.5,-1.0,-2.0,6.5,3005,-4.73,guide_mid_4730,-0.3,-4.02,-6.11,-15.47,-12.68,-15.1,-15.38
hnote_1.0pct_per_pt,8.5,-1.0,-1.0,7.5,3036,-3.74,delivered_4815,1.5,-4.02,-6.11,-13.42,-11.37,-13.15,-11.35
hnote_1.0pct_per_pt,8.5,-1.0,-1.0,7.5,3036,-3.74,guide_mid_4730,-0.3,-4.02,-6.11,-13.42,-11.37,-13.05,-14.28
hnote_1.0pct_per_pt,8.5,-1.0,0.0,8.5,3067,-2.75,delivered_4815,1.5,-4.02,-6.11,-11.38,-10.06,-11.38,-9.98
hnote_1.0pct_per_pt,8.5,-1.0,0.0,8.5,3067,-2.75,guide_mid_4730,-0.3,-4.02,-6.11,-11.38,-10.06,-11.28,-12.91
hnote_1.0pct_per_pt,8.5,-1.0,1.0,9.5,3099,-1.75,delivered_4815,1.5,-4.02,-6.11,-9.34,-8.75,-9.61,-8.61
hnote_1.0pct_per_pt,8.5,-1.0,1.0,9.5,3099,-1.75,guide_mid_4730,-0.3,-4.02,-6.11,-9.34,-8.75,-9.52,-11.54
hnote_1.0pct_per_pt,8.5,-1.0,2.0,10.5,3130,-0.76,delivered_4815,1.5,-4.02,-6.11,-7.29,-7.43,-7.56,-7.51
hnote_1.0pct_per_pt,8.5,-1.0,2.0,10.5,3130,-0.76,guide_mid_4730,-0.3,-4.02,-6.11,-7.29,-7.43,-7.47,-10.44
hnote_1.0pct_per_pt,8.75,-1.0,-3.0,5.75,2981,-5.47,delivered_4815,1.5,-4.02,-6.11,-17.0,-13.67,-16.73,-13.27
hnote_1.0pct_per_pt,8.75,-1.0,-3.0,5.75,2981,-5.47,guide_mid_4730,-0.3,-4.02,-6.11,-17.0,-13.67,-16.64,-16.21
hnote_1.0pct_per_pt,8.75,-1.0,-2.0,6.75,3013,-4.48,delivered_4815,1.5,-4.02,-6.11,-14.96,-12.36,-14.68,-12.17
hnote_1.0pct_per_pt,8.75,-1.0,-2.0,6.75,3013,-4.48,guide_mid_4730,-0.3,-4.02,-6.11,-14.96,-12.36,-14.59,-15.1
hnote_1.0pct_per_pt,8.75,-1.0,-1.0,7.75,3044,-3.49,delivered_4815,1.5,-4.02,-6.11,-12.91,-11.04,-12.63,-11.07
hnote_1.0pct_per_pt,8.75,-1.0,-1.0,7.75,3044,-3.49,guide_mid_4730,-0.3,-4.02,-6.11,-12.91,-11.04,-12.54,-14.0
hnote_1.0pct_per_pt,8.75,-1.0,0.0,8.75,3075,-2.5,delivered_4815,1.5,-4.02,-6.11,-10.87,-9.73,-10.87,-9.7
hnote_1.0pct_per_pt,8.75,-1.0,0.0,8.75,3075,-2.5,guide_mid_4730,-0.3,-4.02,-6.11,-10.87,-9.73,-10.77,-12.63
hnote_1.0pct_per_pt,8.75,-1.0,1.0,9.75,3107,-1.51,delivered_4815,1.5,-4.02,-6.11,-8.83,-8.42,-9.1,-8.33
hnote_1.0pct_per_pt,8.75,-1.0,1.0,9.75,3107,-1.51,guide_mid_4730,-0.3,-4.02,-6.11,-8.83,-8.42,-9.01,-11.26
hnote_1.0pct_per_pt,8.75,-1.0,2.0,10.75,3138,-0.51,delivered_4815,1.5,-4.02,-6.11,-6.78,-7.11,-7.05,-7.23
hnote_1.0pct_per_pt,8.75,-1.0,2.0,10.75,3138,-0.51,guide_mid_4730,-0.3,-4.02,-6.11,-6.78,-7.11,-6.96,-10.16
