nights_3q26_pct,accel_sign,guide_vs_street_bbg_pct,rev_guide_4q26_musd,implied_nights_guide_hnote_pct,implied_nights_guide_team_pct,E_S1_ex_reopening_pct,E_S1_post2022_pct,E_S2_ex_reopening_pct,E_S2_post2022_pct
8.5,-1.0,-4.0,3028,7.2,1.9,-4.02,-6.11,-13.96,-11.72
8.5,-1.0,-3.0,3059,8.2,4.6,-4.02,-6.11,-11.9,-10.4
8.5,-1.0,-2.0,3091,9.3,7.2,-4.02,-6.11,-9.84,-9.07
8.5,-1.0,-1.0,3122,10.3,9.9,-4.02,-6.11,-7.78,-7.75
8.5,-1.0,0.0,3154,11.3,12.5,-4.02,-6.11,-5.72,-6.43
8.5,-1.0,1.0,3186,12.3,15.2,-4.02,-6.11,-3.67,-5.11
8.5,-1.0,2.0,3217,13.3,17.8,-4.02,-6.11,-1.61,-3.78
8.5,-1.0,3.0,3249,14.3,20.5,-4.02,-6.11,0.45,-2.46
8.5,-1.0,4.0,3280,15.3,23.1,-4.02,-6.11,2.51,-1.14
9.0,-1.0,-4.0,3028,7.2,1.9,-4.02,-6.11,-13.96,-11.72
9.0,-1.0,-3.0,3059,8.2,4.6,-4.02,-6.11,-11.9,-10.4
9.0,-1.0,-2.0,3091,9.3,7.2,-4.02,-6.11,-9.84,-9.07
9.0,-1.0,-1.0,3122,10.3,9.9,-4.02,-6.11,-7.78,-7.75
9.0,-1.0,0.0,3154,11.3,12.5,-4.02,-6.11,-5.72,-6.43
9.0,-1.0,1.0,3186,12.3,15.2,-4.02,-6.11,-3.67,-5.11
9.0,-1.0,2.0,3217,13.3,17.8,-4.02,-6.11,-1.61,-3.78
9.0,-1.0,3.0,3249,14.3,20.5,-4.02,-6.11,0.45,-2.46
9.0,-1.0,4.0,3280,15.3,23.1,-4.02,-6.11,2.51,-1.14
9.5,-1.0,-4.0,3028,7.2,1.9,-4.02,-6.11,-13.96,-11.72
9.5,-1.0,-3.0,3059,8.2,4.6,-4.02,-6.11,-11.9,-10.4
9.5,-1.0,-2.0,3091,9.3,7.2,-4.02,-6.11,-9.84,-9.07
9.5,-1.0,-1.0,3122,10.3,9.9,-4.02,-6.11,-7.78,-7.75
9.5,-1.0,0.0,3154,11.3,12.5,-4.02,-6.11,-5.72,-6.43
9.5,-1.0,1.0,3186,12.3,15.2,-4.02,-6.11,-3.67,-5.11
9.5,-1.0,2.0,3217,13.3,17.8,-4.02,-6.11,-1.61,-3.78
9.5,-1.0,3.0,3249,14.3,20.5,-4.02,-6.11,0.45,-2.46
9.5,-1.0,4.0,3280,15.3,23.1,-4.02,-6.11,2.51,-1.14
10.0,-1.0,-4.0,3028,7.2,1.9,-4.02,-6.11,-13.96,-11.72
10.0,-1.0,-3.0,3059,8.2,4.6,-4.02,-6.11,-11.9,-10.4
10.0,-1.0,-2.0,3091,9.3,7.2,-4.02,-6.11,-9.84,-9.07
10.0,-1.0,-1.0,3122,10.3,9.9,-4.02,-6.11,-7.78,-7.75
10.0,-1.0,0.0,3154,11.3,12.5,-4.02,-6.11,-5.72,-6.43
10.0,-1.0,1.0,3186,12.3,15.2,-4.02,-6.11,-3.67,-5.11
10.0,-1.0,2.0,3217,13.3,17.8,-4.02,-6.11,-1.61,-3.78
10.0,-1.0,3.0,3249,14.3,20.5,-4.02,-6.11,0.45,-2.46
10.0,-1.0,4.0,3280,15.3,23.1,-4.02,-6.11,2.51,-1.14
10.5,0.0,-4.0,3028,7.2,1.9,-0.66,-0.45,-10.1,-6.25
10.5,0.0,-3.0,3059,8.2,4.6,-0.66,-0.45,-8.04,-4.93
10.5,0.0,-2.0,3091,9.3,7.2,-0.66,-0.45,-5.99,-3.61
10.5,0.0,-1.0,3122,10.3,9.9,-0.66,-0.45,-3.93,-2.29
10.5,0.0,0.0,3154,11.3,12.5,-0.66,-0.45,-1.87,-0.96
10.5,0.0,1.0,3186,12.3,15.2,-0.66,-0.45,0.19,0.36
10.5,0.0,2.0,3217,13.3,17.8,-0.66,-0.45,2.25,1.68
10.5,0.0,3.0,3249,14.3,20.5,-0.66,-0.45,4.31,3.0
10.5,0.0,4.0,3280,15.3,23.1,-0.66,-0.45,6.37,4.33
11.0,1.0,-4.0,3028,7.2,1.9,2.69,5.21,-6.25,-0.79
11.0,1.0,-3.0,3059,8.2,4.6,2.69,5.21,-4.19,0.53
11.0,1.0,-2.0,3091,9.3,7.2,2.69,5.21,-2.13,1.85
11.0,1.0,-1.0,3122,10.3,9.9,2.69,5.21,-0.07,3.18
11.0,1.0,0.0,3154,11.3,12.5,2.69,5.21,1.99,4.5
11.0,1.0,1.0,3186,12.3,15.2,2.69,5.21,4.05,5.82
11.0,1.0,2.0,3217,13.3,17.8,2.69,5.21,6.11,7.14
11.0,1.0,3.0,3249,14.3,20.5,2.69,5.21,8.17,8.47
11.0,1.0,4.0,3280,15.3,23.1,2.69,5.21,10.23,9.79
11.5,1.0,-4.0,3028,7.2,1.9,2.69,5.21,-6.25,-0.79
11.5,1.0,-3.0,3059,8.2,4.6,2.69,5.21,-4.19,0.53
11.5,1.0,-2.0,3091,9.3,7.2,2.69,5.21,-2.13,1.85
11.5,1.0,-1.0,3122,10.3,9.9,2.69,5.21,-0.07,3.18
11.5,1.0,0.0,3154,11.3,12.5,2.69,5.21,1.99,4.5
11.5,1.0,1.0,3186,12.3,15.2,2.69,5.21,4.05,5.82
11.5,1.0,2.0,3217,13.3,17.8,2.69,5.21,6.11,7.14
11.5,1.0,3.0,3249,14.3,20.5,2.69,5.21,8.17,8.47
11.5,1.0,4.0,3280,15.3,23.1,2.69,5.21,10.23,9.79
12.0,1.0,-4.0,3028,7.2,1.9,2.69,5.21,-6.25,-0.79
12.0,1.0,-3.0,3059,8.2,4.6,2.69,5.21,-4.19,0.53
12.0,1.0,-2.0,3091,9.3,7.2,2.69,5.21,-2.13,1.85
12.0,1.0,-1.0,3122,10.3,9.9,2.69,5.21,-0.07,3.18
12.0,1.0,0.0,3154,11.3,12.5,2.69,5.21,1.99,4.5
12.0,1.0,1.0,3186,12.3,15.2,2.69,5.21,4.05,5.82
12.0,1.0,2.0,3217,13.3,17.8,2.69,5.21,6.11,7.14
12.0,1.0,3.0,3249,14.3,20.5,2.69,5.21,8.17,8.47
12.0,1.0,4.0,3280,15.3,23.1,2.69,5.21,10.23,9.79
12.5,1.0,-4.0,3028,7.2,1.9,2.69,5.21,-6.25,-0.79
12.5,1.0,-3.0,3059,8.2,4.6,2.69,5.21,-4.19,0.53
12.5,1.0,-2.0,3091,9.3,7.2,2.69,5.21,-2.13,1.85
12.5,1.0,-1.0,3122,10.3,9.9,2.69,5.21,-0.07,3.18
12.5,1.0,0.0,3154,11.3,12.5,2.69,5.21,1.99,4.5
12.5,1.0,1.0,3186,12.3,15.2,2.69,5.21,4.05,5.82
12.5,1.0,2.0,3217,13.3,17.8,2.69,5.21,6.11,7.14
12.5,1.0,3.0,3249,14.3,20.5,2.69,5.21,8.17,8.47
12.5,1.0,4.0,3280,15.3,23.1,2.69,5.21,10.23,9.79
