spec,status,printed_3q26,accel_sign,E_pct,breakeven_guide_vs_street_bbg_pct,breakeven_rev_guide_4q26_musd_vs_bbg3154,breakeven_rev_guide_4q26_musd_vs_zacks3200,implied_4q26_nights_guide_hnote_1pct_per_pt,implied_4q26_nights_guide_team_0.38pct_per_pt,note
S1_ex_reopening,pre-stated; HEADLINE,accelerating (3Q26 > 10.6%),1.0,2.69,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S1_ex_reopening,pre-stated; HEADLINE,flat (10.1-10.6%),0.0,-0.66,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S1_ex_reopening,pre-stated; HEADLINE,decelerating (3Q26 < 10.1%),-1.0,-4.02,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S1_post2022,pre-stated; HEADLINE,accelerating (3Q26 > 10.6%),1.0,5.21,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S1_post2022,pre-stated; HEADLINE,flat (10.1-10.6%),0.0,-0.45,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S1_post2022,pre-stated; HEADLINE,decelerating (3Q26 < 10.1%),-1.0,-6.11,,,,,,S1 has no guide term: the expected reaction is the bucket mean and no guide brings it to zero
S2_ex_reopening,post-hoc; ILLUSTRATIVE,accelerating (3Q26 > 10.6%),1.0,1.99,-0.97,3123.0,3169.0,10.3,10.0,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
S2_ex_reopening,post-hoc; ILLUSTRATIVE,flat (10.1-10.6%),0.0,-1.87,0.91,3183.0,3229.0,12.2,14.9,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
S2_ex_reopening,post-hoc; ILLUSTRATIVE,decelerating (3Q26 < 10.1%),-1.0,-5.72,2.78,3242.0,3289.0,14.1,19.9,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
S2_post2022,post-hoc; ILLUSTRATIVE,accelerating (3Q26 > 10.6%),1.0,4.5,-3.4,3047.0,3091.0,7.8,3.5,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
S2_post2022,post-hoc; ILLUSTRATIVE,flat (10.1-10.6%),0.0,-0.96,0.73,3177.0,3223.0,12.0,14.5,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
S2_post2022,post-hoc; ILLUSTRATIVE,decelerating (3Q26 < 10.1%),-1.0,-6.43,4.86,3307.0,3356.0,16.2,25.4,E_pct is the expectation with the guide at Street; g* is the guide-vs-Street that zeroes it
