market_key,dump_date,path,bytes,bytes_expected,size_match,sha256,n_lines,url,pulled_at
united-states_ny_new-york-city,2023-03-06,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\united-states_ny_new-york-city_2023-03-06_reviews.csv.gz,131691169,131691169,True,c072b60605fd4c4b3e102d87742329bb98e737cbb5d21a6a0849cf9f1e9c5a2f,1110025,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/united-states_ny_new-york-city_2023-03-06.csv.gz,2026-09-14T17:58:32Z
united-kingdom_england_london,2023-03-14,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\united-kingdom_england_london_2023-03-14_reviews.csv.gz,158880598,158880598,True,3300ebb3e689e37fd5134de4131f51113c24151d7344f49c61d1f57875ce4bff,1352433,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/united-kingdom_england_london_2023-03-14.csv.gz,2026-09-14T17:58:36Z
france_ile-de-france_paris,2023-03-13,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\france_ile-de-france_paris_2023-03-13_reviews.csv.gz,180293124,180293124,True,faba25c8e265b5c19a1959e1865b3c511536ff5043212928abbe68f8c74ff774,1406846,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/france_ile-de-france_paris_2023-03-13.csv.gz,2026-09-14T17:58:41Z
italy_lazio_rome,2023-03-15,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\italy_lazio_rome_2023-03-15_reviews.csv.gz,186211123,186211123,True,2a3cfe06bc8f0c4df797661b4d177a600e8dbb536ef69bebbbe6cc48823198d7,1318698,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/italy_lazio_rome_2023-03-15.csv.gz,2026-09-14T17:58:46Z
spain_catalonia_barcelona,2023-03-14,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\spain_catalonia_barcelona_2023-03-14_reviews.csv.gz,88467582,88467582,True,1faa3b7d470f390a93528449fc673ee03de529e1abf074555e99fe0abaae990f,673738,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/spain_catalonia_barcelona_2023-03-14.csv.gz,2026-09-14T17:58:49Z
the-netherlands_north-holland_amsterdam,2023-03-09,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\the-netherlands_north-holland_amsterdam_2023-03-09_reviews.csv.gz,41453025,41453025,True,e7a33bd37b412e5be07dd5cf61983a2b1d766c917d78afe3ac166b5680c3d491,339806,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/the-netherlands_north-holland_amsterdam_2023-03-09.csv.gz,2026-09-14T17:58:50Z
germany_be_berlin,2023-03-19,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\germany_be_berlin_2023-03-19_reviews.csv.gz,48560526,48560526,True,f3f92eae2dbafc3f28a1d1f68110aa3f6d9145a16c901d2fcff1fada98beb2b8,428143,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/germany_be_berlin_2023-03-19.csv.gz,2026-09-14T17:58:51Z
united-states_ca_los-angeles,2023-03-07,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\united-states_ca_los-angeles_2023-03-07_reviews.csv.gz,152179501,152179501,True,fa6b15c990ed32ba2274447d891b8cf096f58b7fbb7d7e56abad814b63b43da7,1398665,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/united-states_ca_los-angeles_2023-03-07.csv.gz,2026-09-14T17:58:56Z
australia_nsw_sydney,2023-03-13,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\australia_nsw_sydney_2023-03-13_reviews.csv.gz,48375351,48375351,True,c78979b202f9e7cea55cb170abe2a3b507d94ee17f4f28d43a553921de1fb7ee,482311,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/australia_nsw_sydney_2023-03-13.csv.gz,2026-09-14T17:58:58Z
australia_vic_melbourne,2023-03-13,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\australia_vic_melbourne_2023-03-13_reviews.csv.gz,61449552,61449552,True,d095e12aae44a647a4ee91d818f3d430501365f71ab4ac5f68b3fbf7769c4b25,645467,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/australia_vic_melbourne_2023-03-13.csv.gz,2026-09-14T17:58:59Z
canada_on_toronto,2023-03-09,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\canada_on_toronto_2023-03-09_reviews.csv.gz,43904714,43904714,True,2665a7df8e7520c92367cdbe103a0d826964f8bfba61b3e598181508e4eccce8,431841,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/canada_on_toronto_2023-03-09.csv.gz,2026-09-14T17:59:01Z
mexico_df_mexico-city,2023-03-29,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\mexico_df_mexico-city_2023-03-29_reviews.csv.gz,86708818,86708818,True,2053679478c2789e04e0229621da44d5cabfde74a8a86f04fae11e855a4fe939,886241,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/mexico_df_mexico-city_2023-03-29.csv.gz,2026-09-14T17:59:03Z
brazil_rj_rio-de-janeiro,2023-03-28,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\brazil_rj_rio-de-janeiro_2023-03-28_reviews.csv.gz,62313620,62313620,True,ba54a346a70390f20de9be77915f275cfcd04112b559309169703309a6b67cf0,556498,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/brazil_rj_rio-de-janeiro_2023-03-28.csv.gz,2026-09-14T17:59:05Z
portugal_lisbon_lisbon,2023-03-19,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\portugal_lisbon_lisbon_2023-03-19_reviews.csv.gz,156118233,156118233,True,8f1c0c9c1722a7bfb41a1660dd7ab18461a8e08cd4cfb65a1d520c08e60b127a,1177776,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/portugal_lisbon_lisbon_2023-03-19.csv.gz,2026-09-14T17:59:09Z
japan_kanto_tokyo,2023-03-31,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\japan_kanto_tokyo_2023-03-31_reviews.csv.gz,42281525,42281525,True,655b2a6f184f86cb015c1e01931a3ae2c2cb79fa7b271dbc5b1e7529aaa91d8f,358246,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/japan_kantō_tokyo_2023-03-31.csv.gz,2026-09-14T17:59:11Z
united-states_hi_hawaii,2023-03-16,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\united-states_hi_hawaii_2023-03-16_reviews.csv.gz,137020109,137020109,True,11aa86395c47b79d59fe012674834b6bab3dbe3cd1ab476f1981ca6d8f876b05,1021287,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/united-states_hi_hawaii_2023-03-16.csv.gz,2026-09-14T17:59:14Z
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2023-03-29_reviews.csv.gz,54854667,54854667,True,39c1dd745fa4a1d150baaaeaf7bac6a71422934d6aebbe5c726b7c72af003fb6,502133,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2023-03-29.csv.gz,2026-09-14T17:59:16Z
new-zealand,2023-05-13,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\new-zealand_2023-05-13_reviews.csv.gz,201103782,201103782,True,594210a11d3f0592f510eb868878db7e22597326dabca71773598ccc8e36d4b2,2268314,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/new-zealand_2023-05-13_data_reviews.csv.gz.csv.gz,2026-09-14T17:59:23Z
ireland,2023-03-30,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\ireland_2023-03-30_reviews.csv.gz,121696263,121696263,True,255dc1e4090beaacf901e655fb0c44d0954a9f79042053c8c6b7c785ac533f16,1109814,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/ireland_2023-03-30_data_reviews.csv.gz.csv.gz,2026-09-14T17:59:26Z
italy_sicilia_sicily,2023-03-31,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\italy_sicilia_sicily_2023-03-31_reviews.csv.gz,116436206,116436206,True,ba7f28a6be6257fbe25c93acaf43475881c24752c2acac3cdffcc1ffe03a2e91,785317,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/italy_sicilia_sicily_2023-03-31.csv.gz,2026-09-14T17:59:30Z
spain_comunidad-de-madrid_madrid,2023-03-15,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\spain_comunidad-de-madrid_madrid_2023-03-15_reviews.csv.gz,101801200,101801200,True,fa963b183cf7c6500a75aa22e1fa9f12cbc20ec12b95c855e307ec3addc7bc7b,908274,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/spain_comunidad-de-madrid_madrid_2023-03-15.csv.gz,2026-09-14T17:59:33Z
italy_toscana_florence,2023-03-19,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\italy_toscana_florence_2023-03-19_reviews.csv.gz,91912670,91912670,True,00bec0199feb7eb78f5c140d0763ee7e2b9635aa4169571bf58caaf6c84304fb,666391,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/italy_toscana_florence_2023-03-19.csv.gz,2026-09-14T17:59:36Z
united-states_ca_san-diego,2023-03-24,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\united-states_ca_san-diego_2023-03-24_reviews.csv.gz,80717395,80717395,True,7b29197c419abbe355d9baa8f37b412b83800dbd5e53e570b1ceb4ec636aea54,734982,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/united-states_ca_san-diego_2023-03-24.csv.gz,2026-09-14T17:59:38Z
portugal_norte_porto,2023-03-17,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\portugal_norte_porto_2023-03-17_reviews.csv.gz,79177248,79177248,True,11a5f718e3b257d47cea9a0858b53e5fc0f1db605f0777b2bf3e9b1bbe5b46d3,637398,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/portugal_norte_porto_2023-03-17.csv.gz,2026-09-14T17:59:41Z
greece_south-aegean_south-aegean,2023-03-19,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\greece_south-aegean_south-aegean_2023-03-19_reviews.csv.gz,78323838,78323838,True,78cde5813e9e958959cd14b5dc60a22f4169104d52d8403976fe4ed2342f3db9,502809,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/greece_south-aegean_south-aegean_2023-03-19.csv.gz,2026-09-14T17:59:43Z
italy_veneto_venice,2023-03-07,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\italy_veneto_venice_2023-03-07_reviews.csv.gz,77710831,77710831,True,7141b90f15e51289ec838337158868e9ad91ccc41b0cc43e67c0e1fa01a23648,561635,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/italy_veneto_venice_2023-03-07.csv.gz,2026-09-14T17:59:45Z
italy_lombardy_milan,2023-03-19,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\italy_lombardy_milan_2023-03-19_reviews.csv.gz,72178108,72178108,True,8ebd0183b7873ea510b31dd9f0229e44779d4eaa194282f975b522e28a63eaac,611805,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/italy_lombardy_milan_2023-03-19.csv.gz,2026-09-14T17:59:48Z
greece_attica_athens,2023-03-27,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\greece_attica_athens_2023-03-27_reviews.csv.gz,67419367,67419367,True,940e1dd436bb52f046600eed54f9ba6fdcb3f1f3239f5ccc1077fb12c10ff3a1,538456,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/greece_attica_athens_2023-03-27.csv.gz,2026-09-14T17:59:50Z
czech-republic_prague_prague,2023-03-23,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\czech-republic_prague_prague_2023-03-23_reviews.csv.gz,58933472,58933472,True,84033311dd501e1c93e5163a1e688a8027d29a7b29abf34a136352faceca402b,488261,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/czech-republic_prague_prague_2023-03-23.csv.gz,2026-09-14T17:59:51Z
turkey_marmara_istanbul,2023-03-31,C:\Users\krish\abnb_ia_capture\ia_reviews_vintage2023\turkey_marmara_istanbul_2023-03-31_reviews.csv.gz,57733613,57733613,True,d4e68a3c09eef3ed3b8faddd7a3c5531e91161e91c4691cbf7e0090876c18af1,416941,https://huggingface.co/datasets/alujjdnd/Airbnb-Mar-2022-2023/resolve/main/raw_dl/turkey_marmara_istanbul_2023-03-31.csv.gz,2026-09-14T17:59:53Z
