ymi,n_markets,reviews,ym
24192,121,62551.0,2016-01
24193,120,64590.0,2016-02
24194,122,79225.0,2016-03
24195,122,95333.0,2016-04
24196,122,118588.0,2016-05
24197,123,119175.0,2016-06
24198,123,142320.0,2016-07
24199,123,151084.0,2016-08
24200,123,151356.0,2016-09
24201,123,153181.0,2016-10
24202,123,114355.0,2016-11
24203,123,104781.0,2016-12
24204,123,120764.0,2017-01
24205,123,112350.0,2017-02
24206,123,143335.0,2017-03
24207,123,186252.0,2017-04
24208,123,200659.0,2017-05
24209,123,204639.0,2017-06
24210,123,239747.0,2017-07
24211,123,238643.0,2017-08
24212,123,235971.0,2017-09
24213,123,227951.0,2017-10
24214,123,168002.0,2017-11
24215,123,164963.0,2017-12
24216,123,184103.0,2018-01
24217,123,176997.0,2018-02
24218,123,225501.0,2018-03
24219,123,266096.0,2018-04
24220,123,293370.0,2018-05
24221,123,300429.0,2018-06
24222,123,346561.0,2018-07
24223,123,350547.0,2018-08
24224,123,351757.0,2018-09
24225,123,344402.0,2018-10
24226,123,275146.0,2018-11
24227,123,252984.0,2018-12
24228,123,273421.0,2019-01
24229,123,261572.0,2019-02
24230,123,339380.0,2019-03
24231,123,388144.0,2019-04
24232,123,406893.0,2019-05
24233,123,441308.0,2019-06
24234,123,464488.0,2019-07
24235,123,471420.0,2019-08
24236,123,472948.0,2019-09
24237,123,454626.0,2019-10
24238,123,365207.0,2019-11
24239,123,339829.0,2019-12
24240,123,359013.0,2020-01
24241,123,345058.0,2020-02
24242,123,219560.0,2020-03
24243,123,26540.0,2020-04
24244,122,48691.0,2020-05
24245,123,107672.0,2020-06
24246,123,216294.0,2020-07
24247,123,282951.0,2020-08
24248,123,226241.0,2020-09
24249,123,206230.0,2020-10
24250,123,151474.0,2020-11
24251,123,157710.0,2020-12
24252,123,177939.0,2021-01
24253,123,153526.0,2021-02
24254,123,189035.0,2021-03
24255,123,215427.0,2021-04
24256,122,268798.0,2021-05
24257,123,316621.0,2021-06
24258,123,437789.0,2021-07
24259,123,502283.0,2021-08
24260,123,428010.0,2021-09
24261,123,453087.0,2021-10
24262,123,407924.0,2021-11
24263,123,376492.0,2021-12
24264,123,376344.0,2022-01
24265,123,364370.0,2022-02
24266,123,476228.0,2022-03
24267,123,595811.0,2022-04
24268,123,663774.0,2022-05
24269,123,685820.0,2022-06
24270,123,783857.0,2022-07
24271,123,777064.0,2022-08
24272,123,756032.0,2022-09
24273,123,753098.0,2022-10
24274,123,604729.0,2022-11
24275,123,520519.0,2022-12
24276,123,584727.0,2023-01
24277,123,560827.0,2023-02
24278,123,699482.0,2023-03
24279,123,828779.0,2023-04
24280,123,894943.0,2023-05
24281,123,903937.0,2023-06
24282,123,1013275.0,2023-07
24283,123,982618.0,2023-08
24284,123,967851.0,2023-09
24285,123,983248.0,2023-10
24286,123,772097.0,2023-11
24287,123,703531.0,2023-12
24288,123,721475.0,2024-01
24289,123,728167.0,2024-02
24290,123,906613.0,2024-03
24291,123,994728.0,2024-04
24292,123,1099154.0,2024-05
24293,123,1141067.0,2024-06
24294,123,1195798.0,2024-07
24295,123,1213060.0,2024-08
24296,123,1221396.0,2024-09
24297,123,1179659.0,2024-10
24298,123,972964.0,2024-11
24299,123,922270.0,2024-12
24300,123,920748.0,2025-01
24301,123,863234.0,2025-02
24302,123,1093517.0,2025-03
24303,123,1241115.0,2025-04
24304,123,1320865.0,2025-05
24305,123,1416078.0,2025-06
24306,123,1450858.0,2025-07
24307,123,1502781.0,2025-08
24308,123,1460179.0,2025-09
24309,123,1479572.0,2025-10
24310,123,1266414.0,2025-11
24311,123,1161129.0,2025-12
24312,123,1164066.0,2026-01
24313,123,1154200.0,2026-02
24314,123,1400472.0,2026-03
24315,123,1544884.0,2026-04
24316,123,1751587.0,2026-05
24317,123,1686864.0,2026-06
24318,123,1849474.0,2026-07
