ymi,measure,n_markets,n_regions,w_equal,w_reviews,w_median,w_nights,regions_weight_covered,reviews,reviews_lag12,ym
24192,yoy_all,121,4,1.8278937803896365,1.1835096170628687,1.4237288135593222,1.802840986871703,100.1,62551.0,28647.0,2016-01
24193,yoy_all,120,4,1.7470210534486725,1.3958603805779144,1.51,1.7634034658993027,100.1,64590.0,26959.0,2016-02
24194,yoy_all,122,4,1.4975723454043874,1.1506324990498942,1.3225995807127884,1.4961487720253037,100.1,79225.0,36838.0,2016-03
24195,yoy_all,122,4,1.3076111563840591,0.9524648247895631,1.0789473684210527,1.3726389755876065,100.1,95333.0,48827.0,2016-04
24196,yoy_all,122,4,1.3526893738352064,0.9163879058192337,1.099349658479872,1.3867016191324897,100.1,118588.0,61881.0,2016-05
24197,yoy_all,123,4,1.1041957093373342,0.8010699874563618,0.9359795134443021,1.1039048060925323,100.1,119175.0,66169.0,2016-06
24198,yoy_all,123,4,1.2166424277280725,0.878216802597197,1.0408163265306123,1.2319862952387828,100.1,142320.0,75774.0,2016-07
24199,yoy_all,123,4,1.0568274919227683,0.8305446174350275,0.9095378564405112,1.1065695352951437,100.1,151084.0,82535.0,2016-08
24200,yoy_all,123,4,1.1411678262815248,0.811583621587332,1.0235934664246824,1.1736604614285167,100.1,151356.0,83549.0,2016-09
24201,yoy_all,123,4,1.1655623681814418,0.8254740028362708,0.9653579676674364,1.1844089496575658,100.1,153181.0,83913.0,2016-10
24202,yoy_all,123,4,1.175781014470172,0.9936714377865723,1.0921704658077305,1.1747751588779693,100.1,114355.0,57359.0,2016-11
24203,yoy_all,123,4,1.02602991172731,0.8354295123318385,0.9093198992443325,1.0050347713875545,100.1,104781.0,57088.0,2016-12
24204,yoy_all,123,4,1.1600560620257223,0.9303091333397271,0.9222222222222223,1.1399039149279666,100.1,120764.0,62562.0,2017-01
24205,yoy_all,123,4,0.9729839595154731,0.7380609829674665,0.7516778523489933,0.9601409692398905,100.1,112350.0,64641.0,2017-02
24206,yoy_all,123,4,0.972031176580858,0.8090087588661434,0.8166969147005445,0.9732708467577277,100.1,143335.0,79234.0,2017-03
24207,yoy_all,123,4,1.179084427094388,0.9534122730657493,1.0711462450592886,1.1701802767389382,100.1,186252.0,95347.0,2017-04
24208,yoy_all,123,4,0.8694991821414567,0.6919684641005102,0.7916666666666667,0.8772067002202119,100.1,200659.0,118595.0,2017-05
24209,yoy_all,123,4,0.8844396329207067,0.7171302706104468,0.7985495568090251,0.9122192049709457,100.1,204639.0,119175.0,2017-06
24210,yoy_all,123,4,0.8517407906636334,0.6845629567172569,0.7518796992481203,0.8724258737057662,100.1,239747.0,142320.0,2017-07
24211,yoy_all,123,4,0.7229471960043923,0.5795385348547828,0.6581691772885283,0.7386279560230337,100.1,238643.0,151084.0,2017-08
24212,yoy_all,123,4,0.6601017121411155,0.5590462221517483,0.6141304347826086,0.7052423234668915,100.1,235971.0,151356.0,2017-09
24213,yoy_all,123,4,0.6232056949202882,0.48811536678830936,0.5819277108433736,0.6521871107358084,100.1,227951.0,153181.0,2017-10
24214,yoy_all,123,4,0.6740928651997277,0.46912684185212705,0.5817378497790868,0.6704932662647943,100.1,168002.0,114355.0,2017-11
24215,yoy_all,123,4,0.6762627876293328,0.5743598553172808,0.6448311156601843,0.6981987149850121,100.1,164963.0,104781.0,2017-12
24216,yoy_all,123,4,0.6388505383610477,0.524485773906131,0.5691202872531418,0.654125363700108,100.1,184103.0,120764.0,2018-01
24217,yoy_all,123,4,0.6781746519595379,0.5754072096128171,0.6170212765957446,0.7047544547576077,100.1,176997.0,112350.0,2018-02
