market_key,vintage_early,vintage_late,gap_days,ymi,months_before_early_dump,n_reviews_early,n_reviews_late,ratio_late_over_early,ym
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24180,98,1022,753,0.7367906066536204,2015-01
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24181,97,732,519,0.7090163934426229,2015-02
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24182,96,916,657,0.7172489082969432,2015-03
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24183,95,851,599,0.7038777908343126,2015-04
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24184,94,797,585,0.7340025094102886,2015-05
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24185,93,704,485,0.6889204545454546,2015-06
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24186,92,957,680,0.7105538140020898,2015-07
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24187,91,972,673,0.6923868312757202,2015-08
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24188,90,934,665,0.7119914346895075,2015-09
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24189,89,1100,776,0.7054545454545454,2015-10
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24190,88,1319,930,0.7050796057619408,2015-11
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24191,87,1470,1053,0.7163265306122449,2015-12
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24192,86,1429,1023,0.7158852344296711,2016-01
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24193,85,1260,859,0.6817460317460318,2016-02
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24194,84,1506,1049,0.6965471447543161,2016-03
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24195,83,1336,941,0.7043413173652695,2016-04
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24196,82,1183,821,0.6939983093829247,2016-05
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24197,81,1076,747,0.6942379182156134,2016-06
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24198,80,1644,1205,0.7329683698296837,2016-07
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24199,79,1592,1134,0.7123115577889447,2016-08
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24200,78,1524,1077,0.7066929133858267,2016-09
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24201,77,1948,1411,0.7243326488706365,2016-10
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24202,76,2237,1577,0.7049620026821636,2016-11
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24203,75,2092,1495,0.7146271510516252,2016-12
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24204,74,2138,1495,0.6992516370439663,2017-01
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2023-03-29,2025-08-29,884,24205,73,1734,1238,0.7139561707035755,2017-02
