gap_id,applies_to,current_status,exact_additional_inputs,prohibited_shortcut,evidence_reference
L4_FORMAT,all model-application candidates,unresolved_for_direct_model_use,New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified.,Do not pass the research CSV/bundle.json directly to the existing L4 loader or rename metrics to force acceptance.,committed L4 l3_contract.py:load_bundle/apply_row; frozen L3 bundle.json
FX_BASELINE,cohort_fx,unresolved_for_direct_model_use,"Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant.",Do not attach an inherited K0 baseline or its dollar delta to a different operating scenario.,committed L4 l3_contract.py:apply_row; original baseline_being_replaced and baseline_value_usd
FX_HEDGE,cohort_fx,unresolved_for_direct_model_use,Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h.,Historical hedge disclosures do not identify a future scenario hedge contribution; missing h is not zero and hedge dollars are not multiplied.,committed L4 l3_contract.py:apply_row; original embedded_hedges
FX_EXPOSURE,cohort_fx,unresolved_for_direct_model_use,Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields.,"Do not use RNPL stock, funds receivable, total future bookings or USD contribution weights as measured recognition cohort shares.",committed L4 l3_contract.py:timing_identity; L3_COHORT_FX_ACCOUNTING.md
FX_ROOT_QUOTES,cohort_fx,unresolved_for_direct_model_use,"Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data.",The current L4 contract validates row information_date and supplied ratios but does not require root quote metadata. Parent or new contract must validate it; do not silently relabel scenario future rates as observations.,committed L4 l3_contract.py:timing_identity/apply_row; adapter.py:dated
FX_ROUTE,cohort_fx,unresolved_for_direct_model_use,"Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.","Do not sum equivalent routes, add baseline B, multiply by T/R0 or apply a second gross FX/fee/hedge overlay.",original treatment and embedded_fx; L3_COHORT_FX_ACCOUNTING.md
ADR_ADOPTION,adr_hotel ADR scenarios/components,unresolved_for_direct_model_use,"Explicit chosen ADR scenario for the same quarter and units, component/mix assumptions and mean-reversion rule, benchmark being replaced, and separate acknowledgement of retrospective evidence limitations.",Implementation or descriptive acceptance does not make residual pricing or imposed K an identified causal estimate.,original limitations; L3 ADR/hotel audit; committed L4 README
ADR_FX_FEE,adr_hotel ADR scenarios/components,unresolved_for_direct_model_use,"State ex-FX versus reported ADR, prior-year ADR base for YoY conversion, selected booking FX translation and K inclusion; reconcile with the L4 operating ADR and later FX timing route.","Do not add K or components already in total ADR, add a take-rate fee uplift, or translate reported ADR twice.",original metric/treatment/embedded_fx; committed L4 fee_mechanics_comparison description
ADR_NIGHTS_LAGS,adr_hotel ADR and GBV identities,unresolved_for_direct_model_use,"Matching nights in millions and quarter; explicit USD/night to USDm GBV bridge; next revenue target through the fixed lag kernel, and separately justified guide cushion.",GBV identity is not same-quarter revenue. Q3 operating GBV enters Q4/Q1 lagged revenue; do not apply same-quarter take rate.,original gbv_identity_comparison limitations; committed L4 adapter.py:forecast
FEE_CAPTURE,fee_panel,unresolved_for_direct_model_use,"Eligible captured listing-stay panel on all six scheduled waves (Sep14/16/18 and Oct12/14/16), with valid capture timestamps, currency, nightly price, listing/stay identity, city and residence metadata; complete triplets and controls under prereg gates.",No existing Sep14 wave at inventory time; dryrun is not a wave. Missing theta is not zero. Do not launch or wait for a collector in this task.,existing_data_inventory.json; fee_panel_v1/run.py
FEE_IDENTIFICATION,fee_panel,unresolved_for_direct_model_use,"Pass prereg coverage and valid matched design; neutral-reprice normalization, residence/fee eligibility, outcome denominator and timing; explicit replacement of overlapping ADR K mechanics.",Fee mechanics are not an empirical pass-through estimate; do not combine theta with already embedded repricing.,fee panel prereg; SC-B accounting supplement when accepted
HOTEL_COMPLETENESS,incomplete hotel comparator rows,unresolved_for_direct_model_use,Complete quarter of official comparable price-index observations with original release dates and source vintages; historical reconstruction if making PIT claims.,Do not extrapolate one month into a full quarter or fill blanks with zero.,original hotel limitations; no new content in bounded local inventory
HOTEL_MAPPING,hotel comparators,unresolved_for_direct_model_use,"Material new dated primary evidence and a separately preregistered ABNB mapping that passes required windows, before any production re-evaluation.","US hotel/category price indices are comparators, not Airbnb pricing or proof of competitive pressure; existing production eligibility remains 0/13.",original hotel research notes and frozen comparator outputs
NCLH_NO_TRANSFER,nclh,unresolved_for_direct_model_use,No current ABNB application route. Only materially new issuer-relevant PIT evidence and a new authorized preregistered study could revisit the failed transferability claim; matched GAAP guide and consensus needed for the unavailable guide comparison.,Do not reuse failed NCLH coefficients as an ABNB adjustment or reinterpret missing guide scores as success.,L3_NCLH_RESULTS_v1.md; NCLH results_v4
CONVERSION_POLICY,conversion,unresolved_for_direct_model_use,Preserve fixed 2/3-1/3 operational estimator. Any later adoption requires a new authorized specification/validation decision and joint weight plus four lambdas with exact GBV/revenue definition and information set.,"Full22 descriptive w and six-year-block sensitivity bounds cannot replace the fixed operational model; free/fixed PIT FAIL remains, W2 is nested in W1.",conversion accepted_validation_spec.json and acceptance receipt; QVS context
GUIDE_EXPECTATIONS,all guide-expectations claims,unresolved_for_direct_model_use,"Dated vendor/source observations specifically forecasting management's guide, or a separately justified explicit revenue-consensus-to-guide model with its own cushion assumptions.",Captured revenue consensus is not expected management guidance; guide-minus-revenue-consensus arithmetic does not measure a guide surprise.,committed L4 consensus_comparison.csv and run.py; QVS basis note
