quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_ref,treatment,baseline_being_replaced,baseline_value_usd,embedded_fx,embedded_hedges,adoption_status,reference_basis,source_reference,package,source_period,source_information_date,package_input_file,bundle_payload_reference,baseline_replaced,limitations,lower_bound,upper_bound,replacement_vs_incremental,consumption_status,l4_may_consume_now,direct_l4_model_application,not_consume_reason,exact_additional_inputs,gap_ids,metric_definition,bounds_meaning,parent_baseline_contract,dependency_contract,same_basis_expectations_rule,classification_information_date,model_adoption,original_row_sha256,original_row_number
2026Q3,reference_normalized_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,descriptive_only,Display the reference/baseline identity and accounting checks only.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,"R0: inherited lambda times fixed-reference-currency weighted exposure; diagnostic denominator, not new revenue.",No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,df66b2d347dc41c54f4be9c48c5217f733481d4bdc449d23081b174c577ff081,1
2026Q3,ordinary_booking_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,descriptive_only,Display the reference/baseline identity and accounting checks only.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,B: ordinary booking-FX kernel identity tied to the named inherited reported-USD baseline.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,917c440dec96262b738a8b5ac81008bc74454188133d54165128a13fecc56bdd,2
2026Q3,rnpl_retimed_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,usable_as_conditional_scenario,Display the existing conditional arithmetic with its exact baseline and all assumed exposures/timing labels.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T: cohort retiming scenario level; conditional alternative to the same B baseline.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,cb650ab641638a0c2285d0401ac1712c9ec84f4996525db6df5101988cb5ad4a,3
2026Q3,rnpl_fx_incremental_replacement,fx0.95_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,usable_as_conditional_scenario,Display the existing conditional arithmetic with its exact baseline and all assumed exposures/timing labels.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T-B: incremental difference representing replacement of embedded booking FX; not an independent revenue driver.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,e06a300d875dad28155f56636569826852d134ca94b0483993dfe7e52fbcdba7,4
2026Q3,rnpl_fx_replacement_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,multiply_only_matching_ordinary_booking_baseline,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,usable_as_conditional_scenario,Display the existing conditional arithmetic with its exact baseline and all assumed exposures/timing labels.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T/B: ratio of retimed to ordinary-booking kernel; one alternative representation of the same replacement.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,6a0ffd89fbda0cd49f3b6a495c155a503b46282ac431867780dcbc30530cecd4,5
2026Q3,rnpl_fx_level_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1.01587750752,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,reference_level_only_never_multiply_reported_kernel,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,descriptive_only,Display the reference/baseline identity and accounting checks only.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T/R0: reference-level factor; never a multiplier on the reported-USD kernel.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,969c0483983b2f31def39e767242c7c16c4ef55e510c6e19653f4cfe3a97d9ba,6
2026Q3,reference_normalized_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,descriptive_only,Display the reference/baseline identity and accounting checks only.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,"R0: inherited lambda times fixed-reference-currency weighted exposure; diagnostic denominator, not new revenue.",No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,28a4d696bdde0af43df379f5976bade47e23e70a2ef2cd98f0f354e88e0904af,7
2026Q3,ordinary_booking_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,descriptive_only,Display the reference/baseline identity and accounting checks only.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,B: ordinary booking-FX kernel identity tied to the named inherited reported-USD baseline.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,1106e1f9742ed223784c1bb2fedee537fd324dc9c60e02ccac8157cca612f56f,8
2026Q3,rnpl_retimed_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,usable_as_conditional_scenario,Display the existing conditional arithmetic with its exact baseline and all assumed exposures/timing labels.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T: cohort retiming scenario level; conditional alternative to the same B baseline.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,15043a45f7fc3d3e73a93e116d3669e36baa964a6210f911980b7a51a61e25fa,9
2026Q3,rnpl_fx_incremental_replacement,fx1.00_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,,usable_as_conditional_scenario,Display the existing conditional arithmetic with its exact baseline and all assumed exposures/timing labels.,blocked,"No empirical cohort identification, matched L4 baseline or reconciled forward hedge; existing JSON interface does not accept this metric/manifest.","New immutable accepted integration version translating appropriate rows to L4 JSON revenue_adapter schema; actual source commit membership and payload hashes verified. | Exact L4 quarter/scenario/revenue_musd, lag-1/lag-2 cohort_gbv_musd, matching lambda policy and reference exposures reconstructing each USD GBV; explicit USD to USDm division by 1000000 where relevant. | Verified baseline hedge contribution h in USDm for each target with hedge_source_ref and hedge_evidence_status=verified_baseline_reconciliation; lambda/baseline reconciliation that permits (R-h)*T/B+h. | Surviving recognized-revenue reference exposures by booking quarter/currency; u on that same cohort denominator; full p recognition allocation summing to one; observed/assumed status and all source/vintage fields. | Per-currency booking, recognition and fixed-reference rate quote/source cutoffs; USD-per-currency direction; reference identifier; exact averaging windows/coverage; observed-versus-scenario flags, input checksums and transformation chain. Preserve quote<=source<=as-of for observed data. | Choose exactly one compatible representation: replacement level T, incremental T-B, or multiplier T/B. Reconcile baseline hedge and distinguish reported USD GBV booking FX from timing replacement.",L4_FORMAT;FX_BASELINE;FX_HEDGE;FX_EXPOSURE;FX_ROOT_QUOTES;FX_ROUTE,T-B: incremental difference representing replacement of embedded booking FX; not an independent revenue driver.,No bounds supplied; absence is not zero or a probability interval.,inherited_K0_Q3_2026_reported_USD_kernel,"Same quarter/scenario R0,B,T cohort construction and selected FX/u/p assumptions; T, T-B and T/B are mutually exclusive representations.",Revenue consensus is not expected management guide; see GUIDE_EXPECTATIONS.,2026-09-14,none; unchanged fixed operational policy,9b72514d1fa34d9bd5636d78f1f4c1778316078b90d7fd54138a484550091dc8,10
