quarter,scenario,line,ws06,mine,diff,tolerance,is_finding,explanation
3Q26,base,nights_yoy_pct,9.89,9.89,0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,nights_mm,146.813,146.813,0.0,0.5,False,both carry bridge v3 unchanged
3Q26,base,adr_yoy_exfx_pct,3.86,3.86,0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,fx_pts_adr,-0.43,-0.43,0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,adr_yoy_reported_pct,3.43,3.43,-0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,adr_usd,177.1652,177.1652,0.0,0.5,False,both carry bridge v3 unchanged
3Q26,base,gbv_musd,26028.0,26027.963,-0.037,100.0,False,both carry bridge v3 unchanged
3Q26,base,gbv_yoy_pct,13.6592,13.6592,0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,lagged_gbv_musd,27866.7,27866.6667,-0.0333,100.0,False,both carry bridge v3 unchanged
3Q26,base,revenue_musd,4804.0355,4804.0355,0.0,15.0,False,both carry bridge v3 unchanged
3Q26,base,revenue_yoy_pct,17.3147,17.3147,-0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,take_rate_pct,18.4572,18.4572,0.0,0.3,False,both carry bridge v3 unchanged
3Q26,base,fx_pts_revenue,3.0,3.0,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,nights_yoy_pct,8.12,8.12,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,nights_mm,131.7983,131.7983,-0.0,0.5,False,both carry bridge v3 unchanged
4Q26,base,adr_yoy_exfx_pct,4.07,4.07,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,fx_pts_adr,0.15,0.15,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,adr_yoy_reported_pct,4.22,4.22,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,adr_usd,174.5789,174.5789,0.0,0.5,False,both carry bridge v3 unchanged
4Q26,base,gbv_musd,22987.3,22987.2635,-0.0365,100.0,False,both carry bridge v3 unchanged
4Q26,base,gbv_yoy_pct,12.6827,12.6827,-0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,lagged_gbv_musd,26418.6,26418.642,0.042,100.0,False,both carry bridge v3 unchanged
4Q26,base,revenue_musd,3178.1078,3178.1078,0.0,15.0,False,both carry bridge v3 unchanged
4Q26,base,revenue_yoy_pct,14.4027,14.4027,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,take_rate_pct,13.8255,13.8255,0.0,0.3,False,both carry bridge v3 unchanged
4Q26,base,fx_pts_revenue,0.98,0.98,0.0,0.3,False,both carry bridge v3 unchanged
1Q27,base,nights_yoy_pct,8.206,6.972,-1.234,0.3,True,"WS06 adds a Middle East base effect +1.0 (judgement, sourced qualitatively to the 1Q26 call) and phases WS10's ex-NA rate from its 4Q26 value (+0.1); bundle sized 1.65 (s=0.288) vs 1.75 (s=0.266) and prior-year share weights (+0.1); 1Q27 RNPL fraction 0.40 vs 0.42"
1Q27,base,nights_mm,169.0178,167.0903,-1.9275,0.5,True,propagation of nights_yoy_pct
1Q27,base,adr_yoy_exfx_pct,3.478,3.4833,0.0053,0.3,False,inside tolerance
1Q27,base,fx_pts_adr,-0.301,-0.3331,-0.0321,0.3,False,inside tolerance
1Q27,base,adr_yoy_reported_pct,3.176,3.1501,-0.0259,0.3,False,inside tolerance
1Q27,base,adr_usd,192.7534,192.7051,-0.0483,0.5,False,inside tolerance
1Q27,base,gbv_musd,32599.6,32219.8125,-379.7875,100.0,True,propagation of the nights and ADR differences
1Q27,base,gbv_yoy_pct,11.6426,10.3418,-1.3008,0.3,True,propagation of the nights and ADR differences
1Q27,base,lagged_gbv_musd,24000.8,24000.83,0.03,100.0,False,inside tolerance
1Q27,base,revenue_musd,3053.1293,3046.6079,-6.5214,15.0,False,inside tolerance
1Q27,base,revenue_yoy_pct,14.0078,13.7643,-0.2435,0.3,False,inside tolerance
1Q27,base,take_rate_pct,9.3655,9.4557,0.0902,0.3,False,inside tolerance
1Q27,base,fx_pts_revenue,0.93,0.93,0.0,0.3,False,inside tolerance
2Q27,base,nights_yoy_pct,5.934,6.416,0.482,0.3,True,"WS06 adds a World Cup booking lap -0.5 (judgement, unsized by Airbnb); ex-NA phasing +0.05"
2Q27,base,nights_mm,157.1001,157.8149,0.7148,0.5,True,propagation of nights_yoy_pct
2Q27,base,adr_yoy_exfx_pct,3.087,2.9833,-0.1037,0.3,False,inside tolerance
2Q27,base,fx_pts_adr,-0.193,-0.1791,0.0139,0.3,False,inside tolerance
2Q27,base,adr_yoy_reported_pct,2.894,2.8041,-0.0899,0.3,False,inside tolerance
2Q27,base,adr_usd,189.0471,188.8821,-0.165,0.5,False,inside tolerance
2Q27,base,gbv_musd,29647.9,29756.8163,108.9163,100.0,True,propagation of the nights and ADR differences
2Q27,base,gbv_yoy_pct,8.9997,9.4001,0.4004,0.3,True,propagation of the nights and ADR differences
