quarter,scenario,nights_yoy,nights_mm,adr_exfx,fx_adr,adr_rep,adr_usd,gbv,rev,lag,fx_rev,tr,rev_same_q_tr,rev_yoy,nights_part_ws10_total,nights_part_na_delta,nights_part_exna_fee_cancel_lap,nights_part_exna_rnpl_lap,nights_part_scenario_product,nights_part_na_yoy
3Q26,base,9.89,146.81304,3.86,-0.43,3.4299999999999997,177.165247,26027.962983,4804.035502546225,27866.666666666668,3.0,18.457208909064263,4653.7997813604,17.314664286843097,,,,,,
4Q26,base,8.12,131.79828,4.07,0.15,4.220000000000001,174.578922,22987.263456,3178.107848266214,26418.641988666663,0.98,13.825516266211684,3130.8652827071996,14.402730319158174,,,,,,
1Q27,base,6.9720467957,167.09033709488338,3.4832580411972858,-0.333110875130034,3.150147166067252,192.70510493564683,32219.812519325114,3046.607864499669,24000.829964999997,0.93,9.45569705805192,2954.556808022113,13.764296657941344,9.15,-0.9815400000000001,-0.788607,-0.40780620430000003,0.0,2.31
2Q27,base,6.4159999999999995,157.814928,2.9832580411972858,-0.17911201064157722,2.8041460305557084,188.88205750193998,29756.81633084631,3996.454782267662,29142.296164883406,0.62,13.430384278458188,3945.753845470221,10.766485096110356,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q27,base,6.4159999999999995,156.2325646464,2.9832580411972858,0.07479552862178557,3.058053569819071,182.58305516036228,28544.934230264065,5271.420184455586,30577.815060339242,0.31,18.46709521883113,5268.5981438348335,9.729001412700612,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
4Q27,base,6.4159999999999995,140.2544576448,2.608758041197286,-0.28435,2.324408041197286,178.63684850120356,25030.725909621706,3482.4920303091762,28948.894930458144,0.38,13.912868699387264,3460.6270821856115,9.577528409207892,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q26,bear,8.5,144.956,2.46,-0.43,2.03,174.76718699999998,25350.88395,4804.035502546224,27866.666666666664,3.0,18.95016959574786,4532.73805026,17.314664286843072,,,,,,
4Q26,bear,8.0,131.65200000000002,2.62,0.15,2.77,172.150027,22642.2864,3123.8070458354423,25967.255966666664,0.98,13.796341017201524,3083.8794076799995,12.448057805451484,,,,,,
1Q27,bear,5.9720467957,165.5283370948834,3.3709264470756635,-0.333110875130034,3.0378155719456297,192.4952470515088,31883.854383469432,2988.76522688169,23545.15225,0.93,9.373914429966948,2923.749446964147,11.604377404095967,9.15,-0.9815400000000001,-0.788607,-0.40780620430000003,-1.0,2.31
2Q27,bear,5.4159999999999995,156.331928,2.758594852954041,-0.17911201064157722,2.579482842312464,188.46928382618069,29412.77103619017,3949.970591047282,28803.331722312956,0.62,13.429440518158405,3900.1334393988163,9.478120594436866,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,-1.0,2.31
3Q27,bear,5.4159999999999995,152.80681696,2.1462632588324184,0.07479552862178557,2.221058787454204,178.64886896445,27317.44108361261,5212.573696034007,30236.465485283257,0.31,19.08148600038883,5176.701414563092,8.50406274623181,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,-1.0,2.31
4Q27,bear,6.4159999999999995,140.09879232000003,1.1594316647107965,-0.28435,0.8750816647107965,173.65648032207167,24305.866558133683,3370.252798367658,28015.884401138464,0.38,13.866005518901533,3353.3202375460655,7.889275775236171,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q26,bull,11.0,148.29600000000002,5.27,-0.43,4.84,179.580436,26649.279600000005,4804.035502546224,27866.666666666664,3.0,18.026886935233414,4764.891192480001,17.314664286843072,,,,,,
4Q26,bull,8.86,132.70034,5.51,0.15,5.66,176.991066,23464.381104,3227.9365820215426,26832.85306666667,0.98,13.756751425552292,3195.8487063648,16.196421239076408,,,,,,
1Q27,bull,8.472046795699999,169.43333709488337,3.983258041197286,-0.333110875130034,3.650147166067252,193.6392049356468,32829.97935223421,3113.2734597599615,24526.013936000003,0.93,9.483019853157755,3010.509106599877,16.25367661538317,9.15,-0.3577700000000002,-0.788607,-0.40780620430000003,0.87623,4.654999999999999
2Q27,bull,7.915999999999999,160.039428,3.983258041197286,-0.17911201064157722,3.804146030555709,190.71935750193998,30469.788766650978,4074.048615670418,29708.11326948947,0.62,13.370780634125834,4040.2939904579193,12.91709023476768,9.15,-0.3577700000000002,-0.788607,-0.9638530000000001,0.87623,4.654999999999999
3Q27,bull,7.915999999999999,160.03511136,3.983258041197286,0.07479552862178557,4.058053569819072,186.86790629379465,29925.88556733058,5388.42440593473,31256.518961845384,0.31,18.00589791674253,5394.705555590019,12.164541729110233,9.15,-0.3577700000000002,-0.788607,-0.9638530000000001,0.87623,4.654999999999999
4Q27,bull,7.915999999999999,143.2048989144,3.6087580411972864,-0.28435,3.3244080411972865,182.8749712303048,26163.622182721596,3621.83212032813,30107.18663377071,0.38,13.843007268007335,3599.264467597669,12.202703748904021,9.15,-0.3577700000000002,-0.788607,-0.9638530000000001,0.87623,4.654999999999999
3Q26,base_fx_usd_strong,9.89,146.81304,3.86,-0.43,3.4299999999999997,177.165247,26027.962983,4804.035502546225,27866.666666666668,3.0,18.457208909064263,4653.7997813604,17.314664286843097,,,,,,
4Q26,base_fx_usd_strong,8.12,131.79828,4.07,0.15,4.220000000000001,174.578922,22987.263456,3178.107848266214,26418.641988666663,0.98,13.825516266211684,3130.8652827071996,14.402730319158174,,,,,,
1Q27,base_fx_usd_strong,6.9720467957,167.09033709488338,3.4832580411972858,-2.8114995260437254,0.6717585151535603,188.07497925800985,31445.667063634177,3046.607864499669,24000.829964999997,-1.01,9.688482226611644,2883.567669735254,13.764296657941344,9.15,-0.9815400000000001,-0.788607,-0.40780620430000003,0.0,2.31
2Q27,base_fx_usd_strong,6.4159999999999995,157.814928,2.9832580411972858,-2.664779631851194,0.31847840934609195,184.31514038149157,29037.336059672405,3925.6793638160225,28626.19919442278,-1.92,13.51941981092432,3850.350761512561,8.804860416186866,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q27,base_fx_usd_strong,6.4159999999999995,156.2325646464,2.9832580411972858,-2.42305341952258,0.5602046216747056,178.1577349016954,27853.08209962382,5144.245067404437,29840.113060992993,-2.22,18.46921302642451,5140.901550740751,7.0817454341853825,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
4Q27,base_fx_usd_strong,6.4159999999999995,140.2544576448,2.608758041197286,-2.7657869943561115,-0.1570289531588256,174.30478254634744,24423.71365852013,3398.155784312722,28247.833419640017,-1.7,13.913345987526704,3376.7045046716653,6.923866229604281,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q26,base_fx_usd_weak,9.89,146.81304,3.86,-0.43,3.4299999999999997,177.165247,26027.962983,4804.035502546225,27866.666666666668,3.0,18.457208909064263,4653.7997813604,17.314664286843097,,,,,,
4Q26,base_fx_usd_weak,8.12,131.79828,4.07,0.15,4.220000000000001,174.578922,22987.263456,3178.107848266214,26418.641988666663,0.98,13.825516266211684,3130.8652827071996,14.402730319158174,,,,,,
1Q27,base_fx_usd_weak,6.9720467957,167.09033709488338,3.4832580411972858,2.1367790157842954,5.620037056981581,197.31935322985296,32991.303316139165,3046.607864499669,24000.829964999997,2.88,9.234578686708884,3025.3025140899613,13.764296657941344,9.15,-0.9815400000000001,-0.788607,-0.40780620430000003,0.0,2.31
2Q27,base_fx_usd_weak,6.4159999999999995,157.814928,2.9832580411972858,2.298057584155871,5.281315625353157,193.43336119846137,30473.836835358223,4066.9875013771075,29656.62336275944,3.16,13.3458334221251,4040.8307643685002,12.721383075862192,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q27,base_fx_usd_weak,6.4159999999999995,156.2325646464,2.9832580411972858,2.5641369278539536,5.54739496905124,186.99330299898517,29234.42994706038,5398.160054039798,31312.99232895187,2.84,18.465077184043402,5395.8598087029795,12.367197352698089,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
4Q27,base_fx_usd_weak,6.4159999999999995,140.2544576448,2.608758041197286,2.1886125079748813,4.797370549172167,182.95411978909027,25635.66512116318,3566.540660230015,29647.56557649299,2.43,13.91241710863864,3544.2630512779706,12.222140673284777,9.15,-0.9815400000000001,-0.788607,-0.9638530000000001,0.0,2.31
3Q26,base_no_exna_lap_2027,9.89,146.81304,3.86,-0.43,3.4299999999999997,177.165247,26027.962983,4804.035502546225,27866.666666666668,3.0,18.457208909064263,4653.7997813604,17.314664286843097,,,,,,
4Q26,base_no_exna_lap_2027,8.12,131.79828,4.07,0.15,4.220000000000001,174.578922,22987.263456,3178.107848266214,26418.641988666663,0.98,13.825516266211684,3130.8652827071996,14.402730319158174,,,,,,
