name,value,unit,source,is_judgement
bridge_v3_3Q26_nights_yoy_pct,9.89,%,h2_bridge_v3_rebased_lines.csv,False
bridge_v3_3Q26_adr_exfx_pct,3.86,%,h2_bridge_v3_rebased_lines.csv,False
bridge_v3_3Q26_fx_adr_pp,-0.43,pp,h2_bridge_fx.csv fx_pts_adr_adopted (ADR v3 midpoint),False
bridge_v3_3Q26_revenue_musd,4804.035502546225,$M,h2_bridge_revenue_dollars.csv (GBV-lag kernel route),False
bridge_v3_3Q26_fx_revenue_pp,3.0,pp,h2_bridge_v3_fx_line.csv,False
bridge_v3_4Q26_nights_yoy_pct,8.12,%,h2_bridge_v3_rebased_lines.csv,False
bridge_v3_4Q26_adr_exfx_pct,4.07,%,h2_bridge_v3_rebased_lines.csv,False
bridge_v3_4Q26_fx_adr_pp,0.15,pp,h2_bridge_fx.csv fx_pts_adr_adopted (ADR v3 midpoint),False
bridge_v3_4Q26_revenue_musd,3178.107848266214,$M,h2_bridge_revenue_dollars.csv (GBV-lag kernel route),False
bridge_v3_4Q26_fx_revenue_pp,0.98,pp,h2_bridge_v3_fx_line.csv,False
lambda_Q1,0.126938,revenue / lagged GBV,"02_kpi_panel_quarterly.csv, mean over n=4 (B3 convention: Q1,Q2 through 2026; Q3,Q4 2023-25)",False
lambda_Q2,0.137136,revenue / lagged GBV,"02_kpi_panel_quarterly.csv, mean over n=4 (B3 convention: Q1,Q2 through 2026; Q3,Q4 2023-25)",False
lambda_Q3,0.172394,revenue / lagged GBV,"02_kpi_panel_quarterly.csv, mean over n=3 (B3 convention: Q1,Q2 through 2026; Q3,Q4 2023-25)",False
lambda_Q4,0.120298,revenue / lagged GBV,"02_kpi_panel_quarterly.csv, mean over n=3 (B3 convention: Q1,Q2 through 2026; Q3,Q4 2023-25)",False
ws10_fy27_total_base_pct,9.15,%,10_regional_forecast.csv TOTAL FY27 base (share-weighted 9.55 - 0.41 calibration),False
ws10_fy27_total_bear_pct,5.82,%,10_regional_forecast.csv (comparison only; demand axis not used in my scenarios),False
ws10_fy27_total_bull_pct,11.48,%,10_regional_forecast.csv (comparison only),False
ws10_fy27_na_base_pct,6.0,%,10_regional_forecast.csv na FY27 base,False
na_share_2027,0.266,share,10_regional_forecast.csv nights_share_est_pct na FY27,False
na_underlying_2027_pts,2.31,pts,"nights_quarterly_na.csv underlying_pts 2027 (choice model, PR #32)",False
na_underlying_2026_pts,3.31,pts,nights_quarterly_na.csv underlying_pts 2026,False
na_product_peak_1h26_pts,4.69,pts of NA nights,PR #32 fit: RNPL 2.40 (3Q25) + t1/cancel 2.29 (1Q26 step),False
mgmt_global_bundle_pts_1q26,3.0,pts of total nights,"1Q26 call (Mertz), via PR #32 GLOBAL_PRODUCT_PTS",False
exna_bundle_pts_of_exna,2.388,pts of ex-NA nights,(3.0 - s x 4.69)/(1-s) at s=0.266 (PR #32 total_path),False
exna_bundle_pts_of_total,1.752,pts of total nights,x (1-s); equals PR #32's -1.75 exna_lap,False
exna_fee_cancel_share_of_exna_bundle,0.45,share,WS-D D1_exna_4q26_gap.csv: pinned 40-50% by the 4Q25 'over 200bp'; midpoint as N memo 2 / bridge v3,True
exna_rnpl_1q27_lap_fraction,0.4231,share of quarter,"WS-D point 2: ex-NA go-lives in the last 5-6 of 13 weeks of 1Q26 (UK 18 Feb, AU/APAC 23 Feb, CA 4 Mar); midpoint 5.5/13",True
bear_tranche2_nights_cost_pts,-1.0,pts of total nights (1Q-3Q27),"PR #32 bear (-1 NA at payout-neutral re-pricing, host_only_fee_history_and_elasticity -0.3 to -1.4%); applied GLOBALLY here because tranche 2 (13 Oct 2026) is global",True
bull_new_lever_share_of_old_bundle,0.5,share,PR #32 bull: a new lever half the old bundle's size for FY27; applied to NA (2.35 NA pts) and ex-NA (1.19 ex-NA pts) here,True
residual_2023_25_mean_pp,2.4,pp,ADR v3 synthesis section 3 / P1 terms lo band (2.398),False
mgmt_bundle_adr_contribution_pp,1.0,pp of ADR,"ADR v3 synthesis: ~1pp of ADR from the bundle in 4Q25 and 1Q26 by the letters' GBV-minus-nights gap (D014, D032)",False
