quarter,scenario,line,value,unit,source
3Q26,base,nights_yoy_pct,9.89,%,bridge v3 carried
3Q26,base,nights_mm,146.81304,mm,bridge v3 carried
3Q26,base,adr_yoy_exfx_pct,3.86,%,bridge v3 carried
3Q26,base,fx_pts_adr,-0.43,pp,bridge v3 carried
3Q26,base,adr_yoy_reported_pct,3.4299999999999997,%,bridge v3 carried
3Q26,base,adr_usd,177.165247,$,bridge v3 carried
3Q26,base,gbv_musd,26027.962983,$M,bridge v3 carried
3Q26,base,gbv_yoy_pct,13.659226999999996,%,bridge v3 carried
3Q26,base,lagged_gbv_musd,27866.666666666668,$M,bridge v3 carried
3Q26,base,revenue_musd,4804.035502546225,$M,bridge v3 carried
3Q26,base,revenue_yoy_pct,17.314664286843097,%,bridge v3 carried
3Q26,base,take_rate_pct,18.457208909064263,%,bridge v3 carried
3Q26,base,fx_pts_revenue,3.0,pp,bridge v3 carried
3Q26,base,revenue_same_q_take_rate_route_musd,4653.7997813604,$M,bridge v3 carried
4Q26,base,nights_yoy_pct,8.12,%,bridge v3 carried
4Q26,base,nights_mm,131.79828,mm,bridge v3 carried
4Q26,base,adr_yoy_exfx_pct,4.07,%,bridge v3 carried
4Q26,base,fx_pts_adr,0.15,pp,bridge v3 carried
4Q26,base,adr_yoy_reported_pct,4.220000000000001,%,bridge v3 carried
4Q26,base,adr_usd,174.578922,$,bridge v3 carried
4Q26,base,gbv_musd,22987.263456,$M,bridge v3 carried
4Q26,base,gbv_yoy_pct,12.682663999999999,%,bridge v3 carried
4Q26,base,lagged_gbv_musd,26418.641988666663,$M,bridge v3 carried
4Q26,base,revenue_musd,3178.107848266214,$M,bridge v3 carried
4Q26,base,revenue_yoy_pct,14.402730319158174,%,bridge v3 carried
4Q26,base,take_rate_pct,13.825516266211684,%,bridge v3 carried
4Q26,base,fx_pts_revenue,0.98,pp,bridge v3 carried
4Q26,base,revenue_same_q_take_rate_route_musd,3130.8652827071996,$M,bridge v3 carried
1Q27,base,nights_yoy_pct,6.9720467957,%,06v build
1Q27,base,nights_mm,167.09033709488338,mm,06v build
1Q27,base,adr_yoy_exfx_pct,3.4832580411972858,%,06v build
1Q27,base,fx_pts_adr,-0.333110875130034,pp,06v build
1Q27,base,adr_yoy_reported_pct,3.150147166067252,%,06v build
1Q27,base,adr_usd,192.70510493564683,$,06v build
1Q27,base,gbv_musd,32219.812519325114,$M,06v build
1Q27,base,gbv_yoy_pct,10.341823696318887,%,06v build
1Q27,base,lagged_gbv_musd,24000.829964999997,$M,06v build
1Q27,base,revenue_musd,3046.607864499669,$M,06v build
1Q27,base,revenue_yoy_pct,13.764296657941344,%,06v build
1Q27,base,take_rate_pct,9.45569705805192,%,06v build
1Q27,base,fx_pts_revenue,0.93,pp,06v build
1Q27,base,revenue_same_q_take_rate_route_musd,2954.556808022113,$M,06v build
2Q27,base,nights_yoy_pct,6.4159999999999995,%,06v build
2Q27,base,nights_mm,157.814928,mm,06v build
2Q27,base,adr_yoy_exfx_pct,2.9832580411972858,%,06v build
2Q27,base,fx_pts_adr,-0.17911201064157722,pp,06v build
2Q27,base,adr_yoy_reported_pct,2.8041460305557084,%,06v build
2Q27,base,adr_usd,188.88205750193998,$,06v build
2Q27,base,gbv_musd,29756.81633084631,$M,06v build
2Q27,base,gbv_yoy_pct,9.400060039876145,%,06v build
2Q27,base,lagged_gbv_musd,29142.296164883406,$M,06v build
2Q27,base,revenue_musd,3996.454782267662,$M,06v build
2Q27,base,revenue_yoy_pct,10.766485096110356,%,06v build
2Q27,base,take_rate_pct,13.430384278458188,%,06v build
2Q27,base,fx_pts_revenue,0.62,pp,06v build
2Q27,base,revenue_same_q_take_rate_route_musd,3945.753845470221,$M,06v build
3Q27,base,nights_yoy_pct,6.4159999999999995,%,06v build
3Q27,base,nights_mm,156.2325646464,mm,06v build
3Q27,base,adr_yoy_exfx_pct,2.9832580411972858,%,06v build
3Q27,base,fx_pts_adr,0.07479552862178557,pp,06v build
3Q27,base,adr_yoy_reported_pct,3.058053569819071,%,06v build
3Q27,base,adr_usd,182.58305516036228,$,06v build
3Q27,base,gbv_musd,28544.934230264065,$M,06v build
3Q27,base,gbv_yoy_pct,9.670258286858658,%,06v build
3Q27,base,lagged_gbv_musd,30577.815060339242,$M,06v build
3Q27,base,revenue_musd,5271.420184455586,$M,06v build
3Q27,base,revenue_yoy_pct,9.729001412700612,%,06v build
3Q27,base,take_rate_pct,18.46709521883113,%,06v build
