quarter,scenario,line,ws06,mine,diff,is_finding
3Q26,base,nights_yoy_pct,9.89,9.89,0.0,False
3Q26,base,nights_mm,146.813,146.813,0.0,False
3Q26,base,adr_yoy_exfx_pct,3.86,3.86,0.0,False
3Q26,base,fx_pts_adr,-0.43,-0.43,0.0,False
3Q26,base,adr_yoy_reported_pct,3.43,3.43,-0.0,False
3Q26,base,adr_usd,177.1652,177.1652,0.0,False
3Q26,base,gbv_yoy_pct,13.6592,13.6592,0.0,False
3Q26,base,revenue_musd,4804.0355,4804.0355,0.0,False
3Q26,base,revenue_yoy_pct,17.3147,17.3147,-0.0,False
4Q26,base,nights_yoy_pct,8.12,8.12,0.0,False
4Q26,base,nights_mm,131.7983,131.7983,-0.0,False
4Q26,base,adr_yoy_exfx_pct,4.07,4.07,0.0,False
4Q26,base,fx_pts_adr,0.15,0.15,0.0,False
4Q26,base,adr_yoy_reported_pct,4.22,4.22,0.0,False
4Q26,base,adr_usd,174.5789,174.5789,0.0,False
4Q26,base,gbv_yoy_pct,12.6827,12.6827,-0.0,False
4Q26,base,revenue_musd,3178.1078,3178.1078,0.0,False
4Q26,base,revenue_yoy_pct,14.4027,14.4027,0.0,False
1Q27,base,nights_yoy_pct,8.206,6.972,-1.234,True
1Q27,base,nights_mm,169.0178,167.0903,-1.9275,True
1Q27,base,adr_yoy_exfx_pct,3.478,3.4833,0.0053,False
1Q27,base,fx_pts_adr,-0.301,-0.3331,-0.0321,False
1Q27,base,adr_yoy_reported_pct,3.176,3.1501,-0.0259,False
1Q27,base,adr_usd,192.7534,192.7051,-0.0483,False
1Q27,base,gbv_yoy_pct,11.6426,10.3418,-1.3008,True
1Q27,base,revenue_musd,3053.1293,3046.6079,-6.5214,False
1Q27,base,revenue_yoy_pct,14.0078,13.7643,-0.2435,False
2Q27,base,nights_yoy_pct,5.934,6.416,0.482,True
2Q27,base,nights_mm,157.1001,157.8149,0.7148,True
2Q27,base,adr_yoy_exfx_pct,3.087,2.9833,-0.1037,False
2Q27,base,fx_pts_adr,-0.193,-0.1791,0.0139,False
2Q27,base,adr_yoy_reported_pct,2.894,2.8041,-0.0899,False
2Q27,base,adr_usd,189.0471,188.8821,-0.165,False
2Q27,base,gbv_yoy_pct,8.9997,9.4001,0.4004,True
2Q27,base,revenue_musd,4028.9807,3996.4548,-32.5259,True
2Q27,base,revenue_yoy_pct,11.668,10.7665,-0.9015,True
3Q27,base,nights_yoy_pct,6.229,6.416,0.187,False
3Q27,base,nights_mm,155.958,156.2326,0.2746,False
3Q27,base,adr_yoy_exfx_pct,2.648,2.9833,0.3353,True
3Q27,base,fx_pts_adr,0.034,0.0748,0.0408,False
3Q27,base,adr_yoy_reported_pct,2.682,3.0581,0.3761,True
3Q27,base,adr_usd,181.9168,182.5831,0.6663,True
3Q27,base,gbv_yoy_pct,9.0781,9.6703,0.5922,True
3Q27,base,revenue_musd,5280.7325,5271.4202,-9.3123,False
3Q27,base,revenue_yoy_pct,9.9228,9.729,-0.1938,False
4Q27,base,nights_yoy_pct,6.045,6.416,0.371,True
4Q27,base,nights_mm,139.7655,140.2545,0.489,False
4Q27,base,adr_yoy_exfx_pct,2.161,2.6088,0.4478,True
4Q27,base,fx_pts_adr,-0.285,-0.2843,0.0006,False
4Q27,base,adr_yoy_reported_pct,1.876,2.3244,0.4484,True
4Q27,base,adr_usd,177.854,178.6368,0.7828,True
4Q27,base,gbv_yoy_pct,8.0344,8.8895,0.8551,True
4Q27,base,revenue_musd,3465.7641,3482.492,16.7279,True
4Q27,base,revenue_yoy_pct,9.0512,9.5775,0.5263,True
3Q26,bear,nights_yoy_pct,8.5,8.5,0.0,False
3Q26,bear,nights_mm,144.956,144.956,0.0,False
3Q26,bear,adr_yoy_exfx_pct,2.46,2.46,0.0,False
3Q26,bear,fx_pts_adr,-0.43,-0.43,0.0,False
3Q26,bear,adr_yoy_reported_pct,2.03,2.03,0.0,False
3Q26,bear,adr_usd,174.7672,174.7672,-0.0,False
3Q26,bear,gbv_yoy_pct,10.7025,10.7025,0.0,False
3Q26,bear,revenue_musd,4804.0355,4804.0355,0.0,False
3Q26,bear,revenue_yoy_pct,17.3147,17.3147,-0.0,False
4Q26,bear,nights_yoy_pct,8.0,8.0,0.0,False
4Q26,bear,nights_mm,131.652,131.652,0.0,False
4Q26,bear,adr_yoy_exfx_pct,2.62,2.62,0.0,False
4Q26,bear,fx_pts_adr,0.15,0.15,0.0,False
4Q26,bear,adr_yoy_reported_pct,2.77,2.77,0.0,False
4Q26,bear,adr_usd,172.15,172.15,0.0,False
4Q26,bear,gbv_yoy_pct,10.9916,10.9916,0.0,False
4Q26,bear,revenue_musd,3123.807,3123.807,0.0,False
4Q26,bear,revenue_yoy_pct,12.4481,12.4481,-0.0,False
1Q27,bear,nights_yoy_pct,4.707,5.972,1.265,True
1Q27,bear,nights_mm,163.5523,165.5283,1.976,True
1Q27,bear,adr_yoy_exfx_pct,1.503,3.3709,1.8679,True
1Q27,bear,fx_pts_adr,-2.378,-0.3331,2.0449,True
1Q27,bear,adr_yoy_reported_pct,-0.875,3.0378,3.9128,True
1Q27,bear,adr_usd,185.1853,192.4952,7.3099,True
1Q27,bear,gbv_yoy_pct,3.7908,9.1913,5.4005,True
1Q27,bear,revenue_musd,2995.1629,2988.7652,-6.3977,False
1Q27,bear,revenue_yoy_pct,11.8433,11.6044,-0.2389,False
2Q27,bear,nights_yoy_pct,3.026,5.416,2.39,True
2Q27,bear,nights_mm,152.7876,156.3319,3.5443,True
2Q27,bear,adr_yoy_exfx_pct,1.469,2.7586,1.2896,True
2Q27,bear,fx_pts_adr,-2.267,-0.1791,2.0879,True
2Q27,bear,adr_yoy_reported_pct,-0.798,2.5795,3.3775,True
2Q27,bear,adr_usd,182.2638,188.4693,6.2055,True
2Q27,bear,gbv_yoy_pct,2.2039,8.1352,5.9313,True
2Q27,bear,revenue_musd,3803.7239,3949.9706,146.2467,True
2Q27,bear,revenue_yoy_pct,5.4247,9.4781,4.0534,True
3Q27,bear,nights_yoy_pct,3.405,5.416,2.011,True
3Q27,bear,nights_mm,149.8918,152.8068,2.915,True
3Q27,bear,adr_yoy_exfx_pct,1.296,2.1463,0.8503,True
3Q27,bear,fx_pts_adr,-1.494,0.0748,1.5688,True
3Q27,bear,adr_yoy_reported_pct,-0.198,2.2211,2.4191,True
3Q27,bear,adr_usd,174.4211,178.6489,4.2278,True
3Q27,bear,gbv_yoy_pct,3.2003,7.7574,4.5571,True
3Q27,bear,revenue_musd,4936.538,5212.5737,276.0357,True
3Q27,bear,revenue_yoy_pct,2.7581,8.5041,5.746,True
4Q27,bear,nights_yoy_pct,3.327,6.416,3.089,True
4Q27,bear,nights_mm,136.0321,140.0988,4.0667,True
4Q27,bear,adr_yoy_exfx_pct,1.008,1.1594,0.1514,False
4Q27,bear,fx_pts_adr,-0.285,-0.2843,0.0006,False
4Q27,bear,adr_yoy_reported_pct,0.723,0.8751,0.1521,False
4Q27,bear,adr_usd,173.3947,173.6565,0.2618,False
4Q27,bear,gbv_yoy_pct,4.0741,7.3472,3.2731,True
4Q27,bear,revenue_musd,3212.9091,3370.2528,157.3437,True
4Q27,bear,revenue_yoy_pct,2.8524,7.8893,5.0369,True
3Q26,bull,nights_yoy_pct,11.0,11.0,0.0,False
3Q26,bull,nights_mm,148.296,148.296,0.0,False
3Q26,bull,adr_yoy_exfx_pct,5.27,5.27,0.0,False
3Q26,bull,fx_pts_adr,-0.43,-0.43,0.0,False
3Q26,bull,adr_yoy_reported_pct,4.84,4.84,0.0,False
3Q26,bull,adr_usd,179.5804,179.5804,0.0,False
3Q26,bull,gbv_yoy_pct,16.3724,16.3724,0.0,False
3Q26,bull,revenue_musd,4804.0355,4804.0355,0.0,False
3Q26,bull,revenue_yoy_pct,17.3147,17.3147,-0.0,False
4Q26,bull,nights_yoy_pct,8.86,8.86,0.0,False
4Q26,bull,nights_mm,132.7003,132.7003,0.0,False
4Q26,bull,adr_yoy_exfx_pct,5.51,5.51,0.0,False
4Q26,bull,fx_pts_adr,0.15,0.15,0.0,False
4Q26,bull,adr_yoy_reported_pct,5.66,5.66,0.0,False
4Q26,bull,adr_usd,176.9911,176.9911,-0.0,False
4Q26,bull,gbv_yoy_pct,15.0215,15.0215,-0.0,False
4Q26,bull,revenue_musd,3227.9366,3227.9366,-0.0,False
4Q26,bull,revenue_yoy_pct,16.1964,16.1964,0.0,False
1Q27,bull,nights_yoy_pct,10.524,8.472,-2.052,True
1Q27,bull,nights_mm,172.6385,169.4333,-3.2052,True
1Q27,bull,adr_yoy_exfx_pct,3.954,3.9833,0.0293,False
1Q27,bull,fx_pts_adr,1.775,-0.3331,-2.1081,True
1Q27,bull,adr_yoy_reported_pct,5.73,3.6501,-2.0799,True
1Q27,bull,adr_usd,197.5248,193.6392,-3.8856,True
