,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days
ccy,AUD,BRL,CAD,EUR,GBP,INR,JPY,KRW,MXN,USD_BROAD,AUD,BRL,CAD,EUR,GBP,INR,JPY,KRW,MXN,USD_BROAD,AUD,BRL,CAD,EUR,GBP,INR,JPY,KRW,MXN,USD_BROAD
1Q18,0.7858693548387097,0.3079857370208189,0.7903773956373709,1.228916129032258,1.3919677419354837,0.015533645264898156,0.009240368241214696,0.0009336741436494636,0.053440248004453045,107.99646,,,,,,,,,,,62,62,62,62,62,62,62,62,62,60
2Q18,0.756809375,0.27800950383736983,0.7749679535554871,1.19221875,1.3612140625,0.014929664961130296,0.009163425294089641,0.0009264463796255375,0.0516123373282492,110.618409375,,,,,,,,,,,64,64,64,64,64,64,64,64,64,64
3Q18,0.731515873015873,0.25361487955930473,0.7651323312596656,1.1628904761904761,1.3029571428571427,0.014269341927215856,0.008968793809820056,0.0008922234961670694,0.052796455402202055,113.64876666666666,,,,,,,,,,,63,63,63,63,63,63,63,63,63,63
4Q18,0.71739,0.26287006475465374,0.7577153150263176,1.14142,1.2870116666666667,0.013868101908798754,0.008868195846235244,0.0008875356866843337,0.05050652385814707,115.69988360655738,,,,,,,,,,,60,60,60,60,60,60,60,60,60,61
1Q19,0.7121694915254237,0.2653665446873505,0.7520674879664957,1.1353677966101694,1.3030610169491526,0.0142033802208656,0.009076169734369234,0.0008890756102729093,0.05207594206593996,114.5548779661017,-9.378,-13.838,-4.847,-7.612,-6.387,-8.564,-1.777,-4.777,-2.553,6.073,59,59,59,59,59,59,59,59,59,59
2Q19,0.7002640625,0.2553961920649218,0.7475238066197181,1.1236921875,1.2858546875,0.014382680273528408,0.009096757346445267,0.0008578572215454078,0.05233235821659821,115.429475,-7.472,-8.134,-3.541,-5.748,-5.536,-3.664,-0.728,-7.403,1.395,4.349,64,64,64,64,64,64,64,64,64,64
3Q19,0.6857109375,0.25236199716806007,0.7573081744627155,1.1120421875,1.23285625,0.014212392305901161,0.00931775418555046,0.0008377318120696935,0.051504642091837624,116.4749046875,-6.262,-0.494,-1.023,-4.373,-5.38,-0.399,3.891,-6.107,-2.447,2.487,64,64,64,64,64,64,64,64,64,64
4Q19,0.6837145161290323,0.2432459649780973,0.7577857963220186,1.1074645161290324,1.2879612903225806,0.014043817652828264,0.009201308649762893,0.0008507875215428091,0.051961614672718655,116.41376721311475,-4.694,-7.465,0.009,-2.975,0.074,1.267,3.756,-4.14,2.881,0.617,62,62,62,62,62,62,62,62,62,61
1Q20,0.6569290322580644,0.22492208122059387,0.743825264207426,1.1022016129032257,1.278751612903226,0.013797064218044035,0.009182706913624508,0.0008379524945423217,0.05024719043628085,117.75593064516129,-7.757,-15.241,-1.096,-2.921,-1.866,-2.861,1.174,-5.75,-3.512,2.794,62,62,62,62,62,62,62,62,62,62
2Q20,0.6578015625,0.18652082760562308,0.7220509462954748,1.101575,1.2418484375,0.013184247924974843,0.009301435188395933,0.0008203346313334003,0.04293715594969624,121.8336421875,-6.064,-26.968,-3.408,-1.968,-3.422,-8.332,2.25,-4.374,-17.953,5.548,64,64,64,64,64,64,64,64,64,64
3Q20,0.7153921875,0.1860301385668849,0.7507846089872691,1.1698171875,1.292665625,0.013451374391736687,0.009425260957299817,0.0008420907188650674,0.04528781210222361,117.3474875,4.329,-26.284,-0.861,5.195,4.851,-5.355,1.154,0.52,-12.07,0.749,64,64,64,64,64,64,64,64,64,64
4Q20,0.7309699999999999,0.18536602283952194,0.7675479700211201,1.1925416666666666,1.3204416666666667,0.013553559560273872,0.009572327309408657,0.0008948614908642923,0.04865563433135443,113.91718,6.912,-23.795,1.288,7.682,2.522,-3.491,4.032,5.18,-6.362,-2.145,60,60,60,60,60,60,60,60,60,60
