gbv_3Q26_musd,gbv_basis,gbv_3Q26_breakeven_musd,kernel_base_3Q26_musd,kernel_base_4Q26_musd,kernel_base_yoy_3Q26_pct,kernel_base_yoy_4Q26_pct,gbv_base_growth_step_pp,fx_reading,fx_step_pp,exfx_acceleration_pp,exfx_acceleration_unrounded_pp,sign
26185.0,frozen card 20_frozen_q3_2026,26288.0,27867.0,26523.0,16.92,14.82,-2.1,A_disclosed_ADR_FX_through_Phi,-1.8,-0.3,-0.3,decelerates
26185.0,frozen card 20_frozen_q3_2026,26477.0,27867.0,26523.0,16.92,14.82,-2.1,B_basket_x_0.56_through_Phi,-1.3,-0.8,-0.84,decelerates
26185.0,frozen card 20_frozen_q3_2026,26250.0,27867.0,26523.0,16.92,14.82,-2.1,C_Phi_x_0.851_free_fit_total_scale,-1.9,-0.2,-0.19,decelerates
26185.0,frozen card 20_frozen_q3_2026,26405.0,27867.0,26523.0,16.92,14.82,-2.1,C2_Phi_x_fitted_shape_scale_0.653,-1.5,-0.6,-0.63,decelerates
26185.0,frozen card 20_frozen_q3_2026,26784.0,27867.0,26523.0,16.92,14.82,-2.1,D_objectA_free_weights_on_basket,-0.4,-1.7,-1.73,decelerates
26300.0,architect central,26288.0,27867.0,26600.0,16.92,15.15,-1.77,A_disclosed_ADR_FX_through_Phi,-1.8,0.03,0.03,accelerates
26300.0,architect central,26477.0,27867.0,26600.0,16.92,15.15,-1.77,B_basket_x_0.56_through_Phi,-1.3,-0.47,-0.51,decelerates
26300.0,architect central,26250.0,27867.0,26600.0,16.92,15.15,-1.77,C_Phi_x_0.851_free_fit_total_scale,-1.9,0.13,0.14,accelerates
26300.0,architect central,26405.0,27867.0,26600.0,16.92,15.15,-1.77,C2_Phi_x_fitted_shape_scale_0.653,-1.5,-0.27,-0.3,decelerates
26300.0,architect central,26784.0,27867.0,26600.0,16.92,15.15,-1.77,D_objectA_free_weights_on_basket,-0.4,-1.37,-1.4,decelerates
26550.0,B4 request,26288.0,27867.0,26767.0,16.92,15.87,-1.05,A_disclosed_ADR_FX_through_Phi,-1.8,0.75,0.75,accelerates
26550.0,B4 request,26477.0,27867.0,26767.0,16.92,15.87,-1.05,B_basket_x_0.56_through_Phi,-1.3,0.25,0.21,accelerates
26550.0,B4 request,26250.0,27867.0,26767.0,16.92,15.87,-1.05,C_Phi_x_0.851_free_fit_total_scale,-1.9,0.85,0.86,accelerates
26550.0,B4 request,26405.0,27867.0,26767.0,16.92,15.87,-1.05,C2_Phi_x_fitted_shape_scale_0.653,-1.5,0.45,0.42,accelerates
26550.0,B4 request,26784.0,27867.0,26767.0,16.92,15.87,-1.05,D_objectA_free_weights_on_basket,-0.4,-0.65,-0.68,decelerates
25900.0,low,26288.0,27867.0,26333.0,16.92,14.0,-2.93,A_disclosed_ADR_FX_through_Phi,-1.8,-1.13,-1.12,decelerates
25900.0,low,26477.0,27867.0,26333.0,16.92,14.0,-2.93,B_basket_x_0.56_through_Phi,-1.3,-1.63,-1.67,decelerates
25900.0,low,26250.0,27867.0,26333.0,16.92,14.0,-2.93,C_Phi_x_0.851_free_fit_total_scale,-1.9,-1.03,-1.01,decelerates
25900.0,low,26405.0,27867.0,26333.0,16.92,14.0,-2.93,C2_Phi_x_fitted_shape_scale_0.653,-1.5,-1.43,-1.46,decelerates
25900.0,low,26784.0,27867.0,26333.0,16.92,14.0,-2.93,D_objectA_free_weights_on_basket,-0.4,-2.53,-2.55,decelerates
27000.0,high,26288.0,27867.0,27067.0,16.92,17.17,0.25,A_disclosed_ADR_FX_through_Phi,-1.8,2.05,2.05,accelerates
27000.0,high,26477.0,27867.0,27067.0,16.92,17.17,0.25,B_basket_x_0.56_through_Phi,-1.3,1.55,1.51,accelerates
27000.0,high,26250.0,27867.0,27067.0,16.92,17.17,0.25,C_Phi_x_0.851_free_fit_total_scale,-1.9,2.15,2.16,accelerates
27000.0,high,26405.0,27867.0,27067.0,16.92,17.17,0.25,C2_Phi_x_fitted_shape_scale_0.653,-1.5,1.75,1.72,accelerates
27000.0,high,26784.0,27867.0,27067.0,16.92,17.17,0.25,D_objectA_free_weights_on_basket,-0.4,0.65,0.62,accelerates
