spec,window,n,rmse,mae,bias,interval_rmse,hit_rate_in_band,n_params,best_in_window
H0_contemporaneous,W1,14,1.8812,1.6942,0.5196,1.4474,0.0,2,False
H0_contemporaneous,W2,10,1.9683,1.7413,0.3599,1.5437,0.0,2,False
H1_repo_eur_mean_t1_t2,W1,14,2.4642,1.8333,-1.2503,2.1178,0.214,3,False
H1_repo_eur_mean_t1_t2,W2,10,1.0925,0.9579,-0.1416,0.6933,0.3,3,False
H2_phi_adrfx,W1,10,0.9936,0.8977,0.0975,0.5782,0.3,2,True
H2_phi_adrfx,W2,10,0.9936,0.8977,0.0975,0.5782,0.3,2,True
H2b_phi_basket,W1,14,1.7975,1.3269,-0.4334,1.4619,0.286,2,False
H2b_phi_basket,W2,10,1.3155,0.9718,0.2791,0.9923,0.4,2,False
H3_free_weights,W1,14,1.5893,1.2529,0.4751,1.2249,0.357,4,False
H3_free_weights,W2,10,1.82,1.4911,0.4959,1.4309,0.3,4,False
H3b_free_lags123,W1,14,1.6652,1.3647,-0.1145,1.2876,0.071,4,False
H3b_free_lags123,W2,10,1.4842,1.2141,0.37,1.1129,0.1,4,False
