guide_date,target_quarter,spec,prior_basis,n_train,n_train_pit,coef,point,sigma,actual,b0_pit,b0_elapsed_frac,n_params,in_W1,in_W2
2022-08-02,3Q22,H0_contemporaneous,full_sample,14,5,[0.718],-3.9819,1.3039,-7.0,-5.5457,0.318,2,False,False
2022-08-02,3Q22,H1_repo_eur_mean_t1_t2,full_sample,14,5,"[0.2458, 0.269]",-2.248,1.5001,-7.0,-5.5457,0.318,3,False,False
2022-08-02,3Q22,H2b_phi_basket,full_sample,14,5,[0.653],-2.3024,1.4915,-7.0,-5.5457,0.318,2,False,False
2022-08-02,3Q22,H3_free_weights,full_sample,14,5,"[0.4471, 0.3639, 0.0302]",-4.0719,1.0273,-7.0,-5.5457,0.318,4,False,False
2022-08-02,3Q22,H3b_free_lags123,full_sample,14,5,"[0.6672, 0.0, 0.0]",-2.7984,1.3125,-7.0,-5.5457,0.318,4,False,False
2022-11-01,4Q22,H0_contemporaneous,full_sample,14,6,[0.718],-4.3548,1.3039,-7.0,-6.0651,0.308,2,False,False
2022-11-01,4Q22,H1_repo_eur_mean_t1_t2,full_sample,14,6,"[0.2458, 0.269]",-3.2834,1.5001,-7.0,-6.0651,0.308,3,False,False
2022-11-01,4Q22,H2b_phi_basket,full_sample,14,6,[0.653],-3.4109,1.4915,-7.0,-6.0651,0.308,2,False,False
2022-11-01,4Q22,H3_free_weights,full_sample,14,6,"[0.4471, 0.3639, 0.0302]",-4.9264,1.0273,-7.0,-6.0651,0.308,4,False,False
2022-11-01,4Q22,H3b_free_lags123,full_sample,14,6,"[0.6672, 0.0, 0.0]",-3.8284,1.3125,-7.0,-6.0651,0.308,4,False,False
2023-02-14,1Q23,H0_contemporaneous,full_sample,14,7,[0.718],-1.6445,1.3039,-4.0,-2.2903,0.446,2,True,False
2023-02-14,1Q23,H1_repo_eur_mean_t1_t2,full_sample,14,7,"[0.2458, 0.269]",-3.1487,1.5001,-4.0,-2.2903,0.446,3,True,False
2023-02-14,1Q23,H2b_phi_basket,full_sample,14,7,[0.653],-3.1435,1.4915,-4.0,-2.2903,0.446,2,True,False
2023-02-14,1Q23,H3_free_weights,full_sample,14,7,"[0.4471, 0.3639, 0.0302]",-2.7809,1.0273,-4.0,-2.2903,0.446,4,True,False
2023-02-14,1Q23,H3b_free_lags123,full_sample,14,7,"[0.6672, 0.0, 0.0]",-2.9036,1.3125,-4.0,-2.2903,0.446,4,True,False
2023-05-09,2Q23,H0_contemporaneous,full_sample,14,8,[0.718],0.5802,1.3039,-1.0,0.8081,0.4,2,True,False
2023-05-09,2Q23,H1_repo_eur_mean_t1_t2,full_sample,14,8,"[0.2458, 0.269]",-1.7705,1.5001,-1.0,0.8081,0.4,3,True,False
2023-05-09,2Q23,H2b_phi_basket,full_sample,14,8,[0.653],-1.9148,1.4915,-1.0,0.8081,0.4,2,True,False
