date,ccy,fred_id,usd_per_unit,unit
2018-01-02,EUR,DEXUSEU,1.205,usd_per_foreign_unit
2018-01-03,EUR,DEXUSEU,1.203,usd_per_foreign_unit
2018-01-04,EUR,DEXUSEU,1.2064,usd_per_foreign_unit
2018-01-05,EUR,DEXUSEU,1.2039,usd_per_foreign_unit
2018-01-08,EUR,DEXUSEU,1.1973,usd_per_foreign_unit
2018-01-09,EUR,DEXUSEU,1.1922,usd_per_foreign_unit
2018-01-10,EUR,DEXUSEU,1.1958,usd_per_foreign_unit
2018-01-11,EUR,DEXUSEU,1.2035,usd_per_foreign_unit
2018-01-12,EUR,DEXUSEU,1.213,usd_per_foreign_unit
2018-01-16,EUR,DEXUSEU,1.2244,usd_per_foreign_unit
2018-01-17,EUR,DEXUSEU,1.2229,usd_per_foreign_unit
2018-01-18,EUR,DEXUSEU,1.2238,usd_per_foreign_unit
2018-01-19,EUR,DEXUSEU,1.2238,usd_per_foreign_unit
2018-01-22,EUR,DEXUSEU,1.223,usd_per_foreign_unit
2018-01-23,EUR,DEXUSEU,1.2277,usd_per_foreign_unit
2018-01-24,EUR,DEXUSEU,1.239,usd_per_foreign_unit
2018-01-25,EUR,DEXUSEU,1.2488,usd_per_foreign_unit
2018-01-26,EUR,DEXUSEU,1.2422,usd_per_foreign_unit
2018-01-29,EUR,DEXUSEU,1.2352,usd_per_foreign_unit
2018-01-30,EUR,DEXUSEU,1.239,usd_per_foreign_unit
2018-01-31,EUR,DEXUSEU,1.2428,usd_per_foreign_unit
2018-02-01,EUR,DEXUSEU,1.2482,usd_per_foreign_unit
2018-02-02,EUR,DEXUSEU,1.2446,usd_per_foreign_unit
2018-02-05,EUR,DEXUSEU,1.2418,usd_per_foreign_unit
2018-02-06,EUR,DEXUSEU,1.2381,usd_per_foreign_unit
2018-02-07,EUR,DEXUSEU,1.2281,usd_per_foreign_unit
2018-02-08,EUR,DEXUSEU,1.2238,usd_per_foreign_unit
2018-02-09,EUR,DEXUSEU,1.2226,usd_per_foreign_unit
2018-02-12,EUR,DEXUSEU,1.2267,usd_per_foreign_unit
2018-02-13,EUR,DEXUSEU,1.2363,usd_per_foreign_unit
2018-02-14,EUR,DEXUSEU,1.2396,usd_per_foreign_unit
2018-02-15,EUR,DEXUSEU,1.2482,usd_per_foreign_unit
2018-02-16,EUR,DEXUSEU,1.2442,usd_per_foreign_unit
2018-02-20,EUR,DEXUSEU,1.2348,usd_per_foreign_unit
2018-02-21,EUR,DEXUSEU,1.2314,usd_per_foreign_unit
2018-02-22,EUR,DEXUSEU,1.2326,usd_per_foreign_unit
2018-02-23,EUR,DEXUSEU,1.2298,usd_per_foreign_unit
2018-02-26,EUR,DEXUSEU,1.2296,usd_per_foreign_unit
2018-02-27,EUR,DEXUSEU,1.2239,usd_per_foreign_unit
2018-02-28,EUR,DEXUSEU,1.2211,usd_per_foreign_unit
2018-03-01,EUR,DEXUSEU,1.2216,usd_per_foreign_unit
2018-03-02,EUR,DEXUSEU,1.2314,usd_per_foreign_unit
2018-03-05,EUR,DEXUSEU,1.233,usd_per_foreign_unit
2018-03-06,EUR,DEXUSEU,1.2415,usd_per_foreign_unit
2018-03-07,EUR,DEXUSEU,1.2397,usd_per_foreign_unit
2018-03-08,EUR,DEXUSEU,1.2314,usd_per_foreign_unit
2018-03-09,EUR,DEXUSEU,1.2326,usd_per_foreign_unit
2018-03-12,EUR,DEXUSEU,1.2318,usd_per_foreign_unit
2018-03-13,EUR,DEXUSEU,1.2398,usd_per_foreign_unit
2018-03-14,EUR,DEXUSEU,1.2362,usd_per_foreign_unit
2018-03-15,EUR,DEXUSEU,1.2321,usd_per_foreign_unit
2018-03-16,EUR,DEXUSEU,1.228,usd_per_foreign_unit
2018-03-19,EUR,DEXUSEU,1.2329,usd_per_foreign_unit
2018-03-20,EUR,DEXUSEU,1.2271,usd_per_foreign_unit
2018-03-21,EUR,DEXUSEU,1.2268,usd_per_foreign_unit
2018-03-22,EUR,DEXUSEU,1.231,usd_per_foreign_unit
2018-03-23,EUR,DEXUSEU,1.236,usd_per_foreign_unit
2018-03-26,EUR,DEXUSEU,1.244,usd_per_foreign_unit
2018-03-27,EUR,DEXUSEU,1.241,usd_per_foreign_unit
2018-03-28,EUR,DEXUSEU,1.2351,usd_per_foreign_unit
2018-03-29,EUR,DEXUSEU,1.2297,usd_per_foreign_unit
2018-03-30,EUR,DEXUSEU,1.232,usd_per_foreign_unit
2018-04-02,EUR,DEXUSEU,1.2288,usd_per_foreign_unit
2018-04-03,EUR,DEXUSEU,1.2261,usd_per_foreign_unit
2018-04-04,EUR,DEXUSEU,1.2292,usd_per_foreign_unit
