path,spec,q1_pp,q2_pp,q3_pp,q4_pp,sum_of_four_quarters_pp_DO_NOT_QUOTE,simple_average_pp,revenue_weighted_average_pp,rule
spot_held,phi_fitted_scale,0.72,0.47,0.24,0.29,1.72,0.43,0.4,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
spot_held,phi_scale_0.851,0.93,0.62,0.31,0.38,2.24,0.56,0.52,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
spot_held,free_fit_stated,0.69,0.34,0.36,0.19,1.58,0.4,0.38,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
spot_held,cs_lo,0.22,0.17,0.17,0.0,0.56,0.14,0.14,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
spot_held,cs_hi,1.21,0.95,0.6,0.42,3.18,0.8,0.76,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_weak_+1sd,phi_fitted_scale,2.21,2.42,2.18,1.86,8.67,2.17,2.17,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_weak_+1sd,phi_scale_0.851,2.88,3.16,2.84,2.43,11.31,2.83,2.84,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_weak_+1sd,free_fit_stated,3.14,2.84,2.48,1.05,9.51,2.38,2.37,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_weak_+1sd,cs_lo,1.5,1.5,1.31,0.0,4.31,1.08,1.1,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_weak_+1sd,cs_hi,4.68,4.73,3.81,2.28,15.5,3.88,3.86,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_strong_-1sd,phi_fitted_scale,-0.78,-1.48,-1.7,-1.31,-5.27,-1.32,-1.39,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_strong_-1sd,phi_scale_0.851,-1.01,-1.92,-2.22,-1.7,-6.85,-1.71,-1.8,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_strong_-1sd,free_fit_stated,-1.76,-2.16,-1.79,-0.69,-6.4,-1.6,-1.63,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_strong_-1sd,cs_lo,-2.68,-3.16,-2.74,-1.6,-10.18,-2.54,-2.58,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
usd_strong_-1sd,cs_hi,-0.82,-1.16,-0.89,0.0,-2.87,-0.72,-0.74,an FY y/y FX contribution is the revenue-weighted AVERAGE of its four quarters
